asset_id,review_reason,suggested_action,current_canonical_name,source_group_key,source_asset_names,source_addresses,source_fund_ids,manual_decision,manual_asset_id,manual_canonical_name,split_group_key,merge_target_asset_id,verified_by,verified_at,review_note
ast_65084c8903f7,low_confidence_or_name_variation,verify_merge_or_split,이지스일반사모부동산투자신탁120호,pnu:1111012800101550002,PFV_Lotus (사채) | PFV_Lotus (지분증권) | 안녕인사동,서울특별시 종로구 관훈동 155-2,"112114, 112115, P00007",,,,,,,,
ast_8d08ba7fb345,low_confidence_or_name_variation,verify_merge_or_split,서울시티타워,pnu:1114011800105810000,서울시티타워 | 이지스제463호부동산일반사모투자회사,남대문로5가 581,"112690, 112691, 112692, 112694, 112695, 112696, 112697",,,,,,,,
ast_65e587cdb88a,low_confidence_or_name_variation,verify_merge_or_split,이지스제333호일반사모부동산투자신탁(운용),pnu:1114014000100130002,디어스 명동 | 이지스333호(디어스 명동),서울특별시 중구 남학동 13-2,"112510, R00008",,,,,,,,
ast_aac5427c01f4,low_confidence_or_name_variation,verify_merge_or_split,이지스한남일반사모부동산투자신탁제418호,pnu:1117013100107360009,네오밸류한남PFV의 전환사채 | 네오밸류한남PFV의 제2종 종류주식 | 네오밸류한남PFV의 제3종 종류주식,서울특별시 용산구 한남동 736-9,112556,,,,,,,,
ast_b8957ff7eafe,low_confidence_or_name_variation,verify_merge_or_split,이지스일반사모부동산투자신탁제331호(운용),pnu:1144012000104600025,누디트 홍대 | 이지스333호(홍대 코리빙 복합시설),서울특별시 마포구 서교동 460-25,"112396, R00008",,,,,,,,
ast_ecc118b65b9e,low_confidence_or_name_variation,verify_merge_or_split,원그로브(마곡CP4 복합개발사업),pnu:1150010500107690000,마곡CP4 복합시설 개발 | 원그로브(마곡CP4 복합개발사업),서울특별시 강서구 마곡동 769,"112589, 112590, 112591, P00018",,,,,,,,
ast_edebae8dd9a4,low_confidence_or_name_variation,verify_merge_or_split,페어필드 메리어트 서울 메자닌 대출,pnu:1156010200101430003,영등포역 오피스텔 개발사업 | 페어필드 메리어트 서울 | 페어필드 메리어트 서울 메자닌 대출,서울특별시 영등포구 영등포동1가 143-3 | 영등포동1가 143-3,"112053, 112195, 112699",,,,,,,,
ast_018e4ec1c5ce,low_confidence_or_name_variation,verify_merge_or_split,더강남832PFV의 지분증권 및 대출채권,pnu:1168010100108320002,더강남832PFV의 지분증권 및 대출채권 | 우덕빌딩,서울특별시 강남구 역삼동 832-2 | 역삼동 832-2,"112052, 112450",,,,,,,,
ast_b5b13984b5c2,low_confidence_or_name_variation,verify_merge_or_split,부평 더샵센트럴시티 공공지원민간임대주택,pnu:2823710200106300000,151호 수익증권(재간접) | 부평 더샵센트럴시티 공공지원민간임대주택,십정동 630,"112149, 112169, 112172, 112175, 112181",,,,,,,,
ast_c6d650564064,low_confidence_or_name_variation,verify_merge_or_split,"이지스411호(200호 재간접, 디어스 판교)",pnu:4113111500103210000,"이지스200호(디어스 판교) | 이지스411호(200호 재간접, 디어스 판교)",시흥동 321,R00008,,,,,,,,
ast_578a66328a1e,low_confidence_or_name_variation,verify_merge_or_split,판교아이스퀘어E동,pnu:4113111500103390000,판교아이스퀘어D동 | 판교아이스퀘어E동,시흥동 339,"112535, 112536, 112537, 112538",,,,,,,,
ast_ee5b4d0511ec,low_confidence_or_name_variation,verify_merge_or_split,이지스하우징플랫폼일반사모부동산투자신탁제1호(운용),pnu:4131010500103700000,구리 수택동 오피스텔 사업부지 | 구리시 수택동 주거용 오피스텔,경기도 구리시 수택동 370,"112611, P00031",,,,,,,,
ast_84491d5860d7,low_confidence_or_name_variation,verify_merge_or_split,하남데이터센터,pnu:4145011000106070002,이지스354호 수익증권 | 하남데이터센터,경기도 하남시 풍산동 607-2,"112442, 112569, 112594, 112595",,,,,,,,
