asset_id,canonical_name,review_status,source_confidence,match_reason,source_row_count,fund_ids,address_text,pnu,asset_code,latitude,longitude,site_area,gross_floor_area,main_usage,structure
ast_8e254bfe7df1,이지스KORIF사모부동산 투자신탁 11-2호,auto_created,0.94,same_asset_code,1,112010,"One Wood Street, London, EC2",,A112010001,,,2751.7,,오피스,
ast_f5fc5bbdb980,London Office Ropemaker Place,auto_created,0.94,same_asset_code,4,"112019, 112020, 112021, 112022","28 Ropemaker Place, London, EC2",,A112019001,,,,37222.9,오피스,
ast_1b09ced3f5a7,이지스 KORIF 사모부동산투자신탁 22호,auto_created,0.94,same_asset_code,1,112025,대구광역시 중구 동인동2가 50-3,,A112025004,35.8692295139493,128.601204269385,,42967.0,오피스,
ast_a69271e859b5,PartnersGroup Real Estate Secondary 2013,auto_created,0.94,same_asset_code,3,"112026, 112030, 112032",,,A112026001,,,,,오피스복합,
ast_bc4589571b0d,이지스글로벌사모부동산투자신탁37-1호,auto_created,0.94,same_asset_code,1,112035,"54/56 Rue la Boetie, Paris, France",,A112035001,,,,19863.0,오피스,
ast_40cc5cccfb6c,이지스글로벌사모부동산투자신탁37-1호,auto_created,0.94,same_asset_code,1,112035,"1 Carrefour Alexander-Graham-Bell. Montreal, Canada",,A112035002,,,,78124.0,오피스,
ast_0546ff4ee9db,이지스글로벌사모부동산투자신탁37-1호,auto_created,0.94,same_asset_code,1,112035,"810 7th Street, N.W., Washington D.C., U.S.A.",,A112035003,,,,25759.0,오피스,
ast_39ccf4397829,이지스글로벌사모부동산투자신탁37-2호,auto_created,0.94,same_asset_code,1,112036,"54/56 Rue la Boetie, Paris, France",,A112036001,,,,19863.0,오피스,
ast_bd3d31c699b0,이지스글로벌사모부동산투자신탁37-2호,auto_created,0.94,same_asset_code,1,112036,"1 Carrefour Alexander-Graham-Bell. Montreal, Canada",,A112036002,,,,78124.0,오피스,
ast_9af08cf90d71,이지스글로벌사모부동산투자신탁37-2호,auto_created,0.94,same_asset_code,1,112036,"810 7th Street, N.W., Washington D.C., U.S.A.",,A112036003,,,,,오피스,
ast_e0a9abed71bf,이지스복합쇼핑몰사모부동산투자신탁30호,auto_created,0.94,same_asset_code,1,112037,경기도 수원시 권선구 서둔동 296-77 외 2필지,,A112037001,,,,43444.0,리테일,
ast_a86fcdf7e228,CBRE IM European Logistics Partners Fund,auto_created,0.94,same_asset_code,1,112041,,,A112041001,,,,,물류,
ast_8237a62aef6a,이지스일반사모부동산모투자신탁43호,auto_created,0.94,same_asset_code,1,112042,서울특별시 서대문구 미근동 163,,A112042001,,,,13441.4,호텔,
