asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_808ae65372f4,AP00003001,오시리아타워레지던스,오시리아타워레지던스,,P오시생숙,주거,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_470c38b64eb9,A120023001,애월 복합관광단지 개발,애월 복합관광단지 개발,,,오피스복합,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_a5d1e84522ed,A112117001,진해오션리조트 선순위 대출,진해오션리조트 선순위 대출,,118호,호텔,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_7f66d2a674c4,A112012001,동일타워,동일타워,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_66c76bd0edbb,A112277001,파주 운정지구 오피스 개발사업,파주 운정지구 오피스 개발사업,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_ede5ff41c84e,A112251001,드웰동대문,드웰동대문,,,호텔,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_cf7655c37f5e,A112414001,일산CLC,일산CLC,,"336호, 336호(1종), 336호(2종), 336호(3종)",,physical_asset,auto_created,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_d052165ba593,A112001001,NC백화점(강서),NC백화점(강서),,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_74aec6939fcf,A112197001,포포인츠바이쉐라톤조선서울명동,포포인츠바이쉐라톤조선서울명동,,코어1호,호텔,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_4e209ca0367c,A112536001,판교아이스퀘어E동,판교아이스퀘어E동,,,오피스복합,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_fb643944b2a8,A112649001,B스퀘어,B스퀘어,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_33b7088ae1e9,A112235001,아레나스영종,아레나스영종,,,물류센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_e6eadbaa08bd,A112279001,클럽디 속리산,클럽디 속리산,,"232호, 232호(1종), 232호(2종), 232호(3종)",,physical_asset,auto_created,Y,Y,keep_physical_name,real estate type or physical evidence exists
