asset_id,canonical_name,asset_type,address_text,current_pnu,match_status,proposed_pnu,matched_address,matched_category,match_score,match_reasons,longitude,latitude,updated_rows
ast_a87124d2b233,남산그린빌딩,오피스,서울특별시 중구 남대문로5가 267,,safe,1114011800102670000,서울특별시 중구 남대문로5가 267,parcel,12,token:서울특별시;token:중구;token:남대문로5가;lot:5,126.97605300626375,37.55641804293908,1
ast_0dc44d526fb4,종로타워,오피스,서울특별시 종로구 종로2가 6,,safe,1111013800100060000,서울특별시 종로구 종로2가 6,parcel,12,token:서울특별시;token:종로구;token:종로2가;lot:2,126.98385022939598,37.5704597722079,1
ast_61465a8dd9a1,T타워,오피스,서울특별시 중구 남대문로5가 827,,safe,1114011800108270000,서울특별시 중구 남대문로5가 827,parcel,12,token:서울특별시;token:중구;token:남대문로5가;lot:5,126.97578951205679,37.5538795140197,1
ast_a5d1e84522ed,진해오션리조트 선순위 대출,호텔,경상남도 창원시 진해구 제덕동 일원,,safe,4812915100100010000,경상남도 창원시 진해구 제덕동 1,parcel,10,token:경상남도;token:창원시;token:진해구;token:제덕동,128.75556524994585,35.09738597614802,1
ast_23c79539e93e,LS용산타워,오피스,서울특별시 용산구 한강로2가 191,,safe,1117012500101910000,서울특별시 용산구 한강로2가 191,parcel,12,token:서울특별시;token:용산구;token:한강로2가;lot:2,126.96789117145491,37.528229053827,1
ast_a5a50c01a582,부평 더샵센트럴시티 공공지원민간임대주택,주거,인천광역시 부평구 열우물로 90,,safe,2823710200106300000,십정동 630,road,11,token:인천광역시;token:부평구;token:열우물로;lot:90,126.69826404872511,37.47860171155595,1
ast_74aec6939fcf,포포인츠바이쉐라톤조선서울명동,호텔,서울특별시 중구 삼일대로10길 36,,safe,1114016100100890000,저동2가 89,road,11,token:서울특별시;token:중구;token:삼일대로10길;lot:10,126.9894136982996,37.56555440313264,1
ast_ede5ff41c84e,드웰동대문,호텔,서울시 동대문구 회기로 188-5,,safe,1123010900103190012,휘경동 319-12,road,9,token:동대문구;token:회기로;lot:188-5,127.05683291748606,37.589550999606516,1
ast_b37459d7bd24,클럽디 속리산,특별자산,충청북도 보은군 탄부면 평각상장로 230,,safe,4372034027106430003,탄부면 상장리 643-3,road,13,token:충청북도;token:보은군;token:탄부면;token:평각상장로;lot:230,127.78212166502425,36.447215955594885,1
ast_07e49a3487e7,강동 성내 역세권 청년주택,주거,서울시 강동구 성내동 87-1번지 일원,,safe,1174010800104310013,성내동 431-13,road,9,token:강동구;token:성내동;lot:87-1,127.13261916908291,37.52676469514746,1
ast_a726e9da31e0,제주올레리조트,호텔,제주시 애월읍 부룡수길 33외 13필지,,safe,5011025326128670003,애월읍 신엄리 2867-3,road,11,token:제주시;token:애월읍;token:부룡수길;lot:33,126.35597720083062,33.4758021861793,1
ast_c174f71f733d,목동 트라팰리스 스퀘어,리테일,"서울시 양천구 목동 962,962-1",,safe,1147010200109620000,서울특별시 양천구 목동 962,parcel,10,token:양천구;token:목동;lot:962,126.87037483334322,37.525973422518575,1
ast_493f723e41a1,돈의문3구역 게이트타워,오피스,서울시 종로구 평동 222번지 일대,,safe,2920014600109130001,월전동 913-1,road,7,token:평동;lot:222,126.77418840286768,35.13089288065855,1
ast_31da440b4288,CGV대학로,리테일,서울시 종로구 대명길28,,safe,1111017100100410009,명륜2가 41-9,road,7,token:종로구;lot:28,126.99983862530766,37.58345678159364,1
ast_b487a63c00bc,신라스테이(제주),호텔,제주특별자치도 제주시 노연로 100,,safe,5011013700102740016,연동 274-16,road,11,token:제주특별자치도;token:제주시;token:노연로;lot:100,126.4909047263591,33.48561052102788,1
ast_740742dbd00f,일산CLC,리테일,"경기도 고양시 일산동구 장항동 889,889-1,889-2",,safe,4128510400108890000,경기도 고양시 일산동구 장항동 889,parcel,14,token:경기도;token:고양시;token:일산동구;token:장항동;lot:889,126.77596047955755,37.65421819346732,1
ast_1a20ea59c075,더강남832PFV의 지분증권 및 대출채권,오피스,서울 강남구 강남대로 330,,safe,1168010100108320002,역삼동 832-2,road,11,token:서울;token:강남구;token:강남대로;lot:330,127.03066484801903,37.49270108232744,1
ast_7f04e40d8fcc,스카이에너지,,"강원도 정선군 북평면 남평리 271, 271-2",,safe,5177034023102710000,강원특별자치도 정선군 북평면 남평리 271,parcel,12,token:정선군;token:북평면;token:남평리;lot:271,128.67631178932982,37.42357987858786,1
