asset_id,canonical_name,asset_type,address_text,current_pnu,match_status,proposed_pnu,matched_address,matched_category,match_score,match_reasons,longitude,latitude
ast_b3f61c8578bc,Courtyard by Marriott Portfolio Senior Mezzanine Loan,호텔,아래 자산별 상세 내역,,not_found,,,,,,,
ast_ec6dcc378dcf,(주)페트로코너지 발행 지분증권 및 투자대상회사(이지스페트로코너지(주))에 대한 대출채권,,"경남 양산시 상북면 효충2길13(페트로콕증기생산시설), 경기 시흥시 서울대학로 59-5 배곧가압장(연료전지",,not_found,,,,,,,
ast_ca7e42523746,시온솔라,,경북 영천시 북안면 효리 산82-1,,not_found,,,,,,,
ast_a87124d2b233,남산그린빌딩,오피스,서울특별시 중구 남대문로5가 267,,safe,1114011800102670000,서울특별시 중구 남대문로5가 267,parcel,12,token:서울특별시;token:중구;token:남대문로5가;lot:5,126.97605300626375,37.55641804293908
ast_e0a9abed71bf,롯데수원역쇼핑타운토지,오피스복합,경기도 수원시 권선구 서둔동 296-77 외 2필지,,not_found,,,,,,,
ast_8237a62aef6a,신라스테이서대문,호텔,서울특별시 서대문구 미근동 163,,not_found,,,,,,,
ast_a71132d3cc09,이지스모 43호,호텔,이지스모 43호,,not_found,,,,,,,
ast_5524410f1c09,Atlanta Office Midtown I&II,오피스,아래 자산별 상세 내역,,not_found,,,,,,,
ast_0dc44d526fb4,종로타워,오피스,서울특별시 종로구 종로2가 6,,safe,1111013800100060000,서울특별시 종로구 종로2가 6,parcel,12,token:서울특별시;token:종로구;token:종로2가;lot:2,126.98385022939598,37.5704597722079
ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,오피스복합,7개 포트폴리오,,not_found,,,,,,,
ast_d27d2be05580,US BioMed Portfolio Senior Loan,오피스복합,16개 자산 포트폴리오,,not_found,,,,,,,
ast_61465a8dd9a1,T타워,오피스,서울특별시 중구 남대문로5가 827,,safe,1114011800108270000,서울특별시 중구 남대문로5가 827,parcel,12,token:서울특별시;token:중구;token:남대문로5가;lot:5,126.97578951205679,37.5538795140197
ast_14f3dd9eb1f9,마제스타시티타워1,오피스,서울특별시 서초구 서초동 1501-1,,not_found,,,,,,,
ast_a5d1e84522ed,진해오션리조트 선순위 대출,호텔,경상남도 창원시 진해구 제덕동 일원,,safe,4812915100100010000,경상남도 창원시 진해구 제덕동 1,parcel,10,token:경상남도;token:창원시;token:진해구;token:제덕동,128.75556524994585,35.09738597614802
ast_23c79539e93e,LS용산타워,오피스,서울특별시 용산구 한강로2가 191,,safe,1117012500101910000,서울특별시 용산구 한강로2가 191,parcel,12,token:서울특별시;token:용산구;token:한강로2가;lot:2,126.96789117145491,37.528229053827
ast_e45b98ccfc65,"세운 6-3-1,2구역 도시환경정비사업",주거,서울특별시 중구 을지로4가 261-1 일원,,not_found,,,,,,,
ast_3aee5443a745,아레나스양지물류센터,물류센터,경기도 용인시 처인구 양지면 양지리 914,,not_found,,,,,,,
ast_a5a50c01a582,부평 더샵센트럴시티 공공지원민간임대주택,주거,인천광역시 부평구 열우물로 90,,safe,2823710200106300000,십정동 630,road,11,token:인천광역시;token:부평구;token:열우물로;lot:90,126.69826404872511,37.47860171155595
ast_5f1f6f6aa534,판교 창조경제밸리 특별계획구역(I-Square),주거,경기도 판교 창조경제밸리 C2블록,,not_found,,,,,,,
ast_2769c1d0b916,세종시 어반아트리움,주거,세종특별시 나성동 2421-8501,,not_found,,,,,,,
ast_4b71eb552741,에스피청주 복합상업시설,리테일,충북 청주시 홍덕구 강서 2동 일원 (청주테크노폴리스),,not_found,,,,,,,
ast_36740c106490,한남동 외국인아파트부지 신축 PF대출,주거,서울특별시 용산구 한남동 680-1,,not_found,,,,,,,
ast_a08672efd868,하남강변미사지구 업무4BL 3LOT,주거,경기도 하남시 하남미사지구 업무시설용지 4-3 (2043-3),,not_found,,,,,,,
ast_73f09d84ccfa,한남동 외국인아파트부지 재개발사업 PF대출,주거,서울특별시 용산구 한남동 680-1,,not_found,,,,,,,
ast_1a7e1fbe1ed6,남양주 다산진건지구 오피스텔,주거,"경기도 남양주 다산진건지구상업3 5-1, 5-2블럭",,not_found,,,,,,,
ast_74aec6939fcf,포포인츠바이쉐라톤조선서울명동,호텔,서울특별시 중구 삼일대로10길 36,,safe,1114016100100890000,저동2가 89,road,11,token:서울특별시;token:중구;token:삼일대로10길;lot:10,126.9894136982996,37.56555440313264
ast_72434a85fc8f,강서 마곡지구 근린생활시설 개발사업 PF대출,리테일,서울특별시 마곡지구 지원시설용지 DS9BL,,not_found,,,,,,,
ast_5e6798e4e6be,하남 미사지구 오피스텔 개발사업 PF대출,주거,"경기도 하남시 하남미사지구 업무시설용지2-1,2",,not_found,,,,,,,
ast_55478b8ac17a,GIDC 광명역 지식산업센터,오피스,경기도 광명시 광명역세권 도시지원시설용지 1-1BL,,not_found,,,,,,,
ast_ede5ff41c84e,드웰동대문,호텔,서울시 동대문구 회기로 188-5,,safe,1123010900103190012,휘경동 319-12,road,9,token:동대문구;token:회기로;lot:188-5,127.05683291748606,37.589550999606516
ast_8fdf7890a11b,판교 알파돔시티 중심상업용지 7-1BL/주차장용지17BL 오피스텔 및 근린생활시설 개발사업 선순위 PF대출,주거복합,경기 성남시 분당구 백현동 알파돔시티 중심상업용지 7-1BL/주차장용지17BL,,not_found,,,,,,,
ast_1273fe709763,익선동 상업시설 개발,리테일,서울 종로구 익선동 138-6,,not_found,,,,,,,
ast_cbc413cdfd7f,고양 일산 식사2구역 A2BL 공동주택 개발사업 선순위 PF대출채권,주거,경기 고양시 일산동구 식사2도시개발구역 A2블록,,not_found,,,,,,,
ast_8f71aef30468,도농역 오피스텔,주거,경기도 남양주시 도농동 56-7,,not_found,,,,,,,
ast_b37459d7bd24,클럽디 속리산,특별자산,충청북도 보은군 탄부면 평각상장로 230,,safe,4372034027106430003,탄부면 상장리 643-3,road,13,token:충청북도;token:보은군;token:탄부면;token:평각상장로;lot:230,127.78212166502425,36.447215955594885
ast_28817669f116,용인기흥 파워센(개발),리테일,용인 기흥구 고매동 271번지 일원(총 14개 필지),,not_found,,,,,,,
ast_07e49a3487e7,강동 성내 역세권 청년주택,주거,서울시 강동구 성내동 87-1번지 일원,,safe,1174010800104310013,성내동 431-13,road,9,token:강동구;token:성내동;lot:87-1,127.13261916908291,37.52676469514746
ast_2397942b2f4e,광주 월산현대지역주택조합 공동주택 개발사업 Bridge Loan 현대엔지니어링 채무인수 확약 후순위 대출채권,주거,광주광역시 남구 월산동 258번지 일,,not_found,,,,,,,
ast_854de4d7b05b,하남미사 지식산업센터,오피스,경기도 하남시 하남미사 자족시설용지 12-2/3BL,,not_found,,,,,,,
ast_f02b527b7861,이천 한익스프레스 물류센터 개발사업,물류센터,경기도 이천시 설성면 대죽리 545-5외 22필지 일원,,not_found,,,,,,,
ast_a726e9da31e0,제주올레리조트,호텔,제주시 애월읍 부룡수길 33외 13필지,,safe,5011025326128670003,애월읍 신엄리 2867-3,road,11,token:제주시;token:애월읍;token:부룡수길;lot:33,126.35597720083062,33.4758021861793
ast_c174f71f733d,목동 트라팰리스 스퀘어,리테일,"서울시 양천구 목동 962,962-1",,safe,1147010200109620000,서울특별시 양천구 목동 962,parcel,10,token:양천구;token:목동;lot:962,126.87037483334322,37.525973422518575
ast_493f723e41a1,돈의문3구역 게이트타워,오피스,서울시 종로구 평동 222번지 일대,,safe,2920014600109130001,월전동 913-1,road,7,token:평동;lot:222,126.77418840286768,35.13089288065855
ast_77132a62be4b,Odawara Logistics Amazon FC,물류센터,아래 자산별 상세 내역,,not_found,,,,,,,
ast_da9f73969f26,에스비씨PFV(P00005),오피스복합,서울시 서초구 서초동 1005-1외,,not_found,,,,,,,
ast_9cf4a8abd36c,평택 고덕 업무12-2-3BL PF 선순위 대출채권,오피스,경기도 평택시 고덕면 고덕 국제화계획지구 업무용지 12-2-3BL,,not_found,,,,,,,
ast_db35eead7a91,홈플러스 인천인하점,리테일,인천광역시 미추홀구 용현동 648,,not_found,,,,,,,
ast_329735309847,Tokyo District 23 Residential Portfolio,주거,일본 도쿄도 23구 내,,not_found,,,,,,,
ast_dbcae6af9a45,GRAN PASEO 혼코마고메,,일본 도쿄도 23구 내,,not_found,,,,,,,
