asset_id,canonical_name,pnu,source_asset_id,source_kind,fill_fields,fill_count,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,applied_fields,new_gross_floor_area,new_completion_date
ast_7f66d2a674c4,동일타워,1168010600110040000,ast_7f66d2a674c4,same_asset_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,5431.6,49.86,297.93,오피스,철근콘크리트구조,16,옥내 351 / 옥외 0,67.8,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_4e209ca0367c,판교아이스퀘어E동,4113111500103390000,ast_578a66328a1e,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,오피스복합,철근콘크리트구조,10,옥내 0 / 옥외 0,44.6,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_fb643944b2a8,B스퀘어,2623010400108630001,ast_f2e00117756f,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,3693.9,4.62,956.56,오피스,철골철근콘크리트구조,26,옥내 102 / 옥외 8,112.3,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_6b3f8d30ec34,"이지스411호(200호 재간접, 디어스 판교)",4113111500103210000,ast_c6d650564064,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,22591.5,49.800677,227.30261,업무시설,철골철근콘크리트구조,8,옥내 635 / 옥외 0,42.9,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_2901ee96b420,광교 아이파크 주상복합 내 판매시설 선순위 담보 대출채권,4111710200105930000,ast_9b294af79693,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,리테일,철근콘크리트구조,2,옥내 0 / 옥외 0,0.0,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",152.277,
ast_2c3a67886c92,롯데팩토리아울렛(인천),2811011800100760002,ast_44e362fded27,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,20486.0,6.7,183.84,리테일,철근콘크리트구조,6,옥내 625 / 옥외 7,44.65,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_9b4469f9065d,남동테크노타워 지식산업센터 개발사업 PF대출,2820011100106480001,ast_ed6a011723e2,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,5055.6,78.38,419.68,물류,프리케스트콘크리트구조,11,옥내 234 / 옥외 0,59.7,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",39881.1,
ast_09cbe4380781,솔라팩토리19호,4313033530111650000,ast_0bbbe8c5910d,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,공장,일반철골구조,1,옥내 0 / 옥외 0,8.8,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",660.0,
ast_09e5db3eee02,업스퀘어,3114010600115690001,ast_a422589fe744,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,7114.8,6.1,457.1,리테일,철골철근콘크리트구조,10,옥내 495 / 옥외 0,58.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_ba08839e7d49,부산송정물류센터,2644010900117150002,ast_afb26eedbbe3,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,제2종근린생활시설,철근콘크리트구조,3,옥내 0 / 옥외 99,13.14,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
