asset_id,canonical_name,pnu,status,missing_fields,fill_fields,item_count,selected_mgm_bldrgst_pk,new_floors_down,new_elevators,applied,new_completion_date,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,new_gross_floor_area
ast_7f66d2a674c4,동일타워,1168010600110040000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10241100213087,7,7,True,,,,,,,,,,
ast_cf7655c37f5e,일산CLC,4128510400108890000,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,11041100391381,8,16,True,2019-11-29,,,,,,,,,
ast_d052165ba593,NC백화점(강서),1150010200106890000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10171100217150,7,10,True,,11213.6,56.82,464.19,판매시설,일반철골구조,10,옥내 931 / 옥외 0,51.26,
ast_74aec6939fcf,포포인츠바이쉐라톤조선서울명동,1114016100100890000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100236906,3,5,True,,1546.0,59.68,1168.38,숙박시설,철근콘크리트구조,26,옥내 20 / 옥외 1,99.0,
ast_4e209ca0367c,판교아이스퀘어E동,4113111500103390000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",6,10891100336794,5,7,True,,,,,,,,,,
ast_fb643944b2a8,B스퀘어,2623010400108630001,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1032122826,7,10,True,,,,,,,,,,
ast_e6eadbaa08bd,클럽디 속리산,4372034027106430003,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,11591100188497,2,1,True,2013-09-02,,,,,,,,,
ast_da18f033a8bc,이지스 130호(모) 제2-1종 수익증권,1114011000100990000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100205574,6,16,True,2011-06-29,6937.6,59.95,923.53,업무시설,철골철근콘크리트구조,17,옥내 436 / 옥외 0,75.24,
ast_40c746673d87,시그니처타워,1114011000100990000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100205574,6,16,True,,6937.6,59.95,923.53,업무시설,철골철근콘크리트구조,17,옥내 436 / 옥외 0,75.24,
ast_cd00a5beb0b3,밀레니엄힐튼호텔,1114011800103950000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,100313596,2,14,True,1984-11-29,18760.1,49.23,356.28,숙박시설,철근콘크리트구조,23,옥내 401 / 옥외 88,71.35,
ast_6b3f8d30ec34,"이지스411호(200호 재간접, 디어스 판교)",4113111500103210000,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10891100298327,2,17,True,2017-10-17,,,,,,,,,
ast_53a61027bef6,스타필드(고양) (투자),4128111200103700000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",2,11041100325244,2,20,True,,,,,,,,,,
ast_e0b140083119,새금풍력태양광발전소,5123012000200330000,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",5,113914323,0,,True,2007-11-09,0.0,0.0,0.0,분뇨.쓰레기처리시설,일반철골구조,2,,11.8,933.12
ast_790533b0da44,"NH농협생명빌딩 서관(구, 임광빌딩 본관)",1141010400102670000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",2,101411658,4,6,True,,3728.7,37.97,655.8,업무시설,철근콘크리트구조,19,옥내 147 / 옥외 18,78.75,
ast_2c3a67886c92,롯데팩토리아울렛(인천),2811011800100760002,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,105411700,1,2,True,,,,,,,,,,
ast_9b4469f9065d,남동테크노타워 지식산업센터 개발사업 PF대출,2820011100106480001,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10581100325453,2,3,True,,,,,,,,,,
ast_7bb76c255a79,신정동 근린생활시설,1147010100103290010,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10161100234448,3,2,True,2019-12-30,1238.3,49.5,249.89,제1종근린생활시설,철근콘크리트구조,7,옥내 44 / 옥외 4,29.75,6102.25
ast_aac5427c01f4,전환사채 | 공모주 | 비상장RCPS | 상장리츠 | AA+ 회사채,1117013100107360009,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1000000000000001986448,6,4,True,2023-06-28,1270.8,59.68,192.82,업무시설,철골철근콘크리트구조,5,옥내 77 / 옥외 0,19.96,7319.6
ast_65e587cdb88a,이지스333호(디어스 명동),1114014000100130002,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100228897,2,3,True,2018-04-09,651.1,60.19,720.89,숙박시설,철골철근콘크리트구조,14,,49.9,5464.26
ast_2901ee96b420,광교 아이파크 주상복합 내 판매시설 선순위 담보 대출채권,4111710200105930000,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",48,10841100415488,0,4,True,2018-09-28,,,,,,,,,
ast_6bfb26e9f2e6,홈플러스동수원점,4111514100110450000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10841171204,1,1,True,,,,,,,,,,
ast_bb2cc0b2b2e3,대구시티센터,2711012100100110001,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,104516081,9,9,True,,,,,,,,,,
ast_ccd25e3078c5,에이블로지스물류센터,4146135023107670013,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,11161100355966,4,2,True,2016-11-04,,,,,,,,,
ast_e658d751f1bd,판교 테크원타워,4113511000105340000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10891100346333,7,33,True,,,,,,,,,,
ast_0d034e04e91f,홈플러스 대전문화점 (투자),3014011600100010017,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1072134673,2,1,True,,,,,,,,,,
ast_541ce8b9c351,부산 온천동 복합시설 신축사업,2626010800118380000,found,"floors_down,elevators","floors_down,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",8,10331100221370,4,,True,,,,,,,,,,
ast_612cef5b7905,홈플러스진주점,4817011900101810001,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1258120869,3,6,True,,,,,,,,,,
ast_a726e9da31e0,제주올레리조트,5011025326128670003,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",9,12761100191344,1,1,True,2009-08-03,,,,,,,,,
ast_65fb39722de4,구리시 수택동 주거용 오피스텔,4131010500103700000,found,"floors_down,elevators","floors_down,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,110916067,1,,True,,,,,,,,,,
