query,entity_type,entity_id,display_title,relation_type,related_asset_id,related_fund_id,related_project_id,source_table,rank_weight,token_row_count,relation_paths_count,relation_paths_preview,status
이오타서울,asset,ast_aefd81e93778,"크레딧펀드 · 21호, 기회추구2-2-1호(C1), 기회추구2-2-1호(C2)",self,ast_aefd81e93778,112057,iota-421f,"asset_fund_links, asset_master, asset_project_link_resolution, beneficiary_exposures, relationship_index_edges, v_funds_enriched+asset_fund_links",100,25,25,"{'path': 'asset:self'} / {'edge_id': 'ce1e68ded76debccef965987e8ce80af', 'direction': 'fund_token_to_asset', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'} / {'edge_id': 'ab474535d371848bfe81ca3922c757f1', 'direction': 'fund_token_to_asset', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'} / {'edge_id': '5c056f60bd65585ab6850ed9bd89d4ec', 'direction': 'fund_token_to_asset', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,asset,ast_cd9937cc8678,와이디427피에프브이 주식회사,self,ast_cd9937cc8678,120016,iota-427,"asset_fund_links, asset_master, asset_project_link_resolution, beneficiary_exposures, relationship_index_edges, v_funds_enriched+asset_fund_links",100,52,52,"{'path': 'asset:self'} / {'edge_id': 'b14ad36f6fc664a0dffe65d1f2d0ebb6', 'direction': 'fund_token_to_asset', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'} / {'edge_id': '2488c83a2e5d70400a8d2cb8a2d46395', 'direction': 'fund_token_to_asset', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'} / {'edge_id': '7de3ea2f26879d3f63995b9b0230bf79', 'direction': 'fund_token_to_asset', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,fund,112057,[21호] 이지스해외간접DCVR사모부동산투자신탁21호,self,ast_aefd81e93778,112057,iota-421f,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, relationship_index_edges, v_funds_enriched",100,10,10,"{'path': 'fund:self'} / {'edge_id': '86f54cf57cae3f38a74bebb01ac0ffc5', 'direction': 'target_to_source', 'edge_type': 'beneficiary_fund', 'link_method': 'direct_fund_id'} / {'edge_id': 'fb93680c75f131e8c76c4c834b53be2e', 'direction': 'target_to_source', 'edge_type': 'beneficiary_fund', 'link_method': 'direct_fund_id'} / {'edge_id': '53c08a81e5789853874a932a804b635f', 'direction': 'source_to_target', 'edge_type': 'asset_project', 'link_method': 'asset_project_link_resolution:fund_as_project'}",ok
이오타서울,fund,112472,[기회추구2-2-1호(C1)] 이지스기회추구전문투자형사모부동산자투자신탁제2-2-1호(C1),self,ast_aefd81e93778,112472,iota-421f,"asset_fund_links, relationship_index_edges, v_funds_enriched",100,4,4,"{'path': 'fund:self'} / {'path': 'parent_project:child_project:asset:fund', 'asset_id': 'ast_aefd81e93778', 'child_project_id': 'iota-421f', 'parent_project_id': 'iota-seoul'} / {'edge_id': '5c056f60bd65585ab6850ed9bd89d4ec', 'direction': 'source_to_target', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,fund,112473,[기회추구2-2-1호(C2)] 이지스기회추구전문투자형사모부동산자투자신탁제2-2-1호(C2),self,ast_aefd81e93778,112473,iota-421f,"asset_fund_links, relationship_index_edges, v_funds_enriched",100,4,4,"{'path': 'fund:self'} / {'path': 'parent_project:child_project:asset:fund', 'asset_id': 'ast_aefd81e93778', 'child_project_id': 'iota-421f', 'parent_project_id': 'iota-seoul'} / {'edge_id': 'ab474535d371848bfe81ca3922c757f1', 'direction': 'source_to_target', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,fund,112614,[421호] 이지스일반사모부동산투자신탁421호(운용),self,ast_cd9937cc8678,112614,iota-427,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, relationship_index_edges, v_funds_enriched",100,21,21,"{'path': 'fund:self'} / {'edge_id': 'd79737e25021761afc3d2ef5dcf4ec93', 'direction': 'target_to_source', 'edge_type': 'beneficiary_fund', 'link_method': 'direct_fund_id'} / {'edge_id': 'f6ec527806539d6d24535c05144e96a0', 'direction': 'target_to_source', 'edge_type': 'beneficiary_fund', 'link_method': 'direct_fund_id'} / {'edge_id': '1ee66f47c03bb06997ea14b2a6abc9f5', 'direction': 'target_to_source', 'edge_type': 'beneficiary_fund', 'link_method': 'direct_fund_id'}",ok
이오타서울,fund,112706,[421호(A종)] 이지스일반사모부동산투자신탁421호(A종),self,ast_cd9937cc8678,112706,iota-427,"asset_fund_links, asset_project_link_resolution, relationship_index_edges, v_funds_enriched",100,5,5,"{'path': 'fund:self'} / {'edge_id': 'fd2c816de270e4049c419b3a1965ea9f', 'direction': 'source_to_target', 'edge_type': 'asset_project', 'link_method': 'asset_project_link_resolution:fund_as_project'} / {'path': 'parent_project:child_project:asset:fund', 'asset_id': 'ast_cd9937cc8678', 'child_project_id': 'iota-427', 'parent_project_id': 'iota-seoul'} / {'edge_id': '0e1c7d74b0dc05512529206c0e6bf40f', 'direction': 'source_to_target', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,fund,112707,[421호(B종)] 이지스일반사모부동산투자신탁421호(B종),self,ast_cd9937cc8678,112707,iota-427,"asset_fund_links, asset_project_link_resolution, relationship_index_edges, v_funds_enriched",100,5,5,"{'path': 'fund:self'} / {'edge_id': 'ebd56545adf40886600075cbd7b0faad', 'direction': 'source_to_target', 'edge_type': 'asset_project', 'link_method': 'asset_project_link_resolution:fund_as_project'} / {'path': 'parent_project:child_project:asset:fund', 'asset_id': 'ast_cd9937cc8678', 'child_project_id': 'iota-427', 'parent_project_id': 'iota-seoul'} / {'edge_id': 'b14ad36f6fc664a0dffe65d1f2d0ebb6', 'direction': 'source_to_target', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,fund,120016,[421호(C종)] 이지스일반사모부동산투자신탁421호(C종),self,ast_cd9937cc8678,120016,iota-427,"asset_fund_links, asset_project_link_resolution, relationship_index_edges, v_funds_enriched",100,5,5,"{'path': 'fund:self'} / {'edge_id': '215dac2e7d3729b5b6bcae5cbe288352', 'direction': 'source_to_target', 'edge_type': 'asset_project', 'link_method': 'asset_project_link_resolution:fund_as_project'} / {'path': 'parent_project:child_project:asset:fund', 'asset_id': 'ast_cd9937cc8678', 'child_project_id': 'iota-427', 'parent_project_id': 'iota-seoul'} / {'edge_id': 'fe26bc1b2e0a4fd04575422d64d0fbe2', 'direction': 'source_to_target', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'}",ok
이오타서울,fund,120113,[421호(C-1종)] 이지스일반사모부동산투자신탁421호(C-1종),self,ast_cd9937cc8678,120113,iota-427,"asset_fund_links, relationship_index_edges, v_funds_enriched",100,4,4,"{'path': 'fund:self'} / {'edge_id': '2488c83a2e5d70400a8d2cb8a2d46395', 'direction': 'source_to_target', 'edge_type': 'fund_asset', 'link_method': 'asset_fund_links'} / {'path': 'parent_project:child_project:asset:fund', 'asset_id': 'ast_cd9937cc8678', 'child_project_id': 'iota-427', 'parent_project_id': 'iota-seoul'}",ok
이오타서울,project,iota-421f,421호펀드,self,ast_aefd81e93778,,iota-421f,"asset_project_link_resolution, projects",100,4,4,"{'path': 'project:self'} / {'edge_id': '5cbeebdff928a0b7bd68d7f70776be28', 'direction': 'target_to_source', 'edge_type': 'project_parent_child', 'link_method': 'projects.parent_project_id'} / {'edge_id': '182ac8f7a5ebfe267af711742af53123', 'direction': 'source_to_target', 'edge_type': 'asset_project', 'link_method': 'asset_project_link_resolution:project'}",ok
이오타서울,project,iota-427,와이디427,self,ast_cd9937cc8678,,iota-427,"asset_project_link_resolution, projects",100,4,4,"{'path': 'project:self'} / {'edge_id': 'cb4df18d3ee42b9167fbf643baae3466', 'direction': 'target_to_source', 'edge_type': 'project_parent_child', 'link_method': 'projects.parent_project_id'} / {'edge_id': '4cb6d08fde5079c491d922a04efc941b', 'direction': 'source_to_target', 'edge_type': 'asset_project', 'link_method': 'asset_project_link_resolution:project'}",ok
이오타서울,project,iota-816,와이디816,self,,,iota-816,projects,100,3,3,"{'path': 'project:self'} / {'edge_id': '97b57c6f9770c45b9c6fc5e22be2a544', 'direction': 'target_to_source', 'edge_type': 'project_parent_child', 'link_method': 'projects.parent_project_id'}",ok
