query,target,rows_returned,rows_total,cap,status,fund_rows,asset_rows,project_rows,lender_rows,beneficiary_rows,error
이오타서울,search_index,16,16,300,ok,8,2,6,0,0,
이오타서울,fund_ids,8,8,500,ok,,,,,,
이오타서울,asset_ids,2,2,500,ok,,,,,,
이오타서울,project_ids,6,6,500,ok,,,,,,
이오타서울,lender_ids,0,0,500,ok,,,,,,
이오타서울,beneficiary_ids,0,0,500,ok,,,,,,
눈스퀘어,search_index,8,8,300,ok,1,1,1,2,3,
눈스퀘어,fund_ids,1,1,500,ok,,,,,,
눈스퀘어,asset_ids,1,1,500,ok,,,,,,
눈스퀘어,project_ids,1,1,500,ok,,,,,,
눈스퀘어,lender_ids,0,0,500,ok,,,,,,
눈스퀘어,beneficiary_ids,0,0,500,ok,,,,,,
국민연금,search_index,23,23,300,ok,8,10,4,0,1,
국민연금,fund_ids,12,12,500,ok,,,,,,
국민연금,asset_ids,12,12,500,ok,,,,,,
국민연금,project_ids,7,7,500,ok,,,,,,
국민연금,lender_ids,0,0,500,ok,,,,,,
국민연금,beneficiary_ids,0,0,500,ok,,,,,,
홈플러스,search_index,80,80,300,ok,16,29,4,20,11,
홈플러스,fund_ids,19,19,500,ok,,,,,,
홈플러스,asset_ids,29,29,500,ok,,,,,,
홈플러스,project_ids,6,6,500,ok,,,,,,
홈플러스,lender_ids,0,0,500,ok,,,,,,
홈플러스,beneficiary_ids,0,0,500,ok,,,,,,
분당,search_index,45,45,300,ok,7,9,2,22,5,
분당,fund_ids,8,8,500,ok,,,,,,
분당,asset_ids,9,9,500,ok,,,,,,
분당,project_ids,2,2,500,ok,,,,,,
분당,lender_ids,0,0,500,ok,,,,,,
분당,beneficiary_ids,0,0,500,ok,,,,,,
1120,search_index,99,99,200,ok,98,0,1,0,0,
1120,fund_ids,98,98,500,ok,,,,,,
1120,asset_ids,0,0,500,ok,,,,,,
1120,project_ids,2,2,500,ok,,,,,,
1120,lender_ids,0,0,500,ok,,,,,,
1120,beneficiary_ids,0,0,500,ok,,,,,,
멀티플러스,search_index,63,63,300,ok,47,5,0,0,11,
멀티플러스,fund_ids,47,47,500,ok,,,,,,
멀티플러스,asset_ids,7,7,500,ok,,,,,,
멀티플러스,project_ids,0,0,500,ok,,,,,,
멀티플러스,lender_ids,0,0,500,ok,,,,,,
멀티플러스,beneficiary_ids,0,0,500,ok,,,,,,
그린ON,search_index,62,62,300,ok,53,5,0,0,4,
그린ON,fund_ids,53,53,500,ok,,,,,,
그린ON,asset_ids,7,7,500,ok,,,,,,
그린ON,project_ids,0,0,500,ok,,,,,,
그린ON,lender_ids,0,0,500,ok,,,,,,
그린ON,beneficiary_ids,0,0,500,ok,,,,,,
NPL,search_index,45,45,300,ok,11,13,10,1,10,
NPL,fund_ids,12,12,500,ok,,,,,,
NPL,asset_ids,13,13,500,ok,,,,,,
NPL,project_ids,11,11,500,ok,,,,,,
NPL,lender_ids,0,0,500,ok,,,,,,
NPL,beneficiary_ids,0,0,500,ok,,,,,,
