query,party_type,display_terms,index_party_rows,exposure_count_by_display_name,hydrate_cap,status,error
이오타서울,lender,,0,0,500,ok,
이오타서울,beneficiary,,0,0,500,ok,
눈스퀘어,lender,,2,0,500,ok,
눈스퀘어,beneficiary,,3,0,500,ok,
국민연금,lender,,0,0,500,ok,
국민연금,beneficiary,국민연금공단,1,8,500,ok,
홈플러스,lender,GIB홈플러스,20,1,500,ok,
홈플러스,beneficiary,,11,0,500,ok,
분당,lender,,22,0,500,ok,
분당,beneficiary,,5,0,500,ok,
1120,lender,,0,0,500,ok,
1120,beneficiary,,0,0,500,ok,
멀티플러스,lender,,0,0,500,ok,
멀티플러스,beneficiary,,11,0,500,ok,
그린ON,lender,,0,0,500,ok,
그린ON,beneficiary,,4,0,500,ok,
NPL,lender,멀티에셋캠코NPL메자닌활성화전문투자형사모투자신탁,1,1,500,ok,
NPL,beneficiary,이지스NPL4호,10,1,500,ok,
