character_maximum_length,column_default,column_name,data_type,is_nullable,numeric_precision,numeric_scale,ordinal_position,table_name,table_schema,table_type,udt_name
,nextval('asset_aliases_id_seq'::regclass),id,bigint,NO,64,0,1,asset_aliases,public,BASE TABLE,int8
,,asset_id,text,NO,,,2,asset_aliases,public,BASE TABLE,text
,,alias_name,text,NO,,,3,asset_aliases,public,BASE TABLE,text
,'source_name'::text,alias_type,text,NO,,,4,asset_aliases,public,BASE TABLE,text
,,source_table,text,YES,,,5,asset_aliases,public,BASE TABLE,text
,,source_id,text,YES,,,6,asset_aliases,public,BASE TABLE,text
,0,confidence,numeric,NO,,,7,asset_aliases,public,BASE TABLE,numeric
,false,is_primary,boolean,NO,,,8,asset_aliases,public,BASE TABLE,bool
,now(),created_at,timestamp with time zone,NO,,,9,asset_aliases,public,BASE TABLE,timestamptz
,,asset_id,text,NO,,,1,asset_building_ledger,public,BASE TABLE,text
,,pnu,text,YES,,,2,asset_building_ledger,public,BASE TABLE,text
,,site_area,numeric,YES,,,3,asset_building_ledger,public,BASE TABLE,numeric
,,gross_floor_area,numeric,YES,,,4,asset_building_ledger,public,BASE TABLE,numeric
,,scr,numeric,YES,,,5,asset_building_ledger,public,BASE TABLE,numeric
,,far,numeric,YES,,,6,asset_building_ledger,public,BASE TABLE,numeric
,,main_usage,text,YES,,,7,asset_building_ledger,public,BASE TABLE,text
,,structure,text,YES,,,8,asset_building_ledger,public,BASE TABLE,text
,,floors_up,integer,YES,32,0,9,asset_building_ledger,public,BASE TABLE,int4
,,floors_down,integer,YES,32,0,10,asset_building_ledger,public,BASE TABLE,int4
,,elevators,integer,YES,32,0,11,asset_building_ledger,public,BASE TABLE,int4
,,parking,text,YES,,,12,asset_building_ledger,public,BASE TABLE,text
,,height,numeric,YES,,,13,asset_building_ledger,public,BASE TABLE,numeric
,,completion_date,date,YES,,,14,asset_building_ledger,public,BASE TABLE,date
,'{}'::jsonb,raw_ledger,jsonb,NO,,,15,asset_building_ledger,public,BASE TABLE,jsonb
,,source_table,text,YES,,,16,asset_building_ledger,public,BASE TABLE,text
,,source_id,text,YES,,,17,asset_building_ledger,public,BASE TABLE,text
,0,confidence,numeric,NO,,,18,asset_building_ledger,public,BASE TABLE,numeric
,now(),created_at,timestamp with time zone,NO,,,19,asset_building_ledger,public,BASE TABLE,timestamptz
,now(),updated_at,timestamp with time zone,NO,,,20,asset_building_ledger,public,BASE TABLE,timestamptz
,,asset_id,text,NO,,,1,asset_fund_links,public,BASE TABLE,text
,,fund_id,text,NO,,,2,asset_fund_links,public,BASE TABLE,text
,'underlying_asset'::text,relation_type,text,NO,,,3,asset_fund_links,public,BASE TABLE,text
,,source_table,text,YES,,,4,asset_fund_links,public,BASE TABLE,text
,,source_id,text,YES,,,5,asset_fund_links,public,BASE TABLE,text
,0,confidence,numeric,NO,,,6,asset_fund_links,public,BASE TABLE,numeric
,'{}'::jsonb,metadata,jsonb,NO,,,7,asset_fund_links,public,BASE TABLE,jsonb
,now(),created_at,timestamp with time zone,NO,,,8,asset_fund_links,public,BASE TABLE,timestamptz
,'direct_owner'::text,exposure_role,text,NO,,,9,asset_fund_links,public,BASE TABLE,text
,'direct'::text,directness,text,NO,,,10,asset_fund_links,public,BASE TABLE,text
,,allocation_ratio,numeric,YES,,,11,asset_fund_links,public,BASE TABLE,numeric
,'unallocated'::text,allocation_status,text,NO,,,12,asset_fund_links,public,BASE TABLE,text
,true,include_in_asset_aum,boolean,NO,,,13,asset_fund_links,public,BASE TABLE,bool
,,benchmark_aum_allocated,bigint,YES,64,0,14,asset_fund_links,public,BASE TABLE,int8
,,invested_aum_allocated,bigint,YES,64,0,15,asset_fund_links,public,BASE TABLE,int8
,,equity_won_allocated,bigint,YES,64,0,16,asset_fund_links,public,BASE TABLE,int8
,,loan_won_allocated,bigint,YES,64,0,17,asset_fund_links,public,BASE TABLE,int8
,,deposit_won_allocated,bigint,YES,64,0,18,asset_fund_links,public,BASE TABLE,int8
,,invested_equity_won_allocated,bigint,YES,64,0,19,asset_fund_links,public,BASE TABLE,int8
,,invested_loan_won_allocated,bigint,YES,64,0,20,asset_fund_links,public,BASE TABLE,int8
,,invested_deposit_won_allocated,bigint,YES,64,0,21,asset_fund_links,public,BASE TABLE,int8
,,aum_basis_source,text,YES,,,22,asset_fund_links,public,BASE TABLE,text
,false,needs_allocation_review,boolean,NO,,,23,asset_fund_links,public,BASE TABLE,bool
,,asset_id,text,NO,,,1,asset_master,public,BASE TABLE,text
,,canonical_name,text,NO,,,2,asset_master,public,BASE TABLE,text
,,asset_type,text,YES,,,3,asset_master,public,BASE TABLE,text
,,country_code,text,YES,,,4,asset_master,public,BASE TABLE,text
,,city,text,YES,,,5,asset_master,public,BASE TABLE,text
,,address_text,text,YES,,,6,asset_master,public,BASE TABLE,text
,,latitude,numeric,YES,,,7,asset_master,public,BASE TABLE,numeric
,,longitude,numeric,YES,,,8,asset_master,public,BASE TABLE,numeric
,,pnu,text,YES,,,9,asset_master,public,BASE TABLE,text
,,asset_code,text,YES,,,10,asset_master,public,BASE TABLE,text
,0,source_confidence,numeric,NO,,,11,asset_master,public,BASE TABLE,numeric
,'auto_created'::text,review_status,text,NO,,,12,asset_master,public,BASE TABLE,text
,,representative_source,text,YES,,,13,asset_master,public,BASE TABLE,text
,,representative_fund_id,text,YES,,,14,asset_master,public,BASE TABLE,text
,'{}'::jsonb,metadata,jsonb,NO,,,15,asset_master,public,BASE TABLE,jsonb
,now(),created_at,timestamp with time zone,NO,,,16,asset_master,public,BASE TABLE,timestamptz
,now(),updated_at,timestamp with time zone,NO,,,17,asset_master,public,BASE TABLE,timestamptz
,,site_area,numeric,YES,,,18,asset_master,public,BASE TABLE,numeric
,,gross_floor_area,numeric,YES,,,19,asset_master,public,BASE TABLE,numeric
,,scr,numeric,YES,,,20,asset_master,public,BASE TABLE,numeric
,,far,numeric,YES,,,21,asset_master,public,BASE TABLE,numeric
,,main_usage,text,YES,,,22,asset_master,public,BASE TABLE,text
,,structure,text,YES,,,23,asset_master,public,BASE TABLE,text
,,floors_up,integer,YES,32,0,24,asset_master,public,BASE TABLE,int4
,,floors_down,integer,YES,32,0,25,asset_master,public,BASE TABLE,int4
,,elevators,integer,YES,32,0,26,asset_master,public,BASE TABLE,int4
,,parking,text,YES,,,27,asset_master,public,BASE TABLE,text
,,height,numeric,YES,,,28,asset_master,public,BASE TABLE,numeric
,,completion_date,date,YES,,,29,asset_master,public,BASE TABLE,date
,,geocode_source,text,YES,,,30,asset_master,public,BASE TABLE,text
,,building_ledger_source,text,YES,,,31,asset_master,public,BASE TABLE,text
,'physical_asset'::text,asset_kind,text,NO,,,32,asset_master,public,BASE TABLE,text
,true,is_physical,boolean,NO,,,33,asset_master,public,BASE TABLE,bool
,false,is_synthetic,boolean,NO,,,34,asset_master,public,BASE TABLE,bool
,,portfolio_theme,text,YES,,,35,asset_master,public,BASE TABLE,text
,,portfolio_region,text,YES,,,36,asset_master,public,BASE TABLE,text
,,business_stage,text,YES,,,37,asset_master,public,BASE TABLE,text
,'unknown'::text,data_completeness,text,NO,,,38,asset_master,public,BASE TABLE,text
,false,manual_input_required,boolean,NO,,,39,asset_master,public,BASE TABLE,bool
,'not_checked'::text,api_enrichment_status,text,NO,,,40,asset_master,public,BASE TABLE,text
,,last_api_enriched_at,timestamp with time zone,YES,,,41,asset_master,public,BASE TABLE,timestamptz
,,physical_asset_name,text,YES,,,42,asset_master,public,BASE TABLE,text
,,non_physical_asset_label,text,YES,,,43,asset_master,public,BASE TABLE,text
,'undecided'::text,asset_name_cleanup_action,text,NO,,,44,asset_master,public,BASE TABLE,text
,,asset_name_cleanup_reason,text,YES,,,45,asset_master,public,BASE TABLE,text
,,asset_name_cleaned_at,timestamp with time zone,YES,,,46,asset_master,public,BASE TABLE,timestamptz
,,asset_id,text,NO,,,1,asset_project_links,public,BASE TABLE,text
,,project_id,text,NO,,,2,asset_project_links,public,BASE TABLE,text
,'related_project'::text,relation_type,text,NO,,,3,asset_project_links,public,BASE TABLE,text
