column_name,constraint_name,constraint_type,delete_rule,foreign_column_name,foreign_table_name,foreign_table_schema,ordinal_position,table_name,table_schema,update_rule
,2200_20918_1_not_null,CHECK,,,,,,asset_aliases,public,
,2200_20918_2_not_null,CHECK,,,,,,asset_aliases,public,
,2200_20918_3_not_null,CHECK,,,,,,asset_aliases,public,
,2200_20918_4_not_null,CHECK,,,,,,asset_aliases,public,
,2200_20918_7_not_null,CHECK,,,,,,asset_aliases,public,
,2200_20918_8_not_null,CHECK,,,,,,asset_aliases,public,
,2200_20918_9_not_null,CHECK,,,,,,asset_aliases,public,
asset_id,asset_aliases_asset_id_fkey,FOREIGN KEY,CASCADE,asset_id,asset_master,public,1,asset_aliases,public,NO ACTION
id,asset_aliases_pkey,PRIMARY KEY,,,,,1,asset_aliases,public,
,2200_21027_15_not_null,CHECK,,,,,,asset_building_ledger,public,
,2200_21027_18_not_null,CHECK,,,,,,asset_building_ledger,public,
,2200_21027_19_not_null,CHECK,,,,,,asset_building_ledger,public,
,2200_21027_1_not_null,CHECK,,,,,,asset_building_ledger,public,
,2200_21027_20_not_null,CHECK,,,,,,asset_building_ledger,public,
asset_id,asset_building_ledger_asset_id_fkey,FOREIGN KEY,CASCADE,asset_id,asset_master,public,1,asset_building_ledger,public,NO ACTION
asset_id,asset_building_ledger_pkey,PRIMARY KEY,,,,,1,asset_building_ledger,public,
,2200_20936_10_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_12_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_13_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_1_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_23_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_2_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_3_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_6_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_7_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_8_not_null,CHECK,,,,,,asset_fund_links,public,
,2200_20936_9_not_null,CHECK,,,,,,asset_fund_links,public,
,asset_fund_links_allocation_ratio_chk,CHECK,,,,,,asset_fund_links,public,
,asset_fund_links_allocation_status_chk,CHECK,,,,,,asset_fund_links,public,
,asset_fund_links_directness_chk,CHECK,,,,,,asset_fund_links,public,
,asset_fund_links_exposure_role_chk,CHECK,,,,,,asset_fund_links,public,
asset_id,asset_fund_links_asset_id_fkey,FOREIGN KEY,CASCADE,asset_id,asset_master,public,1,asset_fund_links,public,NO ACTION
fund_id,asset_fund_links_fund_id_fkey,FOREIGN KEY,CASCADE,fund_id,funds,public,1,asset_fund_links,public,NO ACTION
asset_id,asset_fund_links_pkey,PRIMARY KEY,,,,,1,asset_fund_links,public,
fund_id,asset_fund_links_pkey,PRIMARY KEY,,,,,2,asset_fund_links,public,
relation_type,asset_fund_links_pkey,PRIMARY KEY,,,,,3,asset_fund_links,public,
,2200_20879_11_not_null,CHECK,,,,,,asset_master,public,
,2200_20879_12_not_null,CHECK,,,,,,asset_master,public,
,2200_20879_15_not_null,CHECK,,,,,,asset_master,public,
