address_text,asset_confidence,asset_id,asset_role,canonical_name,dev_project_id,fund_confidence,fund_id,has_ledger,has_pnu,link_source,list_no,notion_business_stage_class,short_name,vehicle_role
울산광역시 울주군 삼남읍 교동리 1682-1번지,0.95,ast_eb6dfd75233b,primary_vehicle_asset,KTX울산역 오피스텔 개발사업,dp_001,0.99,P00034,False,True,funds.primary_asset_id,1,부실,P울산KTX,primary_pfv_vehicle
울산광역시 울주군 삼남읍 교동리 1682-1번지,0.95,ast_eb6dfd75233b,primary_project_asset,KTX울산역 오피스텔 개발사업,dp_001,0.99,P00034,False,True,projects.primary_asset_id,1,부실,P울산KTX,primary_pfv_vehicle
울산광역시 울주군 삼남읍 교동리 1682-1번지,0.94,ast_eb6dfd75233b,vehicle_linked_asset,KTX울산역 오피스텔 개발사업,dp_001,0.99,P00034,False,True,asset_fund_links,1,부실,P울산KTX,primary_pfv_vehicle
울산광역시 울주군 삼남읍 교동리 1682-1번지,0.95,ast_eb6dfd75233b,project_linked_asset,KTX울산역 오피스텔 개발사업,dp_001,0.99,P00034,False,True,asset_project_links,1,부실,P울산KTX,primary_pfv_vehicle
서울특별시 종로구 관훈동 155-2 외 4필지,0.97,ast_97eee497ab45,supporting_vehicle_linked_asset,PFV_Lotus (지분증권),dp_002,0.99,P00007,True,True,asset_fund_links,2,운영/실물,P로터스,primary_pfv_vehicle
서울특별시 종로구 관훈동 155-2 외 4필지,0.97,ast_f40e9a6c4433,supporting_vehicle_linked_asset,PFV_Lotus (사채),dp_002,0.99,P00007,True,True,asset_fund_links,2,운영/실물,P로터스,primary_pfv_vehicle
서울특별시 종로구 관훈동 155-2 외 4필지,0.97,ast_97eee497ab45,supporting_vehicle_linked_asset,PFV_Lotus (지분증권),dp_002,0.98,112114,True,True,asset_fund_links,2,운영/실물,120호,supporting_fund_vehicle
서울특별시 종로구 관훈동 155-2 외 4필지,0.97,ast_f40e9a6c4433,supporting_vehicle_linked_asset,PFV_Lotus (사채),dp_002,0.98,112114,True,True,asset_fund_links,2,운영/실물,120호,supporting_fund_vehicle
서울특별시 종로구 관훈동 155-2 외 4필지,0.97,ast_97eee497ab45,supporting_vehicle_linked_asset,PFV_Lotus (지분증권),dp_002,0.98,112115,True,True,asset_fund_links,2,운영/실물,121호,supporting_fund_vehicle
서울특별시 종로구 관훈동 155-2 외 4필지,0.97,ast_f40e9a6c4433,supporting_vehicle_linked_asset,PFV_Lotus (사채),dp_002,0.98,112115,True,True,asset_fund_links,2,운영/실물,121호,supporting_fund_vehicle
"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",0.95,ast_fa825d8bd449,primary_vehicle_asset,성수동 복합시설 개발사업,dp_003,0.99,P00010,False,False,funds.primary_asset_id,3,운영/실물,P성수PFV1,primary_pfv_vehicle
"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",0.95,ast_fa825d8bd449,primary_project_asset,성수동 복합시설 개발사업,dp_003,0.99,P00010,False,False,projects.primary_asset_id,3,운영/실물,P성수PFV1,primary_pfv_vehicle
"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",0.94,ast_fa825d8bd449,vehicle_linked_asset,성수동 복합시설 개발사업,dp_003,0.99,P00010,False,False,asset_fund_links,3,운영/실물,P성수PFV1,primary_pfv_vehicle
"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",0.95,ast_fa825d8bd449,project_linked_asset,성수동 복합시설 개발사업,dp_003,0.99,P00010,False,False,asset_project_links,3,운영/실물,P성수PFV1,primary_pfv_vehicle
경기도 안성시 원곡면 성은리 319-1,0.95,ast_d9f820e5df21,primary_project_asset,안성 성은지구 물류센터,dp_004,0.99,P00014,False,False,projects.primary_asset_id,4,운영/실물,P안성성은물류,primary_pfv_vehicle
경기도 안성시 원곡면 성은리 319-1,0.95,ast_d9f820e5df21,primary_vehicle_asset,안성 성은지구 물류센터,dp_004,0.99,P00014,False,False,funds.primary_asset_id,4,운영/실물,P안성성은물류,primary_pfv_vehicle
경기도 안성시 원곡면 성은리 319-1,0.95,ast_d9f820e5df21,project_linked_asset,안성 성은지구 물류센터,dp_004,0.99,P00014,False,False,asset_project_links,4,운영/실물,P안성성은물류,primary_pfv_vehicle
경기도 안성시 원곡면 성은리 319-1,0.94,ast_d9f820e5df21,vehicle_linked_asset,안성 성은지구 물류센터,dp_004,0.99,P00014,False,False,asset_fund_links,4,운영/실물,P안성성은물류,primary_pfv_vehicle
