merge_action,risk_level,merge_reason,target_tables,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,asset_semantics_hint,asset_name_decision_status,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,proposed_address,db_address_text,address_compare,proposed_pnu,db_pnu,pnu_compare,proposed_longitude,db_longitude,longitude_compare,proposed_latitude,db_latitude,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata,db_fetch_status,current_canonical_name,current_address_text,current_pnu,current_latitude,current_longitude,update_payload_json
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_34e35d0dff33,이지스부동산일반사모투자회사제543호,이지스부동산일반사모투자회사제543호,분당야탑물류센터,update_asset_name,underlying_asset,user_confirmed,worklist_proposed_name_unmatched,update_name_only_pending_location,True,190002 | 190003 | 190004,,,,,,,경기도 성남시 분당구 야탑동 403,no_proposed_value,,,no_proposed_value,,127.11873273896,no_proposed_value,,37.4148816506813,no_proposed_value,False,False,False,False,False,False,False,,,,,,False,found,이지스부동산일반사모투자회사제543호,경기도 성남시 분당구 야탑동 403,,37.4148816506813,127.11873273896,"{""canonical_name"": ""분당야탑물류센터""}"
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_428853fb1dec,글로벌 리츠,글로벌 리츠,Global REITs(삼성OCIO),update_asset_name,security_or_portfolio_asset,user_confirmed,worklist_proposed_name_unmatched,update_name_only_pending_location,True,112664,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False,found,글로벌 리츠,,,,,"{""canonical_name"": ""Global REITs(삼성OCIO)""}"
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_4a2972f3fd4f,주식회사 석암물류(SPC),주식회사 석암물류(SPC),양산 유산동 물류센터,update_asset_name,underlying_asset,user_confirmed,worklist_proposed_name_unmatched,update_name_only_pending_location,True,S00002,,,,,,,경상남도 양산시 유산동 509,no_proposed_value,,4833011100105090000,no_proposed_value,,129.026686856465,no_proposed_value,,35.3628771385706,no_proposed_value,False,True,True,False,False,False,False,,,,,,False,found,주식회사 석암물류(SPC),경상남도 양산시 유산동 509,4833011100105090000,35.3628771385706,129.026686856465,"{""canonical_name"": ""양산 유산동 물류센터""}"
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_4ae20e9370ca,이지스아디안유럽인프라일반사모혼합자산투자신탁제494호(재간접),이지스아디안유럽인프라일반사모혼합자산투자신탁제494호(재간접),ARDIAN Infrastructure Fund VI,update_asset_name,fund_interest_or_indirect_asset,provisional_adopted,worklist_proposed_name_unmatched,update_name_only_pending_location,True,112803,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False,found,이지스아디안유럽인프라일반사모혼합자산투자신탁제494호(재간접),,,,,"{""canonical_name"": ""ARDIAN Infrastructure Fund VI""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_4f5ea25eb396,이지스일반사모부동산투자신탁제291호,이지스일반사모부동산투자신탁제291호,피겨앤그라운드,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112322,112322,이지스일반사모부동산투자신탁제291호,1,리테일,리테일,서울특별시 강남구 신사동 543,서울특별시 강남구 신사동 543,same,1168010700105430000,1168010700105430000,same,127.023946746803,127.023946529811,same,37.5201803373496,37.5201806890901,same,True,True,True,True,True,False,False,58159,1168010700105430000,서울특별시 강남구 신사동 543,127.023946529811,37.5201806890901,True,found,이지스일반사모부동산투자신탁제291호,서울특별시 강남구 신사동 543,1168010700105430000,37.5201806890901,127.023946529811,"{""address_text"": ""서울특별시 강남구 신사동 543"", ""canonical_name"": ""피겨앤그라운드"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.5201803373496, ""longitude"": 127.023946746803, ""pnu"": ""1168010700105430000""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_56e6a7e4b54b,이지스부동산투자신탁280호,이지스부동산투자신탁280호,잠실새내 오피스텔 신축사업,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112298,112298,이지스부동산투자신탁280호,1,주거,주거,서울특별시 송파구 잠실동 183-12,서울특별시 송파구 잠실동 183-12,same,1171010100101830012,1171010100101830012,same,127.08364358314,127.083643638518,same,37.5109290334936,37.5109294236459,same,True,True,True,True,True,False,False,58142,1171010100101830012,서울특별시 송파구 잠실동 183-12,127.083643638518,37.5109294236459,True,found,이지스부동산투자신탁280호,서울특별시 송파구 잠실동 183-12,1171010100101830012,37.5109294236459,127.083643638518,"{""address_text"": ""서울특별시 송파구 잠실동 183-12"", ""canonical_name"": ""잠실새내 오피스텔 신축사업"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.5109290334936, ""longitude"": 127.08364358314, ""pnu"": ""1171010100101830012""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_58e37903d5ef,피에스KORIF사모부동산투자신탁5호,피에스KORIF사모부동산투자신탁5호,원주AK,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112004 | 112040 | 112119 | 112120 | 112121 | 112122 | 112123 | 112565,112004,피에스KORIF사모부동산투자신탁5호,1,리테일,리테일,강원특별자치도 원주시 단계동 1123,강원특별자치도 원주시 단계동 1123,same,5113011000111230000,5113011000111230000,same,127.927519495026,127.927519475776,same,37.3456623047375,37.3456627082781,same,True,True,True,True,True,False,False,57873,5113011000111230000,강원특별자치도 원주시 단계동 1123,127.927519475776,37.3456627082781,True,found,피에스KORIF사모부동산투자신탁5호,강원특별자치도 원주시 단계동 1123,5113011000111230000,37.3456627082781,127.927519475776,"{""address_text"": ""강원특별자치도 원주시 단계동 1123"", ""canonical_name"": ""원주AK"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.3456623047375, ""longitude"": 127.927519495026, ""pnu"": ""5113011000111230000""}"
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_616c3d79da75,이지스경산로지스제1호일반사모부동산투자회사(운용),이지스경산로지스제1호일반사모부동산투자회사(운용),경산 쿠팡물류센터,update_asset_name,underlying_asset,user_confirmed,worklist_proposed_name_unmatched,update_name_only_pending_location,True,120085 | 120086 | 120087 | 120088,,,,,,,경상북도 경산시 진량읍 문천리 903,no_proposed_value,,4729025330109030000,no_proposed_value,,128.841410657044,no_proposed_value,,35.8737058361886,no_proposed_value,False,True,True,False,False,False,False,,,,,,False,found,이지스경산로지스제1호일반사모부동산투자회사(운용),경상북도 경산시 진량읍 문천리 903,4729025330109030000,35.8737058361886,128.841410657044,"{""canonical_name"": ""경산 쿠팡물류센터""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_668935b47b6b,이지스KORIF사모부동산 투자신탁12호,이지스KORIF사모부동산 투자신탁12호,롯데마트(나주),update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112007,112007,이지스KORIF사모부동산 투자신탁12호,1,리테일,리테일,전라남도 나주시 송월동 1106-2,전라남도 나주시 송월동 1106-2,same,4617010200111060002,4617010200111060002,same,126.713118507568,126.713118289029,same,35.0132323136267,35.0132329039111,same,True,True,True,True,True,False,False,57876,4617010200111060002,전라남도 나주시 송월동 1106-2,126.713118289029,35.0132329039111,True,found,이지스KORIF사모부동산 투자신탁12호,전라남도 나주시 송월동 1106-2,4617010200111060002,35.0132329039111,126.713118289029,"{""address_text"": ""전라남도 나주시 송월동 1106-2"", ""canonical_name"": ""롯데마트(나주)"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 35.0132323136267, ""longitude"": 126.713118507568, ""pnu"": ""4617010200111060002""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_74fc8d406c81,이지스일반사모부동산투자신탁14호,이지스일반사모부동산투자신탁14호,신라스테이울산,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112011 | 120119,112011,이지스일반사모부동산투자신탁14호,1,호텔,호텔,울산광역시 남구 달동 1247-1,울산광역시 남구 달동 1247-1,same,3114010500112470001,3114010500112470001,same,129.329257608933,129.329257188218,same,35.5374851317199,35.5374856528665,same,True,True,True,True,True,False,False,57882,3114010500112470001,울산광역시 남구 달동 1247-1,129.329257188218,35.5374856528665,True,found,이지스일반사모부동산투자신탁14호,울산광역시 남구 달동 1247-1,3114010500112470001,35.5374856528665,129.329257188218,"{""address_text"": ""울산광역시 남구 달동 1247-1"", ""canonical_name"": ""신라스테이울산"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 35.5374851317199, ""longitude"": 129.329257608933, ""pnu"": ""3114010500112470001""}"
