asset_id,ok,mismatches,canonical_name,address_text,pnu,latitude,longitude,geocode_source
ast_34e35d0dff33,True,,분당야탑물류센터,경기도 성남시 분당구 야탑동 403,,37.4148816506813,127.11873273896,geocoding_cache
ast_428853fb1dec,True,,Global REITs(삼성OCIO),,,,,
ast_4a2972f3fd4f,True,,양산 유산동 물류센터,경상남도 양산시 유산동 509,4833011100105090000,35.3628771385706,129.026686856465,geocoding_cache
ast_4ae20e9370ca,True,,ARDIAN Infrastructure Fund VI,,,,,
ast_4f5ea25eb396,True,,피겨앤그라운드,서울특별시 강남구 신사동 543,1168010700105430000,37.5201803373496,127.023946746803,deal_board_domestic_completed_20240812
ast_56e6a7e4b54b,True,,잠실새내 오피스텔 신축사업,서울특별시 송파구 잠실동 183-12,1171010100101830012,37.5109290334936,127.08364358314,deal_board_domestic_completed_20240812
ast_58e37903d5ef,True,,원주AK,강원특별자치도 원주시 단계동 1123,5113011000111230000,37.3456623047375,127.927519495026,deal_board_domestic_completed_20240812
ast_616c3d79da75,True,,경산 쿠팡물류센터,경상북도 경산시 진량읍 문천리 903,4729025330109030000,35.8737058361886,128.841410657044,geocoding_cache
ast_668935b47b6b,True,,롯데마트(나주),전라남도 나주시 송월동 1106-2,4617010200111060002,35.0132323136267,126.713118507568,deal_board_domestic_completed_20240812
ast_74fc8d406c81,True,,신라스테이울산,울산광역시 남구 달동 1247-1,3114010500112470001,35.5374851317199,129.329257608933,deal_board_domestic_completed_20240812
ast_808ae65372f4,True,,오시리아타워레지던스,,,35.188692083,129.215212006,geocoding_cache
ast_835e9f381ae3,True,,"스카이박스1, 스카이박스2",인천광역시 서구 오류동 1549-4,2826011900115490004,37.5636465767383,126.60312264664,deal_board_domestic_completed_20240812
ast_8bd8d91c9bb8,True,,천안성성7지구공동주택,충청남도 천안시 서북구 성성동 366-3,4413310500103660003,36.8447388115237,127.124036411942,deal_board_domestic_completed_20240812
ast_8d2911b657d8,True,,파주 운정지구 오피스 개발사업,경기도 파주시 와동동 1433,4148012200114330000,37.7277254475286,126.761311088248,deal_board_domestic_completed_20240812
ast_8f4a16aa66fa,True,,여주쿠팡물류센터,경기도 여주시 점봉동 204-3,4167011500102040003,37.2493874799395,127.640067408447,deal_board_domestic_completed_20240812
ast_cf7655c37f5e,True,,일산CLC,경기도 고양시 일산동구 장항동 889,4128510400108890000,37.6542178160599,126.775960673561,deal_board_domestic_completed_20240812
ast_e6eadbaa08bd,True,,클럽디 속리산,충청북도 보은군 탄부면 상장리 643-3,4372034027106430003,36.4471156384991,127.782249596482,deal_board_domestic_completed_20240812
ast_f5220c768a13,True,,Global REITs (수협),,,,,
