project_name,primary_asset_id,master_project_id,master_project_code,mission_project_id,mission_project_code_before,mission_project_code_after,payload_fields
판교 아이스퀘어 E동,ast_578a66328a1e,project_notion_3268ced4-3c47-8158-8902-f21ce55b3dd5,PRJ-166,project_notion_3258ced4-3c47-81dc-9708-ed71db63bfd9,,PRJ-166,"metadata,project_code"
후너스빌딩,ast_1063cfdde684,project_notion_3268ced4-3c47-8159-b4ed-fa4f99b0e39d,PRJ-173,project_notion_3258ced4-3c47-818b-998b-db152c8abc76,,PRJ-173,"metadata,project_code"
팩토리얼 용산(용산 나진상가 재개발),,project_notion_3268ced4-3c47-815a-8d41-cd567948a9f1,PRJ-155,project_notion_3258ced4-3c47-8112-b036-c2173374bb23,,PRJ-155,"metadata,project_code"
미국 Scannell 물류 선매입 (No. 380),,project_notion_3268ced4-3c47-815c-a95c-cfdf89a93e03,PRJ-108,project_notion_3258ced4-3c47-8103-863b-c4faf6df5cce,,PRJ-108,"metadata,project_code"
더피나클강남,ast_edd6f6c3e3e5,project_notion_3268ced4-3c47-815d-bc7b-f9af47473801,PRJ-28,project_notion_3258ced4-3c47-8133-9e4f-e15caf3f7fd9,,PRJ-28,"metadata,project_code"
Paris Logistics Amazon,ast_713f8b4e24da,project_notion_3268ced4-3c47-815d-bd05-ff3741cc9101,PRJ-120,project_notion_3258ced4-3c47-8193-adc6-c875a6aec45a,,PRJ-120,"metadata,project_code"
뉴멕시코 아마존물류센터 개발,ast_f7a36f9524d4,project_notion_3268ced4-3c47-815e-8d21-faffc769a215,PRJ-25,project_notion_3258ced4-3c47-819e-adc6-d2f3a6d1dad3,,PRJ-25,"metadata,project_code"
평촌 G스퀘어,ast_03b867e56a1e,project_notion_3268ced4-3c47-815e-a4e5-c8bff77f2023,PRJ-149,project_notion_3258ced4-3c47-8189-8e94-ec28b1f3cf28,,PRJ-149,"metadata,project_code"
수서 PF재구조화펀드,ast_53985b2bb7f9,project_notion_3268ced4-3c47-8160-8514-e2f637de8531,PRJ-76,project_notion_3258ced4-3c47-811c-8b02-fb0dee02d093,,PRJ-76,"metadata,project_code"
남산소월타워 (舊 SK남산그린빌딩),,project_notion_3268ced4-3c47-8161-b97b-ee9063439baa,PRJ-168,project_notion_3258ced4-3c47-8189-ba69-ea321ec2c2e5,,PRJ-168,"metadata,project_code"
이오타서울 816,,project_notion_3268ced4-3c47-81bd-b9d1-c30e5cb3c556,PRJ-161,project_notion_3258ced4-3c47-81cb-a4ff-e9df05eb2777,,PRJ-161,"metadata,project_code"
