relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence
missing_one_or_more_names,인천 가좌동 소재 개발자산 선매입,,,,,physical_asset,데이터센터,,,fund_name; project_name,ast_0011c54227b4,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,안성산하3지구물류센터개발사업,,,경기도 안성시 원곡면 산하리500번지 외 168필지,,physical_asset,,,,fund_name; project_name,ast_004573bcb481,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,종로구 시니어주택 리모델링,,,서울시 종로구 평창동 153-3,,physical_asset,주거,,,fund_name; project_name,ast_0098d2fecd62,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스10호(2종)의  수익증권,,,,,physical_asset,오피스,,,fund_name; project_name,ast_00d6ab2ffdec,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스333호(디어스 명동),,,서울시 중구 남학동 13-2외 1필지,,physical_asset,,,,fund_name; project_name,ast_01045c0cd92d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,여의도 파이낸스타워,,,서울특별시 영등포구 국제금융로 2길 32,,physical_asset,,,,fund_name; project_name,ast_022d4816897f,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,성수동 복합시설 개발사업,,,"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",,physical_asset,오피스,,,fund_name; project_name,ast_023cb333482d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,판교 테크원타워,,,경기도 성남시 분당구 백현동 534,,physical_asset,오피스,,,fund_name; project_name,ast_024953888c95,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,시그니쳐타워,,,서울특별시 중구 수표동 99,,physical_asset,오피스,,,fund_name; project_name,ast_02870a4cfd6e,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,,,"Pantheon Viking Co-Invest LP, NMP V, PGSF VII, PSD III",physical_asset,오피스복합,운용,,project_name,ast_02f2fb35a743,200006,,세컨더리1호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58683,,,auto_created,0.94
missing_one_or_more_names,탑빌딩,이지스비즈성장공간플랫폼일반사모부동산투자신탁제1-3호,,경기도 성남시 분당구 야탑동 361-4,탑빌딩,physical_asset,오피스,운용,,project_name,ast_03afde6453fc,112597,,비즈성장1-3호,오피스,,underlying_asset,,direct_owner,direct,0.98,,resolved,no_project_link,no_project_link,fund_assets,58468,,,auto_created,0.98
missing_one_or_more_names,탑빌딩,이지스 KORIF 사모부동산투자신탁 22호,,경기도 성남시 분당구 야탑동 361-4,"서영빌딩, 탑빌딩, 트리스빌딩, 호수빌딩",physical_asset,오피스,청산,,project_name,ast_03afde6453fc,112025,,22호,오피스,,underlying_asset,,direct_owner,direct,0.98,,resolved,no_project_link,no_project_link,fund_assets,57897,,,auto_created,0.98
missing_one_or_more_names,신라스테이울산,,,울산광역시 남구 달동 1247-1 외 2필지,,physical_asset,호텔,,,fund_name; project_name,ast_03c3c2e1b0b2,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,여주 본두리 물류센터,,,경기도 여주시 가남읍 본두리 18-3,,physical_asset,물류센터,,,fund_name; project_name,ast_03f61e21a973,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,"메자닌, 공모주, 이벤트 드리븐",,,,,physical_asset,,,,fund_name; project_name,ast_042b9d125ed3,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,서울인터내셔널타워(SI타워),,,서울시 강남구 테헤란로 203(역삼동 679-4),,physical_asset,오피스,,,fund_name; project_name,ast_04878d0c997e,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
