column_name,nonblank_count,blank_count,nonblank_pct,distinct_nonblank,top_values
row_grain,1151,0,100.0,1,"[[""asset_fund_link"", 1151]]"
asset_id,1151,0,100.0,620,"[[""ast_aac5427c01f4"", 39], [""ast_d03e122e0d2d"", 39], [""ast_904ac8d066fb"", 38], [""ast_4d1430b5f175"", 38], [""ast_c010b7ae021c"", 17]]"
asset_name,1151,0,100.0,542,"[[""전환사채 | 공모주 | 비상장RCPS | 상장리츠 | AA+ 회사채"", 116], [""공모주"", 38], [""글로벌 리츠"", 33], [""국내 리츠"", 27], [""Hines US Property Partners"", 9]]"
asset_type,683,468,59.34,15,"[[""오피스복합"", 130], [""물류센터"", 114], [""오피스"", 108], [""주거"", 87], [""특별자산"", 66]]"
asset_kind,1151,0,100.0,2,"[[""physical_asset"", 1107], [""fund_interest"", 44]]"
business_stage,0,1151,0.0,0,[]
portfolio_theme,0,1151,0.0,0,[]
portfolio_region,0,1151,0.0,0,[]
country_code,453,698,39.36,1,"[[""KR"", 453]]"
city,177,974,15.38,65,"[[""뉴욕"", 14], [""워싱턴 D.C."", 9], [""서울시"", 8], [""런던"", 7], [""파리"", 7]]"
address_text,767,384,66.64,417,"[[""서울특별시 용산구 한남동 736-9"", 39], [""영등포구 여의공원로 115"", 39], [""십정동 630"", 9], [""인천광역시 서구 석남동 224-8"", 9], [""경기도 하남시 풍산동 607-2"", 9]]"
latitude,571,580,49.61,286,"[[""37.534608107048"", 39], [""37.530118673"", 39], [""35.8737058361886"", 9], [""37.474635711"", 9], [""37.5080672604298"", 9]]"
longitude,571,580,49.61,286,"[[""126.997909989582"", 39], [""126.926220748"", 39], [""128.841410657044"", 9], [""126.69874579"", 9], [""126.663419874331"", 9]]"
pnu,535,616,46.48,235,"[[""1117013100107360009"", 39], [""이지스자산운용본사"", 39], [""2823710200106300000"", 9], [""2826011000102240008"", 9], [""4145011000106070002"", 9]]"
asset_code,967,184,84.01,550,"[[""A112709003"", 38], [""A112425001"", 17], [""A112587001"", 17], [""A112621001"", 9], [""A112149001"", 9]]"
asset_review_status,1151,0,100.0,3,"[[""verified"", 702], [""auto_created"", 405], [""needs_review"", 44]]"
data_completeness,1151,0,100.0,2,"[[""unknown"", 967], [""incomplete"", 184]]"
api_enrichment_status,1151,0,100.0,3,"[[""not_checked"", 616], [""found"", 269], [""pending"", 266]]"
last_api_enriched_at,269,882,23.37,107,"[[""2026-06-01T06:57:30.172181+00:00"", 39], [""2026-06-01T07:02:00.439366+00:00"", 9], [""2026-06-01T07:02:00.573453+00:00"", 9], [""2026-06-01T07:02:09.505424+00:00"", 9], [""2026-06-01T07:02:21.864097+00:00"", 8]]"
fund_id,1151,0,100.0,783,"[[""112584"", 82], [""112504"", 47], [""112466"", 31], [""120045"", 8], [""112710"", 7]]"
