domain,severity,issue_type,fund_id,field,source_value,db_value,difference,source_rows,db_rows,recommendation
lender_exposure,review,fund_exposure_sum_change_candidate,112008,committed,530000000000,580000000000,-50000000000,12,13,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112008,drawn,530000000000,580000000000,-50000000000,12,13,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112029,committed,57500000000,130000000000,-72500000000,1,2,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112029,drawn,57500000000,127800000000,-70300000000,1,2,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112029,remaining,0,2200000000,-2200000000,1,2,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112153,committed,5000000000,7000000000,-2000000000,1,2,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112153,drawn,5000000000,7000000000,-2000000000,1,2,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112505,committed,100000000000,140597938000,-40597938000,3,4,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112505,drawn,100000000000,140597938000,-40597938000,3,4,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112589,committed,1770000000000,1900000000000,-130000000000,19,18,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112589,drawn,1700000000000,1805000000000,-105000000000,19,18,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112589,remaining,70000000000,95000000000,-25000000000,19,18,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112608,committed,651000000000,836500000000,-185500000000,16,13,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112608,drawn,583999999998,514999999998,69000000000,16,13,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,112608,remaining,67000000002,321500000002,-254500000000,16,13,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,190005,committed,85000000000,37000000000,48000000000,7,1,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,190005,drawn,10220000000,37000000000,-26780000000,7,1,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,190005,remaining,74780000000,0,74780000000,7,1,Review row-level exposure changes before replacing detail table.
