domain,severity,issue_type,fund_id,field,source_column,db_column,source_value,db_value,difference,recommendation
fund_aum,review,field_change_candidate,112005,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112006,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112008,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112008,equity_won,Equity 총액(원),equity_won,363210387716,362228633469,981754247,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112008,benchmark_aum,AUM(원),benchmark_aum,978754387716,977772633469,981754247,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112008,invested_equity_won,Equity 총액(원).1,invested_equity_won,363210387716,362228633469,981754247,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112008,invested_aum,AUM(원).1,invested_aum,978754387716,977772633469,981754247,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112011,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112012,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112016,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112017,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112018,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112024,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112026,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112026,equity_won,Equity 총액(원),equity_won,30173079000,29680833000,492246000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112026,benchmark_aum,AUM(원),benchmark_aum,30173079000,29680833000,492246000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112029,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112030,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112030,equity_won,Equity 총액(원),equity_won,75395000000,74165000000,1230000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112030,benchmark_aum,AUM(원),benchmark_aum,75395000000,74165000000,1230000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112032,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112032,equity_won,Equity 총액(원),equity_won,22633579000,22264333000,369246000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112032,benchmark_aum,AUM(원),benchmark_aum,22633579000,22264333000,369246000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112033,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112034,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112035,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112035,loan_won,Loan 총액(원),loan_won,366908413500,362919214500,3989199000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112035,benchmark_aum,AUM(원),benchmark_aum,517247693068,513258494068,3989199000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112035,invested_loan_won,Loan 총액(원).1,invested_loan_won,366908413500,362919214500,3989199000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112035,invested_aum,AUM(원).1,invested_aum,517247693068,513258494068,3989199000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112036,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112037,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112038,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112039,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112048,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112049,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112049,equity_won,Equity 총액(원),equity_won,419251285834,412411587159,6839698675,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112049,loan_won,Loan 총액(원),loan_won,187431970000,184374190000,3057780000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112049,benchmark_aum,AUM(원),benchmark_aum,606683255834,596785777159,9897478675,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112049,invested_loan_won,Loan 총액(원).1,invested_loan_won,160707826228,158086026025,2621800203,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112049,invested_aum,AUM(원).1,invested_aum,656929067385,654307267182,2621800203,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112051,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112051,equity_won,Equity 총액(원),equity_won,43933316300,43285057100,648259200,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112051,benchmark_aum,AUM(원),benchmark_aum,43933316300,43285057100,648259200,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112057,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112057,equity_won,Equity 총액(원),equity_won,226185000000,222495000000,3690000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112057,benchmark_aum,AUM(원),benchmark_aum,226185000000,222495000000,3690000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112057,invested_equity_won,Equity 총액(원).1,invested_equity_won,84287513234,86159144031,-1871630797,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112057,invested_aum,AUM(원).1,invested_aum,84287513234,86159144031,-1871630797,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112058,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112058,loan_won,Loan 총액(원),loan_won,267091199925,263150128725,3941071200,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112058,benchmark_aum,AUM(원),benchmark_aum,425053452015,421112380815,3941071200,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112058,invested_loan_won,Loan 총액(원).1,invested_loan_won,267091199925,263150128725,3941071200,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112058,invested_aum,AUM(원).1,invested_aum,425053452015,421112380815,3941071200,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112064,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112064,deposit_won,기준일자 임대보증금(원),deposit_won,1442934000,1436934000,6000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112064,benchmark_aum,AUM(원),benchmark_aum,96442934000,96436934000,6000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112064,invested_deposit_won,기준일자 임대보증금(원).1,invested_deposit_won,1442934000,1436934000,6000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112064,invested_aum,AUM(원).1,invested_aum,96442934000,96436934000,6000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112067,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112067,equity_won,Equity 총액(원),equity_won,126423723268,124361236636,2062486632,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112067,benchmark_aum,AUM(원),benchmark_aum,197723723268,195661236636,2062486632,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112068,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112069,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112074,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112074,equity_won,Equity 총액(원),equity_won,52698900000,51921300000,777600000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112074,benchmark_aum,AUM(원),benchmark_aum,52698900000,51921300000,777600000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112077,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112080,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112080,deposit_won,기준일자 임대보증금(원),deposit_won,10763519476,11513519476,-750000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112080,benchmark_aum,AUM(원),benchmark_aum,255952047476,256702047476,-750000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112080,invested_deposit_won,기준일자 임대보증금(원).1,invested_deposit_won,10763519476,11513519476,-750000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112080,invested_aum,AUM(원).1,invested_aum,187671176486,188421176486,-750000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112085,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112085,invested_equity_won,Equity 총액(원).1,invested_equity_won,405632192000,406100141000,-467949000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112085,invested_aum,AUM(원).1,invested_aum,887920872080,888388821080,-467949000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112086,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112092,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112093,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112093,equity_won,Equity 총액(원),equity_won,737326000000,732142000000,5184000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112093,loan_won,Loan 총액(원),loan_won,271915784220,267903523740,4012260480,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112093,benchmark_aum,AUM(원),benchmark_aum,1009241784220,1000045523740,9196260480,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112093,invested_loan_won,Loan 총액(원).1,invested_loan_won,271915784220,267903523740,4012260480,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112093,invested_aum,AUM(원).1,invested_aum,826584835286,822572574806,4012260480,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112095,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112100,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112104,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112109,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112114,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112115,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112127,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112132,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112143,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112143,equity_won,Equity 총액(원),equity_won,30158000000,29666000000,492000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112143,benchmark_aum,AUM(원),benchmark_aum,30158000000,29666000000,492000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112144,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112147,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112147,equity_won,Equity 총액(원),equity_won,120632000000,118664000000,1968000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112147,benchmark_aum,AUM(원),benchmark_aum,120632000000,118664000000,1968000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112153,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112158,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112158,equity_won,Equity 총액(원),equity_won,105553000000,103831000000,1722000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112158,benchmark_aum,AUM(원),benchmark_aum,105553000000,103831000000,1722000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112159,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112160,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112162,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112162,equity_won,Equity 총액(원),equity_won,37697500000,37082500000,615000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112162,benchmark_aum,AUM(원),benchmark_aum,37697500000,37082500000,615000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112165,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112170,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112170,loan_won,Loan 총액(원),loan_won,14403822696,14168837592,234985104,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112170,benchmark_aum,AUM(원),benchmark_aum,28922965409,28687980305,234985104,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112170,invested_loan_won,Loan 총액(원).1,invested_loan_won,14403822696,14168837592,234985104,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112170,invested_aum,AUM(원).1,invested_aum,28922965409,28687980305,234985104,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112171,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112171,loan_won,Loan 총액(원),loan_won,9602548464,9445891728,156656736,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112171,benchmark_aum,AUM(원),benchmark_aum,19281979520,19125322784,156656736,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112171,invested_loan_won,Loan 총액(원).1,invested_loan_won,9602548464,9445891728,156656736,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112171,invested_aum,AUM(원).1,invested_aum,19281979520,19125322784,156656736,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112172,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112172,deposit_won,기준일자 임대보증금(원),deposit_won,441669798271,440345975151,1323823120,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112172,benchmark_aum,AUM(원),benchmark_aum,1230639798271,1229315975151,1323823120,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112172,invested_deposit_won,기준일자 임대보증금(원).1,invested_deposit_won,441669798271,440345975151,1323823120,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112172,invested_aum,AUM(원).1,invested_aum,995705666116,994381842996,1323823120,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112173,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112173,equity_won,Equity 총액(원),equity_won,216768142000,213569614000,3198528000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112173,benchmark_aum,AUM(원),benchmark_aum,216768142000,213569614000,3198528000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112173,invested_equity_won,Equity 총액(원).1,invested_equity_won,142254417283,142515404804,-260987521,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112173,invested_aum,AUM(원).1,invested_aum,142254417283,142515404804,-260987521,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112180,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112180,equity_won,Equity 총액(원),equity_won,22618500000,22249500000,369000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112180,benchmark_aum,AUM(원),benchmark_aum,22618500000,22249500000,369000000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112182,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112182,equity_won,Equity 총액(원),equity_won,83091420000,81945470000,1145950000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112182,benchmark_aum,AUM(원),benchmark_aum,83091420000,81945470000,1145950000,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,field_change_candidate,112183,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,field_change_candidate,112191,aum_base_date,기준일자,aum_base_date,2026-05-31,2026-04-30,,Review before update. Do not apply automatically.
fund_aum,review,numeric_change_candidate,112191,loan_won,Loan 총액(원),loan_won,77195105350,76056050950,1139054400,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112191,benchmark_aum,AUM(원),benchmark_aum,132129767860,130990713460,1139054400,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112191,invested_loan_won,Loan 총액(원).1,invested_loan_won,77195105350,76056050950,1139054400,Likely update candidate if the new workbook is the authoritative period.
fund_aum,review,numeric_change_candidate,112191,invested_aum,AUM(원).1,invested_aum,132129767860,130990713460,1139054400,Likely update candidate if the new workbook is the authoritative period.
