asset_code,alias_name,alias_type,confidence,review_status
A112001001,NC백화점(강서),source_asset_master_name,0.98,verified_source_key
A112001002,2001아울렛(안양),source_asset_master_name,0.98,verified_source_key
A112002001,포도몰,source_asset_master_name,0.98,verified_source_key
A112003001,"NH농협생명빌딩 서관(구, 임광빌딩 본관)",source_asset_master_name,0.98,verified_source_key
A112003002,"NH농협생명빌딩 동관(구, 임광빌딩 신관)",source_asset_master_name,0.98,verified_source_key
A112004001,원주AK,source_asset_master_name,0.98,verified_source_key
A112005001,더피나클강남,source_asset_master_name,0.98,verified_source_key
A112006001,눈스퀘어,source_asset_master_name,0.98,verified_source_key
A112007001,롯데마트(나주),source_asset_master_name,0.98,verified_source_key
A112008001,홈플러스금천점,source_asset_master_name,0.98,verified_source_key
A112008002,홈플러스동수원점,source_asset_master_name,0.98,verified_source_key
A112008003,홈플러스센텀시티점,source_asset_master_name,0.98,verified_source_key
A112008004,홈플러스영등포점,source_asset_master_name,0.98,verified_source_key
A112010001,런던원우드스트리트 Prime오피스,source_asset_master_name,0.98,verified_source_key
A112011001,신라스테이울산,source_asset_master_name,0.98,verified_source_key
A112012001,동일타워,source_asset_master_name,0.98,verified_source_key
A112013001,SKT구로사옥,source_asset_master_name,0.98,verified_source_key
A112015001,남산그린빌딩,source_asset_master_name,0.98,verified_source_key
A112017001,G밸리비즈플라자,source_asset_master_name,0.98,verified_source_key
A112018001,홈플러스삼천포점,source_asset_master_name,0.98,verified_source_key
A112018002,홈플러스진주점,source_asset_master_name,0.98,verified_source_key
A112018003,홈플러스죽도점,source_asset_master_name,0.98,verified_source_key
A112019001,London Office Ropemaker Place,source_asset_master_name,0.98,verified_source_key
A112024001,트윈트리타워,source_asset_master_name,0.98,verified_source_key
A112025001,서영빌딩,source_asset_master_name,0.98,verified_source_key
A112025002,탑빌딩,source_asset_master_name,0.98,verified_source_key
A112025003,트리스빌딩,source_asset_master_name,0.98,verified_source_key
A112025004,호수빌딩,source_asset_master_name,0.98,verified_source_key
A112026001,PartnersGroup Real Estate Secondary 2013,source_asset_master_name,0.98,verified_source_key
A112028001,광화문G타워,source_asset_master_name,0.98,verified_source_key
A112029001,노스게이트빌딩,source_asset_master_name,0.98,verified_source_key
A112033001,대구시티센터,source_asset_master_name,0.98,verified_source_key
A112034001,신라스테이제주,source_asset_master_name,0.98,verified_source_key
A112035001,Sanofi 본사(파리),source_asset_master_name,0.98,verified_source_key
A112035002,Bell 본사(몬트리올),source_asset_master_name,0.98,verified_source_key
A112035003,OJP사옥(워싱턴),source_asset_master_name,0.98,verified_source_key
A112036001,Sanofi 본사(파리) 대출,source_asset_master_name,0.98,verified_source_key
A112036002,Bell 본사(몬트리올) 대출,source_asset_master_name,0.98,verified_source_key
A112036003,OJP사옥(워싱턴) 대출,source_asset_master_name,0.98,verified_source_key
A112037001,롯데수원역쇼핑타운토지,source_asset_master_name,0.98,verified_source_key
A112038001,오토웨이타워,source_asset_master_name,0.98,verified_source_key
A112039001,정동빌딩,source_asset_master_name,0.98,verified_source_key
A112041001,CBRE IM European Logistics Partners Fund,source_asset_master_name,0.98,verified_source_key
A112042001,신라스테이서대문,source_asset_master_name,0.98,verified_source_key
A112043001,이지스모 43호,source_asset_master_name,0.98,verified_source_key
A112045001,씨티센터타워,source_asset_master_name,0.98,verified_source_key
A112046001,프랑스 Orange Telecome 오피스,source_asset_master_name,0.98,verified_source_key
A112047001,남악신도시 복합쇼핑몰,source_asset_master_name,0.98,verified_source_key
A112048001,신라스테이해운대,source_asset_master_name,0.98,verified_source_key
A112049000,Atlanta Office Midtown I&II,source_asset_master_name,0.98,verified_source_key
A112049001,Atlanta Office Midtown I,source_asset_master_name,0.98,verified_source_key
A112049002,Atlanta Office Midtown II,source_asset_master_name,0.98,verified_source_key
A112049003,Atlanta Office Midtown 주차빌딩,source_asset_master_name,0.98,verified_source_key
A112050001,Prologis Targeted European Logistics Fund,source_asset_master_name,0.98,verified_source_key
A112051001,Hines Poland Sustainable Income Fund,source_asset_master_name,0.98,verified_source_key
A112052001,우덕빌딩,source_asset_master_name,0.98,verified_source_key
A112053001,영등포역 오피스텔 개발사업,source_asset_master_name,0.98,verified_source_key
A112054001,롯데마트(대전대덕),source_asset_master_name,0.98,verified_source_key
A112054002,롯데마트(제주),source_asset_master_name,0.98,verified_source_key
A112054003,롯데팩토리아울렛(인천),source_asset_master_name,0.98,verified_source_key
A112055001,씨티플라자,source_asset_master_name,0.98,verified_source_key
A112056001,롯데마트(포항),source_asset_master_name,0.98,verified_source_key
A112057001,Colony Distressed Credit Fund IV,source_asset_master_name,0.98,verified_source_key
A112058001,Vienna Office & Retail Wien Mitte,source_asset_master_name,0.98,verified_source_key
A112059001,수송스퀘어,source_asset_master_name,0.98,verified_source_key
A112063001,Washington D.C. Washington Square Mezzanine Loan,source_asset_master_name,0.98,verified_source_key
A112064001,쌈지길,source_asset_master_name,0.98,verified_source_key
A112065001,Miami Courvoisier Center Senior Loan,source_asset_master_name,0.98,verified_source_key
A112066001,PFV_Westwood 지분증권,source_asset_master_name,0.98,verified_source_key
A112067001,괌 웨스틴 호텔,source_asset_master_name,0.98,verified_source_key
A112068001,New York 787 Seventh Avenue Mezzanine Loan,source_asset_master_name,0.98,verified_source_key
A112071001,종로타워,source_asset_master_name,0.98,verified_source_key
A112072001,Nuveen UK Enhanced Debt Fund,source_asset_master_name,0.98,verified_source_key
A112073001,Dallas KPMG Plaza Senior Loan,source_asset_master_name,0.98,verified_source_key
A112074001,AXA Real Estate Development Venture IV,source_asset_master_name,0.98,verified_source_key
A112075001,유림빌딩,source_asset_master_name,0.98,verified_source_key
A112076001,US BioMed Portfolio Senior Loan,source_asset_master_name,0.98,verified_source_key
A112077001,Washington D.C. Atlantic Building Senior Loan,source_asset_master_name,0.98,verified_source_key
A112078001,순화타워,source_asset_master_name,0.98,verified_source_key
A112080001,업스퀘어,source_asset_master_name,0.98,verified_source_key
A112081001,NC백화점(야탑),source_asset_master_name,0.98,verified_source_key
A112081002,뉴코아아울렛(평촌),source_asset_master_name,0.98,verified_source_key
A112081003,뉴코아아울렛(일산),source_asset_master_name,0.98,verified_source_key
A112082001,부실채권을 기초자산으로 하는 SPC의 출자지분 및 사채,source_asset_master_name,0.98,verified_source_key
A112085001,평촌G스퀘어,source_asset_master_name,0.98,verified_source_key
A112086001,신도림핀포인트,source_asset_master_name,0.98,verified_source_key
A112092001,Washington D.C. Woodies Building Senior Loan,source_asset_master_name,0.98,verified_source_key
A112093001,Hamburg Office Fleet II,source_asset_master_name,0.98,verified_source_key
A112093002,Brussels Office Brederode,source_asset_master_name,0.98,verified_source_key
A112093003,Barcelona Office Fontanella,source_asset_master_name,0.98,verified_source_key
A112093004,Prague Office Praga Studios,source_asset_master_name,0.98,verified_source_key
A112093005,Paris Office Louis David,source_asset_master_name,0.98,verified_source_key
A112094001,GLP U.S. Income Partners III,source_asset_master_name,0.98,verified_source_key
A112095001,New York Office 85 Tenth Avenue Senior Loan,source_asset_master_name,0.98,verified_source_key
A112096001,T타워,source_asset_master_name,0.98,verified_source_key
A112099001,하남미사우성르보아파크,source_asset_master_name,0.98,verified_source_key
A112100001,스타필드(고양),source_asset_master_name,0.98,verified_source_key
A112101001,마제스타시티타워1,source_asset_master_name,0.98,verified_source_key
A112104001,태평로빌딩,source_asset_master_name,0.98,verified_source_key
A112107001,102호 수익증권(재간접),source_asset_master_name,0.98,verified_source_key
A112108001,LasVegas The Cosmopolitan Hotel Junior Mezzanine Loan,source_asset_master_name,0.98,verified_source_key
A112109001,부산송정물류센터,source_asset_master_name,0.98,verified_source_key
A112110001,바른빌딩,source_asset_master_name,0.98,verified_source_key
A112113001,Shiba Park Building,source_asset_master_name,0.98,verified_source_key
A112114001,PFV_Lotus (지분증권),source_asset_master_name,0.98,verified_source_key
A112115001,PFV_Lotus (사채),source_asset_master_name,0.98,verified_source_key
A112116001,Newark Two Riverfront Plaza Senior B-Note Loan (Panasonic),source_asset_master_name,0.98,verified_source_key
A112117001,진해오션리조트 선순위 대출,source_asset_master_name,0.98,verified_source_key
A112118001,LS용산타워,source_asset_master_name,0.98,verified_source_key
A112124001,부실채권을 기초자산으로 하는 SPC 사채,source_asset_master_name,0.98,verified_source_key
A112125001,Prologis Targeted European Logistics Fund,source_asset_master_name,0.98,verified_source_key
A112126001,"세운 6-3-1,2구역 도시환경정비사업",source_asset_master_name,0.98,verified_source_key
A112127001,아레나스양지물류센터,source_asset_master_name,0.98,verified_source_key
A112131001,118호 수익증권(재간접),source_asset_master_name,0.98,verified_source_key
A112132001,홈플러스전주효자점,source_asset_master_name,0.98,verified_source_key
A112135001,Canyon Distressed Opportunity Fund II,source_asset_master_name,0.98,verified_source_key
A112136001,광명 역세권지구 복합시설 신축,source_asset_master_name,0.98,verified_source_key
A112138001,J.P. Morgan Asia-Pacific Property Fund,source_asset_master_name,0.98,verified_source_key
A112139001,시그니쳐타워,source_asset_master_name,0.98,verified_source_key
A112140001,시그니쳐타워,source_asset_master_name,0.98,verified_source_key
A112142001,태양광설비회사 대출채권,source_asset_master_name,0.98,verified_source_key
A112143001,Ares Landmark Real Estate Partners VIII,source_asset_master_name,0.98,verified_source_key
A112144001,V플렉스,source_asset_master_name,0.98,verified_source_key
A112147001,Rockpoint Growth and Income Real Estate Fund II,source_asset_master_name,0.98,verified_source_key
A112148001,판교 알파돔시티 비즈니스호텔,source_asset_master_name,0.98,verified_source_key
A112149001,부평 더샵센트럴시티 공공지원민간임대주택,source_asset_master_name,0.98,verified_source_key
A112150001,New York 1551 Broadway Mezzanine Loan,source_asset_master_name,0.98,verified_source_key
A112152001,판교 창조경제밸리 특별계획구역(I-Square),source_asset_master_name,0.98,verified_source_key
A112153001,가로골목,source_asset_master_name,0.98,verified_source_key
A112154001,세종시 어반아트리움,source_asset_master_name,0.98,verified_source_key
A112154002,화양동 도시형생활주택,source_asset_master_name,0.98,verified_source_key
A112157001,154호 수익증권(재간접),source_asset_master_name,0.98,verified_source_key
A112158001,TH Real Estate China Outlet Mall Fund,source_asset_master_name,0.98,verified_source_key
A112159001,에스피청주 복합상업시설,source_asset_master_name,0.98,verified_source_key
A112160001,지엘가산메트로 주식회사,source_asset_master_name,0.98,verified_source_key
