asset_code,canonical_name_candidate,asset_type,business_stage,country_or_overseas,raw_address,portfolio_region,country,city,gross_floor_area_m2,gross_floor_area_py,completion_date,sold_flag,source_row_number,row_hash
A112001001,NC백화점(강서),리테일,운영/실물,국내,서울특별시 강서구 등촌동 689번지 외 2필지,대한민국,대한민국,,110026.57,33283.04,2011-09-07,Y,2,0473ba7614ca1aa6306d3a155feda5f6a392d955d64c0beae7de4e13e3e7056d
A112001002,2001아울렛(안양),리테일,운영/실물,국내,경기도 안양시 만안구 안양동 627-287,대한민국,대한민국,,25415.7,7688.25,1985-12-04,Y,3,fd1b1f8785afd8c9a00bd44874fe9255c3b822045b867f67ccb243df628e4ee3
A112002001,포도몰,리테일,운영/실물,국내,서울특별시 관악구 신림동 1641-2,대한민국,대한민국,,37758.82,11422.04,2009-06-30,Y,4,eaa862f2a0919324e71c18a4090ea3cb0d8d11df640a718e7815b50155d5959f
A112003001,"NH농협생명빌딩 서관(구, 임광빌딩 본관)",오피스,운영/실물,국내,서울특별시 서대문구 미근동 267,대한민국,대한민국,,34608.22,10468.99,2006-11-30,Y,5,17734fe75a1f0b19e0a8a38e55f708779d4a6d91edc119def35459c1bd6d3f6c
A112003002,"NH농협생명빌딩 동관(구, 임광빌딩 신관)",오피스,운영/실물,국내,서울특별시 서대문구 미근동 257,대한민국,대한민국,,29547.27,8938.05,2006-11-30,Y,6,3b6dfeb674c2b34adf879b608a343527194291cf29ffbd0ac43d15830dae7aa3
A112004001,원주AK,리테일,운영/실물,국내,강원도 원주시 단계동 1123,대한민국,대한민국,,83531.72,25268.35,2012-03-27,Y,7,d087eeb10ae982973ca89d0b473f9dea80061a55507ba644dec1ce67abdb8c56
A112005001,더피나클강남,오피스,운영/실물,국내,서울특별시 강남구 논현동 119,대한민국,대한민국,,44410.48,13434.17,2011-09-30,N,8,a7ee37adefe0be5b8b03d20e37718a8e631c3ccf4023c40ed79f1661fb688a68
A112006001,눈스퀘어,리테일,운영/실물,국내,서울특별시 중구 명동2가 83-5,대한민국,대한민국,,23834.02,7209.79,1970-12-21,N,9,8c7b3b74560f5e290e960bfce53d40d3b180276e2eb108d9f5be85050ca3bac0
A112007001,롯데마트(나주),리테일,운영/실물,국내,전라남도 나주시 송월동 1106-2 외 2필지,대한민국,대한민국,,5963.07,1803.83,2012-04-26,Y,10,df54ccba696aeab3ee9720ebd21468c9cc150a93fd8dc66924e668ee129c7509
A112008001,홈플러스금천점,리테일,운영/실물,국내,서울특별시 금천구 독산동 291-7,대한민국,대한민국,,59421.61,17975.04,2007-12-20,N,11,b0f0b0cb5cc3e09980433825c7ce222ac6158a99814d39e53ba9dda7d4f93bac
