fund_id,source_sequence,source_asset_name,matched_asset_code,relation_type,confidence,review_status,match_reason,source_row_number,row_hash
112005,1,더피나클강남,A112005001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,2,713552a16f72fbcd72a65182b718583b664ed33c491771336b816232034ffcc6
112006,1,눈스퀘어,A112006001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,3,704335267eee26502403aeb1986e20670a540bf545d19fd03fd03c406e1df407
112008,1,홈플러스금천점,A112008001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,4,0123d24e7c0d5568faab6cb42b2954cdfca4089fce356146b4a92c9d3ef1d745
112008,2,홈플러스동수원점,A112008002,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,5,cbcabf1ecf9f1f92eea1f2d9b7d9606a8b95bfd57eebf55d84b90191aba0b7bc
112008,3,홈플러스센텀시티점,A112008003,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,6,e6807ee0311c90d150e1a5eec1c18813986b9197aedbe2afc8b6889a3b810234
112008,4,홈플러스영등포점,A112008004,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,7,08b2215787c3d8b8279da7e3c5daaff6a05b875e7aa73c3889179b4c73340431
112011,1,신라스테이울산,A112011001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,8,9c49de8d0a14706d24f194d31148c0698a88cb22de037a694122566935f24a51
112012,1,동일타워,A112012001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,9,ca1f74eb834a9ca15cc818bd4b40c19f596a4f525d4d0bb07c64a8df27daf6f8
112016,1,남산그린빌딩,A112015001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,10,28f7effa69a82ccc85644f12b93ed2484e1964b5411a3fd243a02d1069f91882
112017,1,G밸리비즈플라자,A112017001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,11,04d7c37767ce3829dfd80b273190d9f83724d89cc5c20807d5a63ad572067314
112018,1,홈플러스삼천포점,A112018001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,12,4e55d7692a46f88c9a0d721aeac7a2b5ef0e69a47533bd9e952ffe6288a63aee
112018,2,홈플러스진주점,A112018002,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,13,f7a37b88c7c612b137eb0ae1281904f5206f43031bdd39fe1e55dbb3e4294987
112018,3,홈플러스죽도점,A112018003,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,14,63d34e21b50d76417c4658fd3ecc3dca5a890cffdd167c0921b6230aecacfb10
112024,1,트윈트리타워,A112024001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,15,f51ff3412f535e9dbe35cbe338844d96407734bc02c7e587bfd888fa05ced479
112026,1,PartnersGroup Real Estate Secondary 2013,A112026001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,16,8530f8b1aa8c3fbd4f2a96d772e2ea2a52bf73e989848c15150fb4a3aa25cfb0
112029,1,노스게이트빌딩,A112029001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,17,5ee8453aec1faee02c693acb09b6251501a327556d741fb6131fb19bb577c643
112030,1,PartnersGroup Real Estate Secondary 2013,A112026001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,18,20ff51cbc3fd55b4a1895568bc837dc2344a2a9d4135fec2afaece5f465be004
112032,1,PartnersGroup Real Estate Secondary 2013,A112026001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,19,82f235c68a459b7237b46a09c893a99743a671471f982341df572256433caf8e
112033,1,대구시티센터,A112033001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,20,94b17c868a3994fc617d5f986b522edc918433343afdc9d95426f6b07904ec03
112034,1,신라스테이제주,,underlying_asset,0.45,needs_review,normalized_asset_name_ambiguous,21,0110768e26728db49c8f8f5027e330704290c187bfc213fd22504ce679a424a0
112035,1,Sanofi 본사(파리),A112035001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,22,2b322d8af546ea7406d3e43213be687d27708e71163437d6f9ffda3979cdc647
112035,2,Bell 본사(몬트리올),A112035002,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,23,8679bbfe976c843f59ddd619af02e8fe509e7c61ce6f8121d5f6cdb3a65bebbe
112035,3,OJP사옥(워싱턴),A112035003,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,24,d2b24dc08dfdd502ad8c65141301aa8e7b8d3ba573a65004c8c1ff21b111c6e2
112036,1,Sanofi 본사(파리) 대출,A112036001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,25,c8fda3074a78fab0b5f582fc0036988f6935489d244c172f2fbc35e33c5eda40
112036,2,Bell 본사(몬트리올) 대출,A112036002,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,26,3961799c5fb90849c2d91644d9f36ef99c161fc616e3960be2ec19f569ddc509
112036,3,OJP사옥(워싱턴) 대출,A112036003,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,27,7c7e4e782a5e7cba0abf959b4f7a7f6913444a1e4ef2854c76e0d5a781d61d73
112037,1,롯데수원역쇼핑타운토지,A112037001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,28,419f0a22c046f9d1fccb851899cc2024398664555c73ea291cb50bef91d8f7e2
112038,1,오토웨이타워,A112038001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,29,3e88accb27674fad96bdfb8a4e04d64156a8cb7f4b064ecdff5cbd0d9d12bb7d
112039,1,정동빌딩,A112039001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,30,fb7cb433ce08ae2ba795f1ee4bd4e07a37ef178d98e53d92ba400397c23db469
112048,1,신라스테이해운대,A112048001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,31,1fdcdf44722f904f3788c7e4ad963e2fe01347295fdb0b06d6906f35df6b3d6e
112049,1,Atlanta Office Midtown I,A112049001,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,32,b47edf64e76530afe2fabe39843afbe603a428cfdd74f599984793b0906e4a11
112049,2,Atlanta Office Midtown II,A112049002,underlying_asset,0.94,auto_matched,normalized_asset_name_unique,33,044f0aba7cc2415e6d4950eb3d5e8655581ca449f5f6212622a72f9c9b4d7b37
