fund_id,snapshot_date,benchmark_aum,invested_aum,equity_won,loan_won,deposit_won,aum_basis,asset_allocation_policy,source_row_number,row_hash
112005,2026-05-31,472067985341,414767985341,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,3,fcd549e9a442910f6135eb87e2f72a0cdd676cc1fb94553ef7ad4782c25b6181
112006,2026-05-31,285640004779,275940004779,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,4,b7b7eebadd2abbd98640f3dd6604b463e3d8b64744405c756e85d609b5340858
112008,2026-05-31,978754387716,978754387716,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,5,c49563f4639786a9f1bff3945082aca3ace1d1dd35353e265752bbd4555bff0e
112011,2026-05-31,89500000000,65860675862,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,6,338af4d3d8d3baec3328b67fb11ab873924ad158683b20fc0ea0738a67a1899f
112012,2026-05-31,219811847170,204575994248,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,7,bc849781498e7c54aaf010b3ff39306f5f5ffcb6c738bca63646941aa8555fb0
112016,2026-05-31,583769942081,688769942081,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,8,17669df34a5cbb3e12fd1c9f5f9c7882e95131b71a0842cfdc54f182bf93faa1
112017,2026-05-31,429658773800,429658773800,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,9,5236bdc55166e3a32c2d8c650e82433a9d502c152d7cc81c6351a1d940b59ecc
112018,2026-05-31,236500000000,160500000000,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,10,6cc2e97b7cfead4fabb6ca678bd3f1d62d14e2c8258b3b60f66abfdb7c19b78d
112024,2026-05-31,623605096071,610905096071,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,11,8753c7006017e5c3feb5b16ddbc55ff0489b6c26ad18674444edd3b8e0eae41a
112026,2026-05-31,30173079000,6909238629,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,12,b9177c7a8b7861736dcbb22b3cd8de72e8b2d88665556f6607f12136e71be524
112029,2026-05-31,355742897050,199242897050,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,13,f71ff114bacee240ccda6cea5c732aaa51848bb40435b5b102febb4decb7b25f
112030,2026-05-31,75395000000,18402041646,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,14,3c17e51a77717f520c7e0edb416ec969ef28b78a7046e8ac383d2e33c3b5aa0e
112032,2026-05-31,22633579000,6158970976,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,15,2294ac1876fec20656e47cb92a5f10b71c8467c088bb08022dbba41bdf505e6a
112033,2026-05-31,116272152179,115890272361,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,16,c2e894c4a23087376b1397755669271354f156e1a0c9c9c92c25f28bfc2ae6db
112034,2026-05-31,90813758372,90813758372,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,17,7465c3ba60035dc1aefb27098cb16aca09418e797474408fd8eb96b8574751d3
112035,2026-05-31,517247693068,517247693068,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,18,a724245d58c208facab0b5dfe751a15ed2e9becc5f90087accc10164323f5e72
112036,2026-05-31,135625967128,135625967128,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,19,edbc30d2233ca12b05c483d02cac2b1a600715c439da2d9a091ae60b044a1997
112037,2026-05-31,283800000000,283800000000,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,20,ccbe3fbc3ef82ab809ba892d2b5d2dd94542634eacd1946c8f984673d5f2811d
112038,2026-05-31,340502754000,330401922998,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,21,4b18d54289740b54d7a6875c0fba78bf1cadbc682f475d4d50bb31e0b1ce6d06
112039,2026-05-31,350316456120,350316456120,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,22,fc269602faaaa1ae675119d4311c0fa5140b5995eb4c576139bd7a3d5118063e
112048,2026-05-31,196662128220,196662128220,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,23,1eb05e0377b192da3cb15c4fe6638e04401914db1bdd94c5b4b7c0fb4d867b8a
112049,2026-05-31,606683255834,656929067385,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,24,00879d5193825b1896e9d685f6df0fa7b9a2fce2ee6dfe9118cf861f5d1bed09
112051,2026-05-31,43933316300,15184928920,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,25,3617a4c77c092d81a818ae420b76a78ac725e090b6cc83417cc319e11761895c
112057,2026-05-31,226185000000,84287513234,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,26,a80d5c47b4be49bbc996a45576400c195441bc18f079f9d223caef69c8995cd3
112058,2026-05-31,425053452015,425053452015,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,27,f96e7997f271d2c138ee8b2695ba752235e6d91d1330cae0525ee2ff1de54b27
112064,2026-05-31,96442934000,96442934000,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,28,583194ece440dd1f00568887ff628d9c68db61914d770ee1fe8db24e725fab52
112067,2026-05-31,197723723268,240834749673,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,29,23c87969e8fc01d72801367a1000f5664d14458571549563a97e03cc23dce4c4
112068,2026-05-31,155677752,155677752,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,30,b220692aecee835f3f687e41424c0d5e34a255e38e70c010eab2812f3502f051
112069,2026-05-31,155677752,155677752,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,31,59ca1786023699f45208efa8fc4f3ebfb292c00c80fa5a5798f77e5c4f9b449f
112074,2026-05-31,52698900000,34803755150,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,32,400b625bfa91a57b821fc1220d93db932a7117556cad4e15549dc03a884c5b06
112077,2026-05-31,306496329051,306496329051,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,33,ee156ecc3d37ab30db180906781f97752d68c021f91f96ac7de540c95ad9ca3d
112080,2026-05-31,255952047476,187671176486,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,34,72fd3cff6ec04a293dd01efccd1596d8d01a4c09b971d2bb7a2f00edac8c4233
112085,2026-05-31,896028680080,887920872080,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,35,1655da1961c30f5badfadd3e3f334f792e473943f8ba1d15b71d72eaf7ec2e6c
112086,2026-05-31,59084925600,54209490600,,,,fund_level_source_snapshot,do_not_allocate_without_approved_rule,36,4c2efc63d079d6f5b5f757714af42fe71d620a6cdb20bbb780809532299cf677
