fund_id,short_name,fund_name,vehicle_type,holding_type,fund_form,multi_class_type,aum_inclusion_flag,status,aggregate_asset_names,aggregate_beneficiary_names,aggregate_lender_names,source_row_number,row_hash
112001,1호,이지스전문투자형사모부동산투자신탁1호,Fund,모펀드,수익차등(운용),수익차등,Y,청산,"NC백화점(강서), 2001아울렛(안양)",,,2,209bc36b0953d4c09d904beaf12b61ef76f1d5c74ed6217d09967c01da3e777d
112002,8호,피에스KORIF사모부동산투자신탁8호,Fund,일반펀드,해당없음,일반,Y,청산,포도몰,,,3,78a2f0a370dab42d6a21b89c80a1f9395f33367a71950193e8612c06e0fbee5e
112003,2호,피에스KORIF사모부동산투자신탁2호,Fund,일반펀드,일반펀드,일반,Y,청산,"NH농협생명빌딩 서관(구, 임광빌딩 본관), NH농협생명빌딩 동관(구, 임광빌딩 신관)",,,4,cc6cab82f2c0be40a4419d453eb579ca698ba9ff6ef605dac59e395995f4f17d
112004,5호,피에스KORIF사모부동산투자신탁5호,Fund,일반펀드,일반펀드,일반,Y,청산,원주AK,,,5,4b0d586d12b59afbe7aabe71d6e12b97120e7e23067d26130c2f43054a9f3fb8
112005,6호,이지스전문투자형사모부동산투자신탁6호,Fund,일반펀드,일반펀드,일반,Y,운용,더피나클강남,"Gangnam Asset PTE.LTD, Pinnacle KR Asset PTE.LTD, 개인(Tow Heng Tan)","DBS Bank, MUFG Bank, 홍콩상하이은행",6,150b29c55dcc31d7579927d4fe59c4345f8c09fb14d592ecfb19b9c6ffe0a512
112006,7호,이지스일반사모부동산투자신탁7호,Fund,일반펀드,일반펀드,일반,Y,운용,눈스퀘어,"경찰공제회, 국민연금공단, 이지스자산운용","DB손해보험, 하나은행",7,ae6ad67c635ab5c6802d8cb468901ed33a00563286e13033689275a140784805
112007,12호,이지스KORIF사모부동산 투자신탁12호,Fund,일반펀드,일반펀드,일반,Y,청산,롯데마트(나주),,,8,46dbc7ceac14c9881e05d7220ac5083685c96b4e2e102593d2d31ca752b31bef
112008,13호,이지스일반사모부동산투자신탁13호(운용),Fund,모펀드,수익차등(운용),수익차등,Y,운용,"홈플러스금천점, 홈플러스동수원점, 홈플러스센텀시티점, 홈플러스영등포점","세콘도, 우리은행","GIB홈플러스, KDB산은캐피탈, 블루맨제일차, 수협은행, 신협대주단, 아이비케이연금보험, 아이비케이캐피탈, 아이엠뱅크, 우리은행, 전북은행, 하나은행, 하나커넥트, 흥국생명보험",9,71586d49a51c7ccdfe9c4d380d6dc842eef08419094428eacfa8545ca95c92e3
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,Fund,일반펀드,일반펀드,일반,Y,청산,런던원우드스트리트 Prime오피스,,,10,690515a55e818cd9c2212d9a8cbdca066b3d0b0657cd82e59ecb5224fc5dfe7d
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,Fund,일반펀드,일반펀드,일반,Y,청산,런던원우드스트리트 Prime오피스,,,11,4fac14ec8611812cccdc3bbd6915c681d24934cdb411b603c52effcfd3ef87c5
112011,14호,이지스일반사모부동산투자신탁14호,Fund,일반펀드,일반펀드,일반,Y,운용,신라스테이울산,"DB손해보험, 미래에셋증권, 삼성생명보험","대신저축은행, 아이엠뱅크, 유안타저축은행, 케이디비산업은행",12,d160a9e0e721c14b7e780fca88d3eed2942953f739e26fe6e970a930f5e32859
112012,16호,이지스KORIF사모부동산투자신탁16호,Fund,일반펀드,일반펀드,일반,Y,운용,동일타워,동일스위트,"동일스위트, 삼성생명",13,719b42a722ed6f24cb7dde074e9d1e2a85b58fd4485be553753391151213d369
112013,18B호,이지스KORIF사모부동산자투자신탁18B호,Fund,자펀드,자펀드,일반,N,청산,SKT구로사옥,,,14,8a4af52d4c9442ecbe8d15fda7d8a5249f63acc0ff8c0da71e36ca0cd545ae67
112014,18-2호,이지스KORIF사모부동산모투자신탁18-2호,Fund,모펀드,모펀드,일반,Y,청산,SKT구로사옥,"이지스KORIF사모부동산자투자신탁18A호, 이지스KORIF사모부동산자투자신탁18B호","교보생명, 푸본현대생명보험, 하나은행",15,d4de386253e6dc42a6b684d8e3f32abc04ffde2b0695791be59cbfab40ec5637
112015,18A호,이지스일반사모부동산자투자신탁18A호(운용),Fund,모펀드,자펀드(수익차등_운용),수익차등,N,운용,남산그린빌딩,,,16,f9843229daff3e98c980e31491ea7516f403442b624b3620605dfeb4a36f891d
112016,18-1호,이지스일반사모부동산모투자신탁18-1호,Fund,모펀드,모펀드,일반,Y,운용,남산그린빌딩,이지스KORIF사모부동산자투자신탁18A호,"교보생명, 국민은행, 롯데캐피탈, 삼성화재, 신한은행, 하나캐피탈",17,48783b0df718557c92d72182cfc6739c25bbefe12e3746a7b5d9ecfcf7ca08a6
112017,10호,이지스KORIF일반사모부동산투자신탁10호,Fund,모펀드,수익차등(운용),수익차등,Y,운용,G밸리비즈플라자,"에스원, 이지스자산운용, 이지스제555호부동산일반사모투자회사","DB손해보험, MG새마을금고",18,abc92508acbf75ce5bd59298bedc92669e5d31e6e2d96510490bf15d4a8f36c7
112018,19호,이지스KORIF사모부동산투자신탁19호,Fund,일반펀드,일반펀드,일반,Y,운용,"홈플러스삼천포점, 홈플러스진주점, 홈플러스죽도점","농협생명보험, 대한지방행정공제회, 삼성생명보험, 애큐온캐피탈, 우리은행, 한국지방재정공제회","NH농협생명보험, 삼성생명, 케이비생명",19,0cae699c3f5b0aeb5117de1d982a7e5b3af765eb9e9ea89542d80dbc8778d650
112019,17-1호,이지스KORIF사모부동산투자신탁17-1호,Fund,일반펀드,일반펀드,일반,Y,청산,London Office Ropemaker Place,,,20,f43da1c995ae5a3cfc84b75cc93d25410e09ff9bcebe13a295a0413a7e0ef476
112020,17-2호,이지스KORIF사모부동산투자신탁17-2호,Fund,일반펀드,일반펀드,일반,Y,청산,London Office Ropemaker Place,,,21,c7c64c41de29a7dc327fadba484a4253b31daac1229a84df7f9f4f56f27d5566
