surface,surface_type,status,column_count,error,sample_rows
asset_project_links,required_existing,ok,7,,1
asset_fund_links,required_existing,ok,7,,1
asset_master,required_existing,ok,16,,1
funds,required_existing,ok,5,,1
projects,required_existing,ok,7,,1
lender_exposures,required_existing,ok,7,,1
beneficiary_exposures,required_existing,ok,7,,1
iota_seoul_log_links,required_existing,ok,6,,1
v_funds_enriched,required_existing,ok,10,,1
asset_aliases,required_existing,ok,4,,1
funds,created_by_relationship_contract_v1,already_available,1,,1
projects,created_by_relationship_contract_v1,already_available,1,,1
iota_seoul_log_links,created_by_relationship_contract_v1,already_available,1,,1
asset_project_links,created_by_relationship_contract_v1,already_available,6,,1
portfolio_search_results_canonical,expected_after_sql_apply,available,,,1
portfolio_search_index,expected_after_sql_apply,available,,,1
asset_project_link_resolution,expected_after_sql_apply,available,,,1
asset_exposure_edges,expected_after_sql_apply,available,,,1
relationship_index_entities,expected_after_sql_apply,available,,,1
relationship_index_edges,expected_after_sql_apply,available,,,1
relationship_index_tokens,expected_after_sql_apply,available,,,1
relationship_index_search_results,expected_after_sql_apply,available,,,1
relationship_index_audit,expected_after_sql_apply,available,,,1
relationship_contract_audit_v1,expected_after_sql_apply,available,,,1
dashboard_search_result_contract_audit,expected_after_sql_apply,available,,,1
