entity_key,entity_type,entity_id,display_title,display_subtitle,source_table,source_id,confidence,status,metadata_json
asset:ast_0011c54227b4,asset,ast_0011c54227b4,A112704001,A112704001 | verified,asset_master,ast_0011c54227b4,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""인천 가좌동 소재 개발자산 선매입""}"
asset:ast_004573bcb481,asset,ast_004573bcb481,A120119001,A120119001 | 경기도 안성시 원곡면 산하리500번지 외 168필지 | verified,asset_master,ast_004573bcb481,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""안성산하3지구물류센터개발사업""}"
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,A112785001 | 서울시 종로구 평창동 153-3 | verified,asset_master,ast_0098d2fecd62,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""종로구 시니어주택 리모델링""}"
asset:ast_00d6ab2ffdec,asset,ast_00d6ab2ffdec,A120070001,A120070001 | verified,asset_master,ast_00d6ab2ffdec,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""이지스10호(2종)의  수익증권""}"
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,"A112150001 | 1551 Broadway New York, NY | verified",asset_master,ast_00df26953973,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""New York 1551 Broadway Mezzanine Loan""}"
asset:ast_01045c0cd92d,asset,ast_01045c0cd92d,AR00008002,AR00008002 | 서울시 중구 남학동 13-2외 1필지 | verified,asset_master,ast_01045c0cd92d,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""이지스333호(디어스 명동)""}"
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,충청남도 천안시 동남구 동면 401-8 | auto_created,asset_master,ast_019336217588,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""행암에너지일호""}"
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,A112287001 | 성내동 190-11 | auto_created,asset_master,ast_021767a7f029,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""강동 성내 역세권 청년주택""}"
asset:ast_022d4816897f,asset,ast_022d4816897f,A200030003,A200030003 | 서울특별시 영등포구 국제금융로 2길 32 | verified,asset_master,ast_022d4816897f,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""여의도 파이낸스타워""}"
asset:ast_023cb333482d,asset,ast_023cb333482d,AP00010001,"AP00010001 | 서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지 | verified",asset_master,ast_023cb333482d,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""성수동 복합시설 개발사업""}"
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,A200030001 | 경기도 성남시 분당구 백현동 534 | verified,asset_master,ast_024953888c95,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""판교 테크원타워""}"
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,A112328001 | 경기도 이천시 호법면 매곡리 118-2 | auto_created,asset_master,ast_0264aa763175,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""덕평CJ물류센터 (투자)""}"
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,A112140001 | 서울특별시 중구 수표동 99 | verified,asset_master,ast_02870a4cfd6e,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""시그니쳐타워""}"
asset:ast_02e499cf476b,asset,ast_02e499cf476b,A120059001,A120059001 | 서울 서초구 반포동 64-1번지 일원 | verified,asset_master,ast_02e499cf476b,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출""}"
asset:ast_02f2fb35a743,asset,ast_02f2fb35a743,A20000604,A20000604 | auto_created,asset_master,ast_02f2fb35a743,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""이지스글로벌세컨더리일반사모혼합자산투자신탁제1호""}"
asset:ast_03afde6453fc,asset,ast_03afde6453fc,A112025002,A112025002 | 경기도 성남시 분당구 야탑동 361-4 | auto_created,asset_master,ast_03afde6453fc,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""탑빌딩""}"
asset:ast_03b867e56a1e,asset,ast_03b867e56a1e,A112085001,A112085001 | 경기도 안양시 동안구 호계동 1039 | auto_created,asset_master,ast_03b867e56a1e,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""평촌G스퀘어""}"
asset:ast_03c3c2e1b0b2,asset,ast_03c3c2e1b0b2,A112011001,A112011001 | 울산광역시 남구 달동 1247-1 외 2필지 | verified,asset_master,ast_03c3c2e1b0b2,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""신라스테이울산""}"
asset:ast_03f61e21a973,asset,ast_03f61e21a973,A112606001,A112606001 | 경기도 여주시 가남읍 본두리 18-3 | verified,asset_master,ast_03f61e21a973,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""여주 본두리 물류센터""}"
asset:ast_042b9d125ed3,asset,ast_042b9d125ed3,A300018001,A300018001 | verified,asset_master,ast_042b9d125ed3,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""메자닌, 공모주, 이벤트 드리븐""}"
asset:ast_04878d0c997e,asset,ast_04878d0c997e,AR00015001,AR00015001 | 서울시 강남구 테헤란로 203(역삼동 679-4) | verified,asset_master,ast_04878d0c997e,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""서울인터내셔널타워(SI타워)""}"
asset:ast_04bd4d02a1f5,asset,ast_04bd4d02a1f5,ast_04bd4d02a1f5,전라남도 진도군 지산면 와우리 137-3 | auto_created,asset_master,ast_04bd4d02a1f5,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""케이앤씨벨에포크""}"
asset:ast_04ce3ef6593c,asset,ast_04ce3ef6593c,AP00012001,AP00012001 | 경기도 오산시 오산세교2지구 M1BL | verified,asset_master,ast_04ce3ef6593c,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""오산세교2지구 M-1BL 주상복합""}"
asset:ast_04fa217d3e90,asset,ast_04fa217d3e90,A300044001,A300044001 | verified,asset_master,ast_04fa217d3e90,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""메자닌, 공모주, 이벤트 드리븐, 스팩""}"
asset:ast_0527c87b54b5,asset,ast_0527c87b54b5,AP00029001,AP00029001 | 을지로3가 95-11 일원 | verified,asset_master,ast_0527c87b54b5,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""을지로3가 도시환경정비구역 제10지구 신축 오피스""}"
asset:ast_0546ff4ee9db,asset,ast_0546ff4ee9db,A112035003,"A112035003 | 810 7th Street, N.W., Washington D.C., U.S.A. | verified",asset_master,ast_0546ff4ee9db,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""OJP사옥(워싱턴)""}"
asset:ast_0555a6694264,asset,ast_0555a6694264,A120084001,A120084001 | verified,asset_master,ast_0555a6694264,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""이지스제572호부동산일반사모투자회사(1종)""}"
asset:ast_05637427d30e,asset,ast_05637427d30e,A112245001,A112245001 | 경기도 이천시 백사면 조읍리 25 | verified,asset_master,ast_05637427d30e,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""도지물류센터""}"
asset:ast_0595e7f4dccc,asset,ast_0595e7f4dccc,A112584002,A112584002 | 경상북도 예천군 은풍면 부초리 산44 | verified,asset_master,ast_0595e7f4dccc,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""동서발전""}"
asset:ast_05a1704bed45,asset,ast_05a1704bed45,A112075001,A112075001 | 서울특별시 마포구 동교동 165-4 | verified,asset_master,ast_05a1704bed45,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""유림빌딩""}"
asset:ast_05fbe6b353fb,asset,ast_05fbe6b353fb,A112666003,A112666003 | 서울특별시 영등포구 여의도동 25-11 | verified,asset_master,ast_05fbe6b353fb,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""여의도 유수홀딩스부지 오피스텔 개발사업 PF대출""}"
asset:ast_064b41e30c94,asset,ast_064b41e30c94,A112802001,A112802001 | 경기도 고양시 덕양구 오금동 690번지 | verified,asset_master,ast_064b41e30c94,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""이지스일반사모부동산투자신탁제439호""}"
asset:ast_0663f6f024ef,asset,ast_0663f6f024ef,ast_0663f6f024ef,경기도 연천군 중면 합수리 122 | auto_created,asset_master,ast_0663f6f024ef,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""에스지""}"
asset:ast_0713581af76f,asset,ast_0713581af76f,A120106001,A120106001 | 서울특별시 중구 청계천로 100 | verified,asset_master,ast_0713581af76f,1.0,confirmed,"{""cleanup_action"": null, ""source_canonical_name"": ""이지스 130호(모) 제1-1종 수익증권""}"
