entity_key,entity_type,entity_id,display_title,token_text,token_type,rank_weight,related_asset_id,related_fund_id,related_project_id,source_table,relation_path
asset:ast_0011c54227b4,asset,ast_0011c54227b4,A112704001,A112704001,asset_display_title,100,ast_0011c54227b4,,,asset_master,asset:self
asset:ast_0011c54227b4,asset,ast_0011c54227b4,A112704001,A112704001,asset_code,95,ast_0011c54227b4,,,asset_master,asset:self
asset:ast_0011c54227b4,asset,ast_0011c54227b4,A112704001,데이터센터,asset_type,30,ast_0011c54227b4,,,asset_master,asset:self
asset:ast_004573bcb481,asset,ast_004573bcb481,A120119001,A120119001,asset_display_title,100,ast_004573bcb481,,,asset_master,asset:self
asset:ast_004573bcb481,asset,ast_004573bcb481,A120119001,A120119001,asset_code,95,ast_004573bcb481,,,asset_master,asset:self
asset:ast_004573bcb481,asset,ast_004573bcb481,A120119001,4155038024105000000,pnu,85,ast_004573bcb481,,,asset_master,asset:self
asset:ast_004573bcb481,asset,ast_004573bcb481,A120119001,경기도 안성시 원곡면 산하리500번지 외 168필지,address,65,ast_004573bcb481,,,asset_master,asset:self
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,A112785001,asset_display_title,100,ast_0098d2fecd62,,,asset_master,asset:self
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,A112785001,asset_code,95,ast_0098d2fecd62,,,asset_master,asset:self
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,1111018300101530003,pnu,85,ast_0098d2fecd62,,,asset_master,asset:self
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,서울시 종로구 평창동 153-3,address,65,ast_0098d2fecd62,,,asset_master,asset:self
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,주거,asset_type,30,ast_0098d2fecd62,,,asset_master,asset:self
asset:ast_0098d2fecd62,asset,ast_0098d2fecd62,A112785001,노유자시설,main_usage,30,ast_0098d2fecd62,,,asset_master,asset:self
asset:ast_00d6ab2ffdec,asset,ast_00d6ab2ffdec,A120070001,A120070001,asset_display_title,100,ast_00d6ab2ffdec,,,asset_master,asset:self
asset:ast_00d6ab2ffdec,asset,ast_00d6ab2ffdec,A120070001,A120070001,asset_code,95,ast_00d6ab2ffdec,,,asset_master,asset:self
asset:ast_00d6ab2ffdec,asset,ast_00d6ab2ffdec,A120070001,오피스,asset_type,30,ast_00d6ab2ffdec,,,asset_master,asset:self
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,A112150001,asset_display_title,100,ast_00df26953973,,,asset_master,asset:self
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,A112150001,asset_code,95,ast_00df26953973,,,asset_master,asset:self
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,"1551 Broadway New York, NY",asset_alias:address,94,ast_00df26953973,,,asset_aliases,asset:alias
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,New York 1551 Broadway Mezzanine Loan,asset_alias:asset_name,94,ast_00df26953973,,,asset_aliases,asset:alias
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,이지스글로벌일반사모부동산투자신탁141호,asset_alias:fund_name,94,ast_00df26953973,,,asset_aliases,asset:alias
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,141호,asset_alias:fund_short_name,94,ast_00df26953973,,,asset_aliases,asset:alias
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,New York 1551 Broadway Mezzanine Loan,asset_alias:fund_asset_name,90,ast_00df26953973,,,asset_aliases,asset:alias
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,New York 1551 Broadway Mezzanine Loan,asset_alias:project_mission_name,90,ast_00df26953973,,,asset_aliases,asset:alias
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,112150,linked_fund_id,75,ast_00df26953973,112150,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,이지스글로벌일반사모부동산투자신탁141호,linked_fund_name,75,ast_00df26953973,112150,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,New York 1551 Broadway Mezzanine Loan,linked_fund_project_mission_name,75,ast_00df26953973,112150,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,141호,linked_fund_short_name,75,ast_00df26953973,112150,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,New York 1551 Broadway Mezzanine Loan,linked_fund_source_asset_name,75,ast_00df26953973,112150,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,141호,linked_fund_title,70,ast_00df26953973,112150,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,"1551 Broadway New York, NY",address,65,ast_00df26953973,,,asset_master,asset:self
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,리테일,asset_type,30,ast_00df26953973,,,asset_master,asset:self
asset:ast_00df26953973,asset,ast_00df26953973,A112150001,리테일,main_usage,30,ast_00df26953973,,,asset_master,asset:self
asset:ast_01045c0cd92d,asset,ast_01045c0cd92d,AR00008002,AR00008002,asset_display_title,100,ast_01045c0cd92d,,,asset_master,asset:self
asset:ast_01045c0cd92d,asset,ast_01045c0cd92d,AR00008002,AR00008002,asset_code,95,ast_01045c0cd92d,,,asset_master,asset:self
asset:ast_01045c0cd92d,asset,ast_01045c0cd92d,AR00008002,1114014000100130002,pnu,85,ast_01045c0cd92d,,,asset_master,asset:self
asset:ast_01045c0cd92d,asset,ast_01045c0cd92d,AR00008002,서울시 중구 남학동 13-2외 1필지,address,65,ast_01045c0cd92d,,,asset_master,asset:self
asset:ast_01045c0cd92d,asset,ast_01045c0cd92d,AR00008002,숙박시설,main_usage,30,ast_01045c0cd92d,,,asset_master,asset:self
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,ast_019336217588,asset_display_title,100,ast_019336217588,,,asset_master,asset:self
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,4413137000104010008,pnu,85,ast_019336217588,,,asset_master,asset:self
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,112584,linked_fund_id,75,ast_019336217588,112584,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,이지스일반사모투자신탁435호(태양광),linked_fund_name,75,ast_019336217588,112584,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,"다산1, 동서발전, 진이엔지, 현대산업쏠라5호, 케이앤스틸테크놀로지, 리에너지, 지우태양광, 에스지, 케이앤씨벨에포크, 케이에이치테크단북1호, 미션, 윈즈에너지, 이큐에너지, 소망, 청수, 봉산햇빛, 행암에너지일호, 도원에너지, 솔빛에너지, 에스와이솔라, 에이치엠솔라1, 이에스에이치12, 지티씨솔라13호, 강구16호, 외삼1호, 외삼2호, 솔라트리1호, 김송하, 에스이피브, 케이앤씨헤르메스, 모두에너지, 솔라팩토리10호, 씨에스에너텍, 알이씨에너지, 알이엔네트웍스, 어량리, 비케이솔라, 와이알에너지, 유현그린, 케이앤씨그린북, 디앤피상주, 적화솔라, 솔라시너지햇빛1호, 이인메가태양광, 솔라팩토리22호, 솔라팩토리19호",linked_fund_project_mission_name,75,ast_019336217588,112584,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,435호,linked_fund_short_name,75,ast_019336217588,112584,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,"다산1, 동서발전, 진이엔지, 현대산업쏠라5호, 케이앤스틸테크놀로지, 리에너지, 지우태양광, 에스지, 케이앤씨벨에포크, 케이에이치테크단북1호, 미션, 윈즈에너지, 이큐에너지, 소망, 청수, 봉산햇빛, 행암에너지일호, 도원에너지, 솔빛에너지, 에스와이솔라, 에이치엠솔라1, 이에스에이치12, 지티씨솔라13호, 강구16호, 외삼1호, 외삼2호, 솔라트리1호, 김송하, 에스이피브, 케이앤씨헤르메스, 모두에너지, 솔라팩토리10호, 씨에스에너텍, 알이씨에너지, 알이엔네트웍스, 어량리, 비케이솔라, 와이알에너지, 유현그린, 케이앤씨그린북, 디앤피상주, 적화솔라, 솔라시너지햇빛1호, 이인메가태양광, 솔라팩토리22호, 솔라팩토리19호",linked_fund_source_asset_name,75,ast_019336217588,112584,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,충청남도 천안시 동남구 동면 401-8,address,65,ast_019336217588,,,asset_master,asset:self
asset:ast_019336217588,asset,ast_019336217588,ast_019336217588,특별자산,asset_type,30,ast_019336217588,,,asset_master,asset:self
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,A112287001,asset_display_title,100,ast_021767a7f029,,,asset_master,asset:self
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,성내동 190-11,asset_alias:address,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,asset_alias:asset_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모부동산투자신탁263호 3종,asset_alias:fund_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스청년주택제1호위탁관리부동산투자회사,asset_alias:fund_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모투자신탁263호,asset_alias:fund_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(3종),asset_alias:fund_short_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,R청년주택1호,asset_alias:fund_short_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(운용),asset_alias:fund_short_name,98,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,asset_alias:inferred_fund_asset_name,95,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모부동산투자신탁263호 1종,asset_alias:inferred_fund_name,95,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모부동산투자신탁263호 2종,asset_alias:inferred_fund_name,95,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(1종),asset_alias:inferred_fund_short_name,95,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(2종),asset_alias:inferred_fund_short_name,95,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,asset_alias:inferred_project_mission_name,95,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,A112287001,asset_code,95,ast_021767a7f029,,,asset_master,asset:self
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,asset_alias:fund_asset_name,90,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,asset_alias:project_mission_name,90,ast_021767a7f029,,,asset_aliases,asset:alias
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,4715010400101900011,pnu,85,ast_021767a7f029,,,asset_master,asset:self
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,120011,linked_fund_id,75,ast_021767a7f029,120011,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,R00012,linked_fund_id,75,ast_021767a7f029,R00012,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,112287,linked_fund_id,75,ast_021767a7f029,112287,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,112288,linked_fund_id,75,ast_021767a7f029,112288,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,112289,linked_fund_id,75,ast_021767a7f029,112289,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모부동산투자신탁263호 3종,linked_fund_name,75,ast_021767a7f029,120011,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스청년주택제1호위탁관리부동산투자회사,linked_fund_name,75,ast_021767a7f029,R00012,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모투자신탁263호,linked_fund_name,75,ast_021767a7f029,112287,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모부동산투자신탁263호 1종,linked_fund_name,75,ast_021767a7f029,112288,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,이지스전문투자형사모부동산투자신탁263호 2종,linked_fund_name,75,ast_021767a7f029,112289,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_project_mission_name,75,ast_021767a7f029,120011,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_project_mission_name,75,ast_021767a7f029,R00012,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_project_mission_name,75,ast_021767a7f029,112287,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_project_mission_name,75,ast_021767a7f029,112288,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_project_mission_name,75,ast_021767a7f029,112289,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(3종),linked_fund_short_name,75,ast_021767a7f029,120011,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,R청년주택1호,linked_fund_short_name,75,ast_021767a7f029,R00012,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(운용),linked_fund_short_name,75,ast_021767a7f029,112287,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(1종),linked_fund_short_name,75,ast_021767a7f029,112288,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(2종),linked_fund_short_name,75,ast_021767a7f029,112289,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_source_asset_name,75,ast_021767a7f029,120011,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_source_asset_name,75,ast_021767a7f029,R00012,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_source_asset_name,75,ast_021767a7f029,112287,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_source_asset_name,75,ast_021767a7f029,112288,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_fund_source_asset_name,75,ast_021767a7f029,112289,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(운용),linked_fund_title,70,ast_021767a7f029,112287,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(1종),linked_fund_title,70,ast_021767a7f029,112288,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(2종),linked_fund_title,70,ast_021767a7f029,112289,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,263호(3종),linked_fund_title,70,ast_021767a7f029,120011,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,R청년주택1호,linked_fund_title,70,ast_021767a7f029,R00012,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,강동 성내 역세권 청년주택,linked_project_title,70,ast_021767a7f029,,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,asset_project_links,asset_project:project:target_to_asset
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,성내동 190-11,address,65,ast_021767a7f029,,,asset_master,asset:self
asset:ast_021767a7f029,asset,ast_021767a7f029,A112287001,제1종근린생활시설,main_usage,30,ast_021767a7f029,,,asset_master,asset:self
asset:ast_022d4816897f,asset,ast_022d4816897f,A200030003,A200030003,asset_display_title,100,ast_022d4816897f,,,asset_master,asset:self
asset:ast_022d4816897f,asset,ast_022d4816897f,A200030003,A200030003,asset_code,95,ast_022d4816897f,,,asset_master,asset:self
asset:ast_022d4816897f,asset,ast_022d4816897f,A200030003,1156011000100230008,pnu,85,ast_022d4816897f,,,asset_master,asset:self
asset:ast_022d4816897f,asset,ast_022d4816897f,A200030003,서울특별시 영등포구 국제금융로 2길 32,address,65,ast_022d4816897f,,,asset_master,asset:self
asset:ast_022d4816897f,asset,ast_022d4816897f,A200030003,업무시설,main_usage,30,ast_022d4816897f,,,asset_master,asset:self
asset:ast_023cb333482d,asset,ast_023cb333482d,AP00010001,AP00010001,asset_display_title,100,ast_023cb333482d,,,asset_master,asset:self
asset:ast_023cb333482d,asset,ast_023cb333482d,AP00010001,AP00010001,asset_code,95,ast_023cb333482d,,,asset_master,asset:self
asset:ast_023cb333482d,asset,ast_023cb333482d,AP00010001,"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",address,65,ast_023cb333482d,,,asset_master,asset:self
asset:ast_023cb333482d,asset,ast_023cb333482d,AP00010001,오피스,asset_type,30,ast_023cb333482d,,,asset_master,asset:self
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,A200030001,asset_display_title,100,ast_024953888c95,,,asset_master,asset:self
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,A200030001,asset_code,95,ast_024953888c95,,,asset_master,asset:self
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,4113511000105340000,pnu,85,ast_024953888c95,,,asset_master,asset:self
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,경기도 성남시 분당구 백현동 534,address,65,ast_024953888c95,,,asset_master,asset:self
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,오피스,asset_type,30,ast_024953888c95,,,asset_master,asset:self
asset:ast_024953888c95,asset,ast_024953888c95,A200030001,오피스,main_usage,30,ast_024953888c95,,,asset_master,asset:self
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,A112328001,asset_display_title,100,ast_0264aa763175,,,asset_master,asset:self
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,경기도 이천시 호법면 매곡리 118-2,asset_alias:address,98,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,asset_alias:asset_name,98,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,이지스전문투자형사모부동산투자신탁286호(운용),asset_alias:fund_name,98,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호,asset_alias:fund_short_name,98,ast_0264aa763175,,,asset_aliases,asset:alias
