month,transactions,amountTrillionKrw,areaM2,medianAmountKrw,medianAreaM2,baseRate,corporateLoanRate,cpiYoy
202501,52,0.572,218551.18,5370000000,1894.74,3.0,4.5,2.24
202502,65,1.527,251728.7,5996300000,1570.35,2.75,4.43,2.02
202503,67,1.033,151997.73,5500000000,1546.5,2.75,4.32,2.05
202504,90,2.109,337538.75,5750000000,1668.22,2.75,4.14,2.08
202505,78,1.224,200224.06,6320000000,1497.59,2.5,4.16,1.9
202506,80,2.96,363762.28,7387490000,1667.24,2.5,4.06,2.17
202507,81,2.664,346557.28,12750000000,1694.62,2.5,4.04,2.09
202508,60,1.288,247890.17,10251450000,1557.62,2.5,4.03,1.67
202509,96,4.277,477640.39,11320200000,1765.34,2.5,3.99,2.1
202510,72,2.506,259397.8,7750000000,1797.53,2.5,3.96,2.38
202511,65,2.088,275014.82,9120000000,1604.5,2.5,4.1,2.45
202512,70,1.916,362963.06,8699000000,1765.83,2.5,4.16,2.31
