manager,manager_class,evidence_layer,lp,mandate,selected_at,reported_or_requested_krw,announced_track_commitment_krw,likely_reported_allocation_krw,capital_trace_status,verified_available_krw,dry_powder_status
GCM Grosvenor,FOREIGN_MANAGER,CANONICAL_VERIFIED_SELECTION,대한지방행정공제회,POBA-2021-GLOBAL-PRIVATE-INFRA-SMA,2021-07-07,,,,OFFICIAL_SELECTED_NO_AMOUNT,,INSUFFICIENT_EVIDENCE
우리글로벌자산운용,DOMESTIC_ASSET_MANAGER,CANONICAL_VERIFIED_SELECTION,한국성장금융투자운용,KGROWTH-2021-ROLLING-INFRA,2021-06-28,,27000000000,,OFFICIAL_SELECTED_NO_COMMITMENT,,INSUFFICIENT_EVIDENCE
쿨리지코너인베스트먼트,DOMESTIC_OTHER_GP,CANONICAL_VERIFIED_SELECTION,한국벤처투자,KVIC-2020-Q4-URBAN-REGEN,2020-11-17,20000000000,20000000000,,OFFICIAL_SELECTED_REQUEST_AMOUNT_ONLY,,INSUFFICIENT_EVIDENCE
쿨리지코너인베스트먼트,DOMESTIC_OTHER_GP,CANONICAL_VERIFIED_SELECTION,한국벤처투자,KVIC-2021-SEP-URBAN-REGEN,2021-11-01,10000000000,10000000000,,OFFICIAL_SELECTED_REQUEST_AMOUNT_ONLY,,INSUFFICIENT_EVIDENCE
메테우스자산운용,DOMESTIC_ASSET_MANAGER,LIKELY_REPORTED_PENDING_PRIMARY,건설근로자공제회,CW-2024-DOMESTIC-SENIOR-RE-DEBT,2024-04-29,,,50000000000,LIKELY_REPORTED_PENDING_PRIMARY,,INSUFFICIENT_EVIDENCE
삼성SRA자산운용,DOMESTIC_ASSET_MANAGER,LIKELY_REPORTED_PENDING_PRIMARY,건설근로자공제회,CW-2024-DOMESTIC-SENIOR-RE-DEBT,2024-04-29,,,50000000000,LIKELY_REPORTED_PENDING_PRIMARY,,INSUFFICIENT_EVIDENCE
캡스톤자산운용,DOMESTIC_ASSET_MANAGER,LIKELY_REPORTED_PENDING_PRIMARY,건설근로자공제회,CW-2022-DOMESTIC-RE-DEBT,2022-12-26,,,80000000000,LIKELY_REPORTED_PENDING_PRIMARY,,INSUFFICIENT_EVIDENCE
캡스톤자산운용,DOMESTIC_ASSET_MANAGER,LIKELY_REPORTED_PENDING_PRIMARY,건설근로자공제회,CW-2024-DOMESTIC-SENIOR-RE-DEBT,2024-04-29,,,50000000000,LIKELY_REPORTED_PENDING_PRIMARY,,INSUFFICIENT_EVIDENCE
코람코자산운용,DOMESTIC_ASSET_MANAGER,LIKELY_REPORTED_PENDING_PRIMARY,건설근로자공제회,CW-2022-DOMESTIC-RE-DEBT,2022-12-26,,,70000000000,LIKELY_REPORTED_PENDING_PRIMARY,,INSUFFICIENT_EVIDENCE
하나대체투자자산운용,DOMESTIC_ASSET_MANAGER,LIKELY_REPORTED_PENDING_PRIMARY,건설근로자공제회,CW-2024-DOMESTIC-SENIOR-RE-DEBT,2024-04-29,,,50000000000,LIKELY_REPORTED_PENDING_PRIMARY,,INSUFFICIENT_EVIDENCE
