sample_no,sample_frame,audit_class,audit_reason,region,sgg_code,sgg_name,umd_name,jibun,deal_date,building_type,building_use,building_area_m2,plottage_area_m2,floor,deal_amount_10k_krw,area_bin,document_id
1,RANDOM_60,REMOVE_CLEAR,건물면적 500㎡ 이하로 대형 비주거 거래 기준에서 명확히 소규모,인천,28710,강화군,불은면 두운리,2**,2025-10-04,일반,제2종근린생활,94.2,387,,15000,A_0_100,da79fa0a784451e19812cb5f23729289
2,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11140,중구,을지로6가,18-35,2025-11-21,집합,제1종근린생활,3.77,,5,2350,A_0_100,e9f3f032b80b5ae28b7ccf0d0be0d01e
3,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11710,송파구,풍납동,506,2025-05-22,집합,제1종근린생활,19.44,,1,13000,A_0_100,b75ffeea8df256c2ad23ff19cbeb177b
4,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41461,용인시 처인구,고림동,1021,2025-09-29,집합,제2종근린생활,46.49,,,50000,A_0_100,45f59f25f653584cb500654a1f99b20b
5,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41173,안양시 동안구,호계동,1054-8,2025-09-18,집합,제2종근린생활,32.5,,,26000,A_0_100,f452fdfaf92e537181976db754a6490a
6,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11230,동대문구,제기동,892-71,2025-12-05,집합,판매,8.8,,,7000,A_0_100,5b55948799065da38d51bef353047ed0
7,RANDOM_60,REMOVE_CLEAR,건물면적 500㎡ 이하로 대형 비주거 거래 기준에서 명확히 소규모,경기,41610,광주시,초월읍 지월리,6**,2025-09-02,일반,제2종근린생활,341.52,962,,130000,B_100_500,e206e06d2b0a5bc4bb5fceda463969a3
8,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41173,안양시 동안구,호계동,555-9,2025-09-29,집합,판매,27.93,,,16300,A_0_100,2206a6b01b0a5c07935f67618abaae57
9,RANDOM_60,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",인천,28237,부평구,청천동,5*,2025-12-23,일반,제2종근린생활,1348.71,993,,287000,D_1000_2000,823ccc8a4d0350fe9588a88d8ef3e58a
10,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41135,성남시 분당구,구미동,25-1,2025-02-03,집합,제2종근린생활,71.86,,,30775,A_0_100,a362a6e2e6b45142b2fa30e8c26a393f
11,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11350,노원구,상계동,693-1,2025-03-19,집합,기타,9.5,,,3500,A_0_100,99da966f13095feeac401ffcc25b455a
12,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11320,도봉구,창동,5,2025-01-22,집합,제2종근린생활,56.0,,,19500,A_0_100,9352ea6cc999569c9da4713cfa843665
13,RANDOM_60,REMOVE_CLEAR,건물면적 500㎡ 이하로 대형 비주거 거래 기준에서 명확히 소규모,경기,41310,구리시,아천동,2**,2025-04-30,일반,제2종근린생활,163.8,322,,97000,B_100_500,ec24eaac595f585bbc980bf1c63581fa
14,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41410,군포시,산본동,1136-1,2025-04-16,집합,제1종근린생활,44.2,,4,16000,A_0_100,2b15480479765ae3982c8f99ca534304
15,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41360,남양주시,다산동,6052,2025-07-03,집합,교육연구,55.59,,6,21000,A_0_100,f7e36e30048d56f694637ccc9549d4eb
16,RANDOM_60,REMOVE_CLEAR,건물면적 500㎡ 이하로 대형 비주거 거래 기준에서 명확히 소규모,서울,11500,강서구,방화동,1**,2025-12-09,일반,제2종근린생활,354.29,435,,120200,B_100_500,6216df97b10158b0ab24e2106057ea0a
