sgg_code,sgg_name,umd_name,jibun,deal_date,deal_amount_10k_krw,building_type,row_count,sum_building_area_m2,row_areas_m2,floors,uses,document_ids
11140,중구,충무로3가,60-1,2025-02-26,2135908,집합,20,55379.2,2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96|2768.96,|||||||||||||||||||,교육연구|교육연구|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무,35b70c24b3e05dac8c9c00999837cdd6|137843b4b4b95d8e84e7483b1ab932d9|1818980cae1a54e6baa31ba856bf67fa|06f407907cc456ed8058a3fe39032c56|13761357ac3e53fca0296633cf18c394|cc24c3468d7b5cf78e1a3f36e1789f55|d30d393f95f25acdbd81e9992e4d48f9|509ccc681cfd5ffdb656f4648d597ee3|68c96ecd03565cd5ac758439c1828899|b062ab767d5855e7ab675cbf9ab23b37|9c9d70e2cd715c8fb55b1eac9f8cf707|300ed317d8aa5c97a680d45b35076303|7ae4138159c153fd81bf7ff038d1e325|f2f6dc421cdb5da7a172d0feb8359101|c014479fcb655cf893b5f88925e1ffd2|bebfe9b9ee9b503c91085850915506ca|b8e74cf48e94579d996f2ed054b40cbe|8a013c4fd5a85e7e86e57cd74f85979e|aa3037fc6bb755a89602904ad8e7a521|2948289329d558c9b5deea68827ea378
41150,의정부시,의정부동,3*,2025-01-24,32041,일반,16,11404.64,712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79|712.79,|||||||||||||||,제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활,c1ce7ccd67235074b3f1a2e433978e78|cd91fe0ddfca5175b80d6f70f10f8b36|ffe6197af97654bc9f165bf07dbbc29f|8aa5c6b7cfb65faf97c53c87508dbe9d|1420fd7455c45ae3b43ff910cc00bdf7|80a13cb2748b53d2aad8b58a585a3658|cc7d98fe55775effaa7ea42ebcc56ea6|e7e30a9cbecf5c30872382dd35d8b545|5b31df109cde58b7bf4f4da8fbbc17ff|49b706b2c170508ba0a36918e4d57b8a|feafd6bba6a454c98a2f9da3e26fb1db|d58dab2f8f615f8bb4d6aa920e077903|9c7ad2ab25425081a920cf59c4e3b570|f52edbd63574548493ece9e9ff6a536d|9fcc054701e25975a5b2c5e47d3a067b|464a947890de591493505ff76cc153b9
11110,종로구,신문로2가,92,2025-10-20,2214487,집합,9,11283.12,1253.68|1253.68|1253.68|1253.68|1253.68|1253.68|1253.68|1253.68|1253.68,10|3|9|11|8|5|6|7|4,업무|업무|업무|업무|업무|업무|업무|업무|업무,523d0335eee95bbd9ad37d2397577b01|bd6dc8a9fb6c5a89a5d42ba8e801ee10|fc894d0313f55507b1daa6a02c9bd5d1|e576a1155a1e54729cf4ac22c3d57713|9b3b2c25e0595ce5a409c24a393293bb|d912201ccc65563d9c8e7f3d1a61e8ab|287016ee38995565924b078a53882f4b|34de09f1278151cdbce815e3597895dd|b125864e091e5e7682579c2416ec68b1
41597,화성시 동탄구,여울동,979,2025-04-11,383744,집합,19,10016.23,527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17|527.17,26|18|14|12|11|8|10|17|24|16|25|13|20|15|9|23|21|22|7,업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무,5e3d9b4cbc1a58f9ab80df1972a3637f|ba65dce876ac5620ae617190db217137|d1af158cc31b5ca68de8d9012aaf94de|0fb7c961ed7d514ca134407b857787a0|c7b2e85af58a5dcc8baa3e3bd848084e|86809ca29c5d5b67b2faa9efd3a4491e|fd67df3125685dfba18a976874079b14|8fee1dfb41f05948baae263bf8405ada|4f3e2d2cfe835baeae71f3d4a25b3eb3|8a9234780e6254c2b40ddc17d1045f01|c46515198a8556639de22ccc52cc4df1|82338d4117845eff802e24a7e9848edd|4d1401ff1edc5f689b0c52e9e57ec7d6|3047152dbfd45bf4bf2783a046849d9d|f4620f31846751f5b51b4393b89f1bd7|5ab0d70ea792536a873039caa293dcd3|6c3798318fe0552e95fc3875638b4cce|c4ff5ee92a8352e881053437b37ac568|7df9df14409a512b8e5da5024388ce01
11500,강서구,염창동,2**,2025-10-31,1260000,일반,3,9670.68,3223.56|3223.56|3223.56,||,제1종근린생활|제1종근린생활|제1종근린생활,697a60065b5152f7951dfe7bed88c6ab|85ca39d2d11d5a308d1fcc2374613a52|f5d1b99e437b58df80677ce32952c96a
11500,강서구,마곡동,767,2025-07-04,2514908,집합,4,8152.0,2038.0|2038.0|2038.0|2038.0,|||,업무|업무|업무|업무,43b3d64304f35a9eb5beca8ba1b1502f|3e8d2fafa98151299b5ab3b6ac7acfc0|4cbc57c67abc529b830727e7af541594|ae6f817ee83e548fb254f0b75fdbf184
11170,용산구,동자동,45,2025-05-16,2488554,집합,6,7521.74,1251.87|1252.78|1255.67|1253.03|1254.67|1253.72,12|13|16|27|15|14,업무|업무|업무|업무|업무|업무,9dfb6486875b59cbae0241391324c0fa|27da8db3864155be83615a7fc855df52|2b58f1b550795e689d921a38eb3f55ca|211d62473ee655f78f325037e5c1b9fb|d8be2b3736eb598caec80c448fa1ae81|fb159f91c7575d9d81b9fdb4d19334ba
11110,종로구,신문로2가,92,2025-10-20,1344102,집합,9,6848.55,760.95|760.95|760.95|760.95|760.95|760.95|760.95|760.95|760.95,6|8|3|7|11|4|10|9|5,업무|업무|업무|업무|업무|업무|업무|업무|업무,896306ac1c42523ca9668bd43884eac5|7d98a12a07985273a47c2db0262523d8|aceb036d87265b9dafe64ef004e76ae0|21b22680739b5216ac8f65e3dbaad313|4897cd2229b053e683f8562a9df4570b|19bf8fa96248520fa1b3c7fba2afb870|c4aacad2ac6a5542b3de162a0483647a|71213ed6be3354e7bde5f32648d6119c|7cdeeb3c15e157ba9ce5b7a05fc89d68
11650,서초구,서초동,1445-14,2025-05-12,1753583,집합,4,6625.8,1656.45|1656.45|1656.45|1656.45,|||,업무|업무|업무|업무,fe8de83bf2f755d38d5d314f7f6eecd5|8cb665073679575bbd23deb975a70ca7|10e0f0e8f4755f099bb9c49e5f57c0e7|b10e4042e2cb5867901e493cfea483bb
41597,화성시 동탄구,여울동,979,2025-04-11,242026,집합,19,6317.12,332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48|332.48,12|13|15|20|16|9|25|17|10|21|14|26|11|24|8|22|7|23|18,업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무|업무,e600bedeadec5c2fa6cc8c1842a7e220|828524f61de9582eabc08d1921ee8d70|3b0267c4bee656399d3d273ba893722c|4fdcd21aa1a4515eb0a6ec0f7215f2b0|0ff3caefb2b3531d8337875721868040|5f4daf63e53d5e279a1e520f24b2d924|c69a18e4bc77538f8cd8886e7177f8af|d6875ff0fd3e5a27839cc868e9a370ce|7ef8cb24d9ee5a7e8c82ac7369c123b7|5bc08952d13a5084a0bd9bc0b9905035|b6267f9feae95452b3b3963d4dfb11e7|72440be6bc9f545a98c181be9ae4b49d|e2bcd53874915738aa1e5c4410206666|035d65d1058151608206f06bfd245adb|a93ca5929acc5fd9a8c8559e7318fafc|1f0838f7d9d75b5ab9afe518ea4c2b4e|153f8136b3a755e2a3981ea28982c453|23778d8f7fd5548a98db49aadcdc27d5|ba79f89b55e9508e86690618968b7ff7
