theme,quarter,date,publisher,title,url
금리,2025Q3,2025-09-30,SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,"여의도 파크원 타워2, 6,000억원 규모 담보대출 리파이낸싱 추진 .. 선순위 금리 3.8% 수준 - SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5PRzdzODEzcGs1R2xRdWRmRDJEX3EzX3Zpdzl0ZWNSTVZDakgxUjk5bDNsN1RGaTU2RDREV2lqZW9GWExrZHljRzVXLVhaRWdMcV9EOTZNTUJ1ZGs?oc=5
유동성,2025Q2,2025-05-20,한국경제,"SD바이오센서, 1000억 규모 분당빌딩 매각…""유동성 확보"" - 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9JWU1ZM25LeUFZRl81RUNkTXRFbTNsR2JHZTZDYzVvS1VfaG9IT1hxaWdBV2JOWWo5RExxYWNYeWtZeVdTTVpJb25yeFk0YUNISzJwalg2aEpfUQ?oc=5
유동성,2025Q2,2025-06-16,코어비트,"초대형 물류 브룩필드청라, 유동성부족 장세에서 가치 인정받나 - 코어비트",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBnTE1zV1RFX29hSWRsWHNaZGVPampOZXM4MFZyVHplVkRTODZiS0JUdFRlNzR1QmlWaDBHOUpnVmNjVkJOS0ViaVZGOXVkaFk?oc=5
유동성,2025Q4,2025-10-07,딜북뉴스,성수동 오피스 개발 줄잇는 자금조달...매각시장도 활기 - 딜북뉴스,https://news.google.com/rss/articles/CBMipAFBVV95cUxPY0hSMkZhTmltazFqb1F6UjlJSHBNOXVvNjVEV2JzYXo5ODA2STZvSldoNUNydXYyV1o2ZVJuR2FnUlZnMWc3cWw4ZG4zU0toYmtsdC0wTHh5VHhPRG5pMTBKYWQ3a0lsYWhwZ0J2MU8wbGNZeXJQekxaVmFNOHprVlptV0pyc1dPelQ3ZlhOanJlYjAxQmwtd3FEUDhPcUMwd0JMbw?oc=5
유동성,2025Q4,2025-12-11,파이낸셜포스트,"'적자 늪' AK플라자, 마포 애경타운까지 넘겼다… 유동성 확보 사활 - 파이낸셜포스트",https://news.google.com/rss/articles/CBMidEFVX3lxTE13XzhxUFVndl9fLWV4WUYtYUhzYVotbU9HVlVRT2wxLW9BbXpMU1d4WGNsOUlxdDJHMG1tSk5zOUFMbGxFUDBvY0MycmNMVjVXWDBkTjFSZTY5VlpzeFhERXgyb3VMdl9Tb0tLY2lLeXI4aVU5?oc=5
PF,2025Q1,2025-01-08,딜사이트,"캡스톤자산운용, 구로 데이터센터 본PF전환 - 딜사이트",https://news.google.com/rss/articles/CBMiT0FVX3lxTE13Y0hOVmlmb2FXRlE2SUp0Rlctam1LX2VpZC13Mnh0VEVKYVVCbS1fQ29RM1otY0JmOG1LdFpVQ1Q0Um5RWWJTdkJNZUdZb0E?oc=5
PF,2025Q1,2025-01-24,대한경제,"[흔들리는 건설, PF 경색 우려] “부동산PF, 내부 승인 받기 어려워요”…서울 PF도 만기연장시 이자보증 요구 - 대한경제",https://news.google.com/rss/articles/CBMidEFVX3lxTFA1akxVV2F1OXFGOHRtMXJaeDhEV1N4d1JYUWZ4Y2gtQXg0QkJROG5HeVR5bDViOVgtM2pqRkswcEtFQmxkTjI5MjFHalJjdVdWX0k2eVpyRnhkQzdUREl2Rktqak9vLW14QWh3RnBOWVRsZFhR?oc=5
PF,2025Q2,2025-04-11,v.daum.net,‘반값 수준’ 서울 경매도 34차례 유찰…위기 더 커지나 [부동산PF 출구가 없다] - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9pNmRxSm42c0pJc3NyM3dtRFlJZXlhcVhfRXItYS1wSHpRSmRraHVWWFJhZ2t2WmtlM3NFaU1MUFZqVVhoOWc?oc=5
PF,2025Q2,2025-05-12,코어비트,"이지스운용, 메트로·서울로타워 7170억 원 브릿지론 만기연장 요청 - 코어비트",https://news.google.com/rss/articles/CBMiT0FVX3lxTE96ODBvVTUzQW9BX2hZeEo5eTZ3YTczT185LVhPZnhyZ245M0NpMDE4WU5zU0pBekJzR2dHS1RIbGRBbFpuNS1BU3F5WGowWWM?oc=5
PF,2025Q2,2025-05-19,DealSite경제TV,[시행사 점검] [화이트코리아] 안산 홈플러스 개발…본PF 전환 '물음표' - DealSite경제TV,https://news.google.com/rss/articles/CBMiVkFVX3lxTFA2WUxQdWdzd2I0TjhJWUdNOEc1YlFJTWRzREpSTnJJdFB0bzJCdUZ5ZjBYcmQ4cEJRNUxTdWlHSFlldlB5NjZNWHhYZE1PQUgtOXVRcGVR?oc=5
PF,2025Q3,2025-07-17,딜사이트,[핀셋+] [호반산업] 인천 항동 브릿지론 '6년'…첫삽 '차일피일' - 딜사이트,https://news.google.com/rss/articles/CBMiT0FVX3lxTE4zeWl1OGY5MkNMQzUtallCWUdtUlNMSWlUUGVNc0U4bHd4TWFNWmxvSWdRRDh1N3JjTGRXVGw5RFNPdkczalllWndDY21OY0k?oc=5
