quarter,macro_theme,sector_theme,documents
2025Q1,금리,오피스,0
2025Q1,금리,물류센터,0
2025Q1,금리,데이터센터,0
2025Q1,금리,호텔,0
2025Q1,금리,리테일,0
2025Q1,금리,매각/투자,1
2025Q1,유동성,오피스,0
2025Q1,유동성,물류센터,0
2025Q1,유동성,데이터센터,0
2025Q1,유동성,호텔,1
2025Q1,유동성,리테일,1
2025Q1,유동성,매각/투자,5
2025Q1,PF,오피스,1
2025Q1,PF,물류센터,0
2025Q1,PF,데이터센터,2
2025Q1,PF,호텔,1
2025Q1,PF,리테일,0
2025Q1,PF,매각/투자,10
2025Q1,대출,오피스,0
2025Q1,대출,물류센터,0
2025Q1,대출,데이터센터,6
2025Q1,대출,호텔,3
2025Q1,대출,리테일,3
2025Q1,대출,매각/투자,22
2025Q1,리츠,오피스,4
2025Q1,리츠,물류센터,3
2025Q1,리츠,데이터센터,0
2025Q1,리츠,호텔,1
2025Q1,리츠,리테일,1
2025Q1,리츠,매각/투자,11
2025Q2,금리,오피스,0
2025Q2,금리,물류센터,0
2025Q2,금리,데이터센터,0
2025Q2,금리,호텔,0
2025Q2,금리,리테일,0
2025Q2,금리,매각/투자,0
2025Q2,유동성,오피스,0
2025Q2,유동성,물류센터,0
2025Q2,유동성,데이터센터,0
2025Q2,유동성,호텔,1
2025Q2,유동성,리테일,0
2025Q2,유동성,매각/투자,5
2025Q2,PF,오피스,1
2025Q2,PF,물류센터,1
2025Q2,PF,데이터센터,0
2025Q2,PF,호텔,0
2025Q2,PF,리테일,0
2025Q2,PF,매각/투자,1
2025Q2,대출,오피스,1
2025Q2,대출,물류센터,2
2025Q2,대출,데이터센터,0
2025Q2,대출,호텔,3
2025Q2,대출,리테일,1
2025Q2,대출,매각/투자,7
2025Q2,리츠,오피스,7
2025Q2,리츠,물류센터,5
2025Q2,리츠,데이터센터,1
2025Q2,리츠,호텔,2
2025Q2,리츠,리테일,0
2025Q2,리츠,매각/투자,30
2025Q3,금리,오피스,1
2025Q3,금리,물류센터,0
2025Q3,금리,데이터센터,0
2025Q3,금리,호텔,0
2025Q3,금리,리테일,0
2025Q3,금리,매각/투자,0
2025Q3,유동성,오피스,0
2025Q3,유동성,물류센터,0
2025Q3,유동성,데이터센터,0
2025Q3,유동성,호텔,0
2025Q3,유동성,리테일,0
2025Q3,유동성,매각/투자,0
2025Q3,PF,오피스,2
2025Q3,PF,물류센터,0
2025Q3,PF,데이터센터,1
2025Q3,PF,호텔,3
2025Q3,PF,리테일,0
2025Q3,PF,매각/투자,2
2025Q3,대출,오피스,6
2025Q3,대출,물류센터,3
2025Q3,대출,데이터센터,1
2025Q3,대출,호텔,3
2025Q3,대출,리테일,1
2025Q3,대출,매각/투자,6
2025Q3,리츠,오피스,3
2025Q3,리츠,물류센터,3
2025Q3,리츠,데이터센터,0
2025Q3,리츠,호텔,4
2025Q3,리츠,리테일,0
2025Q3,리츠,매각/투자,16
2025Q4,금리,오피스,0
2025Q4,금리,물류센터,0
2025Q4,금리,데이터센터,0
2025Q4,금리,호텔,0
2025Q4,금리,리테일,0
2025Q4,금리,매각/투자,0
2025Q4,유동성,오피스,1
2025Q4,유동성,물류센터,0
2025Q4,유동성,데이터센터,0
2025Q4,유동성,호텔,2
2025Q4,유동성,리테일,0
2025Q4,유동성,매각/투자,6
2025Q4,PF,오피스,1
2025Q4,PF,물류센터,0
2025Q4,PF,데이터센터,1
2025Q4,PF,호텔,1
2025Q4,PF,리테일,1
2025Q4,PF,매각/투자,5
2025Q4,대출,오피스,1
2025Q4,대출,물류센터,1
2025Q4,대출,데이터센터,0
2025Q4,대출,호텔,2
2025Q4,대출,리테일,1
2025Q4,대출,매각/투자,5
2025Q4,리츠,오피스,3
2025Q4,리츠,물류센터,0
2025Q4,리츠,데이터센터,1
2025Q4,리츠,호텔,5
2025Q4,리츠,리테일,0
2025Q4,리츠,매각/투자,25
