quarter,subtheme,matched_docs,quarter_docs,share_pct
2025Q1,금리_완화,4,942,0.42
2025Q1,금리_부담,2,942,0.21
2025Q1,PF_스트레스,8,942,0.85
2025Q1,PF_정상화지원,6,942,0.64
2025Q1,오피스_임대,3,942,0.32
2025Q1,오피스_공급,13,942,1.38
2025Q1,물류_과잉부담,1,942,0.11
2025Q1,데이터센터_인프라규제,5,942,0.53
2025Q1,호텔_수요운영,31,942,3.29
2025Q1,리테일_수요재편,10,942,1.06
2025Q1,거래_진행,8,942,0.85
2025Q2,금리_완화,1,1069,0.09
2025Q2,금리_부담,0,1069,0.0
2025Q2,PF_스트레스,7,1069,0.65
2025Q2,PF_정상화지원,3,1069,0.28
2025Q2,오피스_임대,9,1069,0.84
2025Q2,오피스_공급,19,1069,1.78
2025Q2,물류_과잉부담,3,1069,0.28
2025Q2,데이터센터_인프라규제,4,1069,0.37
2025Q2,호텔_수요운영,42,1069,3.93
2025Q2,리테일_수요재편,15,1069,1.4
2025Q2,거래_진행,8,1069,0.75
2025Q3,금리_완화,1,1030,0.1
2025Q3,금리_부담,1,1030,0.1
2025Q3,PF_스트레스,9,1030,0.87
2025Q3,PF_정상화지원,3,1030,0.29
2025Q3,오피스_임대,12,1030,1.17
2025Q3,오피스_공급,14,1030,1.36
2025Q3,물류_과잉부담,0,1030,0.0
2025Q3,데이터센터_인프라규제,6,1030,0.58
2025Q3,호텔_수요운영,45,1030,4.37
2025Q3,리테일_수요재편,9,1030,0.87
2025Q3,거래_진행,11,1030,1.07
2025Q4,금리_완화,2,1057,0.19
2025Q4,금리_부담,0,1057,0.0
2025Q4,PF_스트레스,12,1057,1.14
2025Q4,PF_정상화지원,6,1057,0.57
2025Q4,오피스_임대,12,1057,1.14
2025Q4,오피스_공급,16,1057,1.51
2025Q4,물류_과잉부담,3,1057,0.28
2025Q4,데이터센터_인프라규제,4,1057,0.38
2025Q4,호텔_수요운영,36,1057,3.41
2025Q4,리테일_수요재편,13,1057,1.23
2025Q4,거래_진행,22,1057,2.08
