scope,quarter,theme,matched_docs,quarter_docs,share_pct
전체,2025Q1,금리,12,942,1.27
전체,2025Q1,유동성,7,942,0.74
전체,2025Q1,PF,50,942,5.31
전체,2025Q1,대출,76,942,8.07
전체,2025Q1,리츠,30,942,3.18
전체,2025Q1,오피스,71,942,7.54
전체,2025Q1,물류센터,70,942,7.43
전체,2025Q1,데이터센터,58,942,6.16
전체,2025Q1,호텔,155,942,16.45
전체,2025Q1,리테일,44,942,4.67
전체,2025Q1,매각/투자,256,942,27.18
전체,2025Q2,금리,6,1069,0.56
전체,2025Q2,유동성,6,1069,0.56
전체,2025Q2,PF,39,1069,3.65
전체,2025Q2,대출,70,1069,6.55
전체,2025Q2,리츠,82,1069,7.67
전체,2025Q2,오피스,78,1069,7.3
전체,2025Q2,물류센터,86,1069,8.04
전체,2025Q2,데이터센터,61,1069,5.71
전체,2025Q2,호텔,123,1069,11.51
전체,2025Q2,리테일,44,1069,4.12
전체,2025Q2,매각/투자,282,1069,26.38
전체,2025Q3,금리,12,1030,1.17
전체,2025Q3,유동성,3,1030,0.29
전체,2025Q3,PF,42,1030,4.08
전체,2025Q3,대출,99,1030,9.61
전체,2025Q3,리츠,45,1030,4.37
전체,2025Q3,오피스,88,1030,8.54
전체,2025Q3,물류센터,65,1030,6.31
전체,2025Q3,데이터센터,107,1030,10.39
전체,2025Q3,호텔,168,1030,16.31
전체,2025Q3,리테일,44,1030,4.27
전체,2025Q3,매각/투자,275,1030,26.7
전체,2025Q4,금리,11,1057,1.04
전체,2025Q4,유동성,7,1057,0.66
전체,2025Q4,PF,57,1057,5.39
전체,2025Q4,대출,82,1057,7.76
전체,2025Q4,리츠,56,1057,5.3
전체,2025Q4,오피스,58,1057,5.49
전체,2025Q4,물류센터,64,1057,6.05
전체,2025Q4,데이터센터,131,1057,12.39
전체,2025Q4,호텔,116,1057,10.97
전체,2025Q4,리테일,34,1057,3.22
전체,2025Q4,매각/투자,277,1057,26.21
수도권지명명시,2025Q1,금리,0,209,0.0
수도권지명명시,2025Q1,유동성,0,209,0.0
수도권지명명시,2025Q1,PF,2,209,0.96
수도권지명명시,2025Q1,대출,5,209,2.39
수도권지명명시,2025Q1,리츠,1,209,0.48
수도권지명명시,2025Q1,오피스,30,209,14.35
수도권지명명시,2025Q1,물류센터,26,209,12.44
수도권지명명시,2025Q1,데이터센터,24,209,11.48
수도권지명명시,2025Q1,호텔,22,209,10.53
수도권지명명시,2025Q1,리테일,15,209,7.18
수도권지명명시,2025Q1,매각/투자,55,209,26.32
수도권지명명시,2025Q2,금리,0,259,0.0
수도권지명명시,2025Q2,유동성,2,259,0.77
수도권지명명시,2025Q2,PF,5,259,1.93
수도권지명명시,2025Q2,대출,13,259,5.02
수도권지명명시,2025Q2,리츠,14,259,5.41
수도권지명명시,2025Q2,오피스,35,259,13.51
수도권지명명시,2025Q2,물류센터,45,259,17.37
수도권지명명시,2025Q2,데이터센터,24,259,9.27
수도권지명명시,2025Q2,호텔,15,259,5.79
수도권지명명시,2025Q2,리테일,15,259,5.79
수도권지명명시,2025Q2,매각/투자,87,259,33.59
수도권지명명시,2025Q3,금리,1,285,0.35
수도권지명명시,2025Q3,유동성,0,285,0.0
수도권지명명시,2025Q3,PF,9,285,3.16
수도권지명명시,2025Q3,대출,13,285,4.56
수도권지명명시,2025Q3,리츠,6,285,2.11
수도권지명명시,2025Q3,오피스,31,285,10.88
수도권지명명시,2025Q3,물류센터,32,285,11.23
수도권지명명시,2025Q3,데이터센터,34,285,11.93
수도권지명명시,2025Q3,호텔,42,285,14.74
수도권지명명시,2025Q3,리테일,16,285,5.61
수도권지명명시,2025Q3,매각/투자,102,285,35.79
수도권지명명시,2025Q4,금리,0,276,0.0
수도권지명명시,2025Q4,유동성,2,276,0.72
수도권지명명시,2025Q4,PF,7,276,2.54
수도권지명명시,2025Q4,대출,8,276,2.9
수도권지명명시,2025Q4,리츠,6,276,2.17
수도권지명명시,2025Q4,오피스,31,276,11.23
수도권지명명시,2025Q4,물류센터,35,276,12.68
수도권지명명시,2025Q4,데이터센터,33,276,11.96
수도권지명명시,2025Q4,호텔,21,276,7.61
수도권지명명시,2025Q4,리테일,9,276,3.26
수도권지명명시,2025Q4,매각/투자,78,276,28.26
