펀드코드,약칭,펀드명,섹터
300004,인컴플러스1호(C-g),이지스 인컴플러스 일반사모투자신탁 제1호(Class C-g),기타
112679,랜드플랫폼 1-1호,이지스랜드플랫폼일반사모부동산투자신탁제1-1호,복합(오피스)
112119,105호(운용),이지스전문투자형사모부동산투자신탁105호 (운용), 
112188,176호,이지스글로벌일반사모부동산투자신탁176호,주거
112550,403호(3종),이지스제403호전문투자형사모부동산투자유한회사(3종),물류
112194,187호,이지스부동산투자신탁187호,주거
112609,439호(1종),이지스일반사모부동산투자신탁제439호(1종),데이터센터
112265,230호(1종),이지스전문투자형230호사모부동산투자유한회사(1종), 
112802,KDCIP 2호,이지스플랫폼케이디씨아이피2부동산일반사모투자회사,데이터센터
112292,248-1호,이지스전문투자형사모부동산투자신탁248-1호,오피스
112137,73-1호,이지스영국전문투자형사모부동산투자신탁73-1호,복합(오피스)
112384,313호,이지스글로벌전문투자형사모부동산투자신탁313호, 
112041,40호,이지스해외간접ELP사모부동산투자신탁제40호,물류
112279,232호,이지스일반사모부동산투자신탁232호(운용),특별자산
112300,254호,이지스글로벌전문투자형사모부동산투자신탁254호,리테일
120082,경산로지스1-1호(1종),이지스경산로지스일반사모부동산투자신탁제1-1호(1종),물류
112510,333호,이지스제333호일반사모부동산투자신탁(운용),호텔
112393,222호,이지스제222호전문투자형사모부동산투자회사(운용),오피스
120033,랜드플랫폼1-3호(2종),이지스랜드플랫폼일반사모부동산투자신탁제1-3호(2종),지분증권
112773,KCIP 1호,IGIS Korea Credit Investment Platform I,대출채권
112406,33호(3종),이지스일반사모부동산투자신탁33호(3종),호텔
112407,360호,이지스전문투자형사모투자신탁360호, 
120103,501호(4종),이지스일반사모부동산자투자신탁제501호(4종),데이터센터
112418,357호,이지스캘리포니아일반사모부동산투자신탁357호(재간접형),오피스
120029,인컴앤그로스2-4-4호(1종),이지스인컴앤그로스제2의4의4호일반사모부동산자투자회사(1종),물류
112730,라이징K리츠(C-I),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-I class,지분증권
112343,304호,이지스글로벌전문투자형사모부동산투자신탁304호,기타
120039,국내PF재구조화1호(자),이지스국내PF재구조화 일반사모부동산자투자신탁 제1호,NPL
112187,144호(C-i),이지스전문투자형사모부동산투자신탁144호(Class C-i), 
112156,147호,이지스전문투자형사모투자신탁147호, 
112163,161호,이지스부동산투자신탁161호,복합(오피스)
112263,셀렉리츠1호(C-S),이지스글로벌셀렉트리츠일반사모부동산투자신탁 1호 Class C-S,기타
112574,426호(1종),이지스일반사모부동산투자신탁제426호(1종),물류
112476,372호(1종),이지스제372호전문투자형사모부동산투자신탁(1종),오피스
112696,463호(A종),이지스제463호부동산일반사모투자회사(A종),지분증권
112070,80호,이지스제80호사모부동산투자유한회사, 
112129,116-2호,이지스일반사모부동산자투자신탁116-2호,물류
112334,시그니처리츠,이지스글로벌시그니처리츠전문투자형사모부동산투자신탁,기타
112259,246호,이지스전문투자형사모부동산투자신탁246호,특별자산
112312,287호(A),이지스리테일부동산투자신탁287호 Class A,리테일
300070,초단기채1호(C-I),이지스초단기채플러스일반사모투자신탁제1호(Class C-I),기타
112335,시그니처리츠(A),이지스글로벌시그니처리츠전문투자형사모부동산투자신탁Class A,기타
112352,317호,이지스전문투자형사모부동산투자신탁317호(운용), 
200043,568호,이지스아디안크레딧일반사모투자신탁568호,역외재간접
112315,290호(A),이지스전문투자형사모부동산투자신탁290호(Class A), 
112013,18B호,이지스KORIF사모부동산자투자신탁18B호,지분증권
112169,151호(1종),이지스제151호전문투자형사모부동산투자유한회사(1종),주거
112045,26호,이지스사모부동산투자신탁26호,오피스
112765,기회추구3호,이지스기회추구일반사모부동산자투자신탁제3호,복합(오피스)
112040,45호,이지스KORIF45호, 
112794,510호,이지스제510호부동산일반사모투자회사,오피스
112723,라이징K리츠(A),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)A class,지분증권
112277,259호,이지스전문투자형사모부동산투자신탁259호,주거
120012,524호,이지스일반사모부동산투자신탁제524호,지분증권
300085,블루ON3호,이지스블루ON일반사모투자신탁제3호,기타
112117,118호,이지스전문투자형사모투자신탁118호,특별자산
112412,NPL2-2호,이지스NPL전문투자형사모부동산투자신탁제2-2호,NPL
112399,331호(3종),이지스전문투자형사모부동산투자신탁제331호(3종),복합(주거)
112432,고배당리츠(C-F),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-F,지분증권
112060,66호,이지스KORIF66호, 
112198,170-2호,이지스일반사모부동산자투자신탁제170-2호,호텔
112083,95-1호,이지스전문투자형사모부동산투자신탁제95-1호, 
120006,517-1호(4종),이지스일반사모부동산자투자신탁제517의1호(1의4종),복합(주거)
112320,아레나스 1호(자),이지스아레나스케이엘아이피1사모부동산자투자회사,물류
300030,K본드알파2호(C1),이지스K본드알파일반사모투자신탁제2호(Class C1),기타
112446,리빙플랫폼1호(1종),이지스리빙플랫폼일반사모부동산자투자신탁제1호(1종),지분증권
112403,335호(F),이지스글로벌부동산투자신탁335호(파생형) (Class F), 
112184,182호,이지스전문투자형사모부동산투자신탁182호,오피스
112141,130-3호,이지스일반사모부동산자투자신탁제130-3호,오피스
112327,281호(C-I),이지스글로벌공모부동산투자신탁281호(파생형) (Class C-I),물류
