candidate_row_id,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,source_operation_status,proposed_address,proposed_pnu,proposed_longitude,proposed_latitude,db_address_text,db_pnu,db_longitude,db_latitude,db_geocode_source,db_building_ledger_source,db_api_enrichment_status,db_last_api_enriched_at,db_data_completeness,db_manual_input_required,address_compare,pnu_compare,longitude_compare,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,db_asset_site_area,db_asset_gross_floor_area,db_asset_main_usage,db_asset_completion_date,ledger_pnu,ledger_site_area,ledger_gross_floor_area,ledger_main_usage,ledger_completion_date,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata,raw_ledger_preview
1,ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,Pantheon Viking Co-Invest LP,split_or_drawer_list,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,,,,,,,,,,not_checked,,unknown,,no_proposed_value,no_proposed_value,no_proposed_value,no_proposed_value,False,False,False,False,False,False,False,,,오피스복합,,,,,,,,,,,,False,
2,ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,NMP V,split_or_drawer_list,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,,,,,,,,,,not_checked,,unknown,,no_proposed_value,no_proposed_value,no_proposed_value,no_proposed_value,False,False,False,False,False,False,False,,,오피스복합,,,,,,,,,,,,False,
3,ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,PGSF VII,split_or_drawer_list,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,,,,,,,,,,not_checked,,unknown,,no_proposed_value,no_proposed_value,no_proposed_value,no_proposed_value,False,False,False,False,False,False,False,,,오피스복합,,,,,,,,,,,,False,
4,ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,PSD III,split_or_drawer_list,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,,,,,,,,,,not_checked,,unknown,,no_proposed_value,no_proposed_value,no_proposed_value,no_proposed_value,False,False,False,False,False,False,False,,,오피스복합,,,,,,,,,,,,False,
5,ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),manual_review,worklist_proposed_name_unmatched,adopt_name_only_pending_location,False,120084 | 190015 | 190016,,,,,,,,,,,,,,,,,not_checked,,unknown,,no_proposed_value,no_proposed_value,no_proposed_value,no_proposed_value,False,False,False,False,False,False,False,,,데이터센터,,,,,,,,,,,,False,
6,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),다산1,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),1,특별자산,특별자산,운용,전라남도 해남군 해남읍 복평리 995-7,4682025037109950007,126.538161600153,34.5652004185649,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58411,,전라남도 해남군 해남읍 복평리 995-7,126.538161665367,34.5652010866154,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
7,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),동서발전,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),2,특별자산,특별자산,운용,경상북도 예천군 은풍면 부초리 산44,4790043029200440000,128.450495775082,36.7285805664103,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58412,,경상북도 예천군 은풍면 부초리 산 44-1,128.450495709425,36.7285810242574,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
8,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),진이엔지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),3,특별자산,특별자산,운용,충청북도 진천군 문백면 평산리 산54,4375033025200540000,127.477462066664,36.8024105189189,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58413,,충청북도 진천군 문백면 평산리 산 54,127.477462083436,36.8024109737305,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
9,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),현대산업쏠라5호,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),4,특별자산,특별자산,운용,경상북도 의성군 옥산면 입암리 9,4773033038100090000,128.842909332077,36.3958762237176,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58414,,경상북도 의성군 옥산면 입암리 7,128.843147572616,36.3958816468692,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
10,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이앤스틸테크놀로지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),5,특별자산,특별자산,운용,경상북도 상주시 내서면 노류리 572-2,4725037029105720002,128.020691220829,36.3645499179998,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58415,,"경상북도 상주시 내서면 노류리 산141-1, 572-1, 모서면 대포리 산20-5",,,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
11,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),리에너지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),6,특별자산,특별자산,운용,경상북도 상주시 사벌국면 용담리 산42-1,4725032526200420001,128.218246198146,36.4863548646006,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58416,,경상북도 상주시 사벌국면 용담리 산 42-1,128.218246150322,36.4863553447739,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
