merge_action,risk_level,merge_reason,target_tables,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,asset_semantics_hint,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,proposed_address,db_address_text,address_compare,proposed_pnu,db_pnu,pnu_compare,proposed_longitude,db_longitude,longitude_compare,proposed_latitude,db_latitude,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata
create_or_link_underlying_asset_name_only,review,candidate has no location; keep searchable/linkable but no pnu update,"asset_master, asset_fund_links",ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,Pantheon Viking Co-Invest LP,split_or_drawer_list,,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False
create_or_link_underlying_asset_name_only,review,candidate has no location; keep searchable/linkable but no pnu update,"asset_master, asset_fund_links",ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,NMP V,split_or_drawer_list,,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False
create_or_link_underlying_asset_name_only,review,candidate has no location; keep searchable/linkable but no pnu update,"asset_master, asset_fund_links",ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,PGSF VII,split_or_drawer_list,,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False
create_or_link_underlying_asset_name_only,review,candidate has no location; keep searchable/linkable but no pnu update,"asset_master, asset_fund_links",ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,PSD III,split_or_drawer_list,,worklist_proposed_name_unmatched,create_or_link_underlying_asset_name_only,False,200006,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False
hold_name_only_no_location,hold,adopted name has no location candidate,search_alias_or_asset_name,ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),manual_review,,worklist_proposed_name_unmatched,adopt_name_only_pending_location,False,120084 | 190015 | 190016,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),다산1,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),1,특별자산,특별자산,전라남도 해남군 해남읍 복평리 995-7,충청북도 충주시 대소원면 완오리 1165,different,4682025037109950007,4313033530111650000,different,126.538161600153,127.837297354945,different,34.5652004185649,36.9983951162712,different,True,True,True,False,False,True,True,58411,,전라남도 해남군 해남읍 복평리 995-7,126.538161665367,34.5652010866154,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),동서발전,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),2,특별자산,특별자산,경상북도 예천군 은풍면 부초리 산44,충청북도 충주시 대소원면 완오리 1165,different,4790043029200440000,4313033530111650000,different,128.450495775082,127.837297354945,different,36.7285805664103,36.9983951162712,different,True,True,True,False,False,True,True,58412,,경상북도 예천군 은풍면 부초리 산 44-1,128.450495709425,36.7285810242574,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),진이엔지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),3,특별자산,특별자산,충청북도 진천군 문백면 평산리 산54,충청북도 충주시 대소원면 완오리 1165,different,4375033025200540000,4313033530111650000,different,127.477462066664,127.837297354945,different,36.8024105189189,36.9983951162712,different,True,True,True,False,False,True,True,58413,,충청북도 진천군 문백면 평산리 산 54,127.477462083436,36.8024109737305,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),현대산업쏠라5호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),4,특별자산,특별자산,경상북도 의성군 옥산면 입암리 9,충청북도 충주시 대소원면 완오리 1165,different,4773033038100090000,4313033530111650000,different,128.842909332077,127.837297354945,different,36.3958762237176,36.9983951162712,different,True,True,True,False,False,True,True,58414,,경상북도 의성군 옥산면 입암리 7,128.843147572616,36.3958816468692,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이앤스틸테크놀로지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),5,특별자산,특별자산,경상북도 상주시 내서면 노류리 572-2,충청북도 충주시 대소원면 완오리 1165,different,4725037029105720002,4313033530111650000,different,128.020691220829,127.837297354945,different,36.3645499179998,36.9983951162712,different,True,True,True,False,False,True,True,58415,,"경상북도 상주시 내서면 노류리 산141-1, 572-1, 모서면 대포리 산20-5",,,False
