asset_id,current_asset_name,previous_candidate_names,final_asset_name,decision_status,asset_semantics,linked_fund_ids,note
ast_30efc1e2c218,이지스경산물류제1호일반사모부동산투자회사의 1종 종류주식,이지스경산물류제1호일반사모부동산투자회사의 1종 종류주식,경산 쿠팡물류센터,user_confirmed,underlying_asset,120076 | 120077,종류주는 보유 형태이고 기초자산은 경산 쿠팡물류센터
ast_b0956b6f4029,이지스산업단지환경개선일반사모부동산투자신탁제1호,이지스제542호부동산일반사모투자회사(제1종),부산송정물류센터,user_confirmed_inferred_from_542_successor,underlying_asset,120044,542호 제1종은 기존 542호 자산 승계로 판단
ast_808ae65372f4,오시리아타워레지던스,오시리아타워레지던스,오시리아타워레지던스,user_confirmed,underlying_asset,P00003,명칭 자체가 자산
ast_34e35d0dff33,이지스부동산일반사모투자회사제543호,분당야탑물류센터,분당야탑물류센터,user_confirmed,underlying_asset,190002 | 190003 | 190004,기존 후보 채택
ast_4a2972f3fd4f,주식회사 석암물류(SPC),양산 유산동 물류센터,양산 유산동 물류센터,user_confirmed,underlying_asset,S00002,기존 후보 채택
ast_616c3d79da75,이지스경산로지스제1호일반사모부동산투자회사(운용),경산 쿠팡물류센터,경산 쿠팡물류센터,user_confirmed,underlying_asset,120085 | 120086 | 120087 | 120088,기존 후보 채택
ast_428853fb1dec,글로벌 리츠,Global REITs(삼성OCIO),Global REITs(삼성OCIO),user_confirmed,security_or_portfolio_asset,112664,글로벌 리츠는 괄호 구분 후보명 채택
ast_f5220c768a13,글로벌 리츠,Global REITs (수협),Global REITs (수협),user_confirmed,security_or_portfolio_asset,112564,글로벌 리츠는 괄호 구분 후보명 채택
ast_9bf678a7d2ae,글로벌 리츠,Global REITs(리츠섹터SMA1호),Global REITs(리츠섹터SMA1호),user_confirmed,security_or_portfolio_asset,112411,글로벌 리츠는 괄호 구분 후보명 채택
ast_fbe13b6b1e0a,글로벌 리츠,Global REITs(셀렉리츠1호),Global REITs(셀렉리츠1호),user_confirmed,security_or_portfolio_asset,112260 | 112261 | 112262 | 112263 | 112452 | 300010 | 300053,글로벌 리츠는 괄호 구분 후보명 채택
ast_b4ff0851baae,이지스국내PF재구조화일반사모부동산모투자신탁제1-3호,이지스용산PF재구조화일반사모1호(2종),이지스용산PF재구조화일반사모1호(2종),provisional_adopted,vehicle_or_restructured_pf_asset,120102,잔여 후보도 우선 채택
ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),provisional_adopted,vehicle_or_share_class_asset,120084 | 190015 | 190016,잔여 후보도 우선 채택
ast_4ae20e9370ca,이지스아디안유럽인프라일반사모혼합자산투자신탁제494호(재간접),ARDIAN Infrastructure Fund VI,ARDIAN Infrastructure Fund VI,provisional_adopted,fund_interest_or_indirect_asset,112803,잔여 후보도 우선 채택
ast_4d1430b5f175,공모주,전환사채 | 공모주 | 비상장RCPS | 상장리츠 | AA+ 회사채,전환사채 | 공모주 | 비상장RCPS | 상장리츠 | AA+ 회사채,provisional_adopted,security_or_portfolio_asset_list,112709 | 112710 | 112711 | 112712 | 112713 | 112714 | 112763 | 300006 | 300007 | 300008 | 300009 | 300012 | 300018 | 300019 | 300020 | 300028 | 300032 | 300033 | 300034 | 300035 | 300036 | 300037 | 300039 | 300044 | 300047 | 300050 | 300051 | 300052 | 300054 | 300057 | 300061 | 300063 | 300073 | 300074 | 300075 | 300076 | 300079 | 300080,잔여 후보도 우선 채택. UI에서는 목록형/포트폴리오형으로 표시
ast_4ffe4ac306f2,이지스 멀티인컴 일반사모투자신탁 제1호(운용),상장리츠 | 공모주 | AA+ 회사채,상장리츠 | 공모주 | AA+ 회사채,provisional_adopted,security_or_portfolio_asset_list,112710,잔여 후보도 우선 채택. UI에서는 목록형/포트폴리오형으로 표시
ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,provisional_adopted,fund_interest_or_indirect_asset_list,200006,잔여 후보도 우선 채택. UI에서는 재간접 하위 보유목록으로 표시
ast_dc11f9b4f515,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,provisional_adopted,fund_interest_or_indirect_asset_list,200006,잔여 후보도 우선 채택. UI에서는 재간접 하위 보유목록으로 표시
