asset_id,canonical_name,address_text,fund_count,project_count,linked_fund_ids,linked_project_ids
ast_00df26953973,New York 1551 Broadway Mezzanine Loan,"1551 Broadway New York, NY",1,1,112150,112150
ast_021767a7f029,강동 성내 역세권 청년주택,성내동 190-11,5,6,"112287, 112288, 112289, 120011, R00012","112287, 112288, 112289, 120011, project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba, R00012"
ast_0264aa763175,덕평CJ물류센터 (투자),경기도 이천시 호법면 매곡리 118-2,3,3,"112328, 112329, 112330","112328, 112329, 112330"
ast_02e499cf476b,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,서울 서초구 반포동 64-1번지 일원,2,4,"120059, 120060","120059, 120060, project_notion_3258ced4-3c47-81c6-aa6d-fd1918557d0c, project_notion_3268ced4-3c47-81eb-b5a0-c02b7f306052"
ast_03b867e56a1e,평촌G스퀘어,경기도 안양시 동안구 호계동 1039,3,5,"112085, 112089, 112090","112085, 112089, 112090, project_notion_3258ced4-3c47-8189-8e94-ec28b1f3cf28, project_notion_3268ced4-3c47-815e-a4e5-c8bff77f2023"
ast_04ce3ef6593c,오산세교2지구 M-1BL 주상복합,경기도 오산시 오산세교2지구 M1BL,1,3,P00012,"P00012, project_notion_3258ced4-3c47-81dc-9709-fa150a62a94b, project_notion_3268ced4-3c47-81a2-bc74-d2f1e81e5190"
ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),-,3,2,"120084, 190015, 190016","120084, project_notion_3258ced4-3c47-81a6-8956-da51f389ec09"
ast_0766c7718345,동부산 테마파크 개발사업,부산광역시 기장군 기장읍 일원 (동부산관광단지내),1,3,P00002,"P00002, project_notion_3258ced4-3c47-81dc-a91b-efd55adef7d8, project_notion_3268ced4-3c47-81db-9a2a-fdb39614cb7b"
ast_08c6f4e86f22,군산수상태양광 PF대출,전라북도 군산시 비응도동 19,1,1,112646,112646
ast_0920c9043185,인천석남물류센터,인천광역시 서구 석남동 224-8,9,11,"112500, 112717, 112721, 112749, 112750, 112751, 120028, 120029, 120030","112717, 112721, 112749, 112750, 112751, 120028, 120029, 120030, project_notion_3258ced4-3c47-8166-8841-e0de7316e354, project_notion_3258ced4-3c47-8191-95e3-fb016380a726, project_notion_3268ced4-3c47-8175-ac2a-f97421459f44"
ast_0a0e2cc5bc0e,"MRP Buyer, LLC에 대한 선순위 대출",-,1,1,200034,200034
ast_0bab0f479396,김포DC 개발사업,경기도 김포시 장기동 2008-6,4,6,"112669, 112670, 112671, 120019","112669, 112670, 112671, 120019, project_notion_3258ced4-3c47-81d8-b179-d43fa8bbe452, project_notion_3268ced4-3c47-81c0-b357-fae2bc9b20e6"
ast_0bb41d4e593f,GLP Japan Develoment Partners III,-,1,2,112303,"112303, project_notion_3258ced4-3c47-81cc-ad60-cf4af43ad902"
