entity_type,entity_id,token_type,search_text,search_key,display_text,related_asset_id,related_fund_id,related_project_id,result_behavior,source
asset,ast_0011c54227b4,asset_name,인천 가좌동 소재 개발자산 선매입,인천가좌동소재개발자산선매입,인천 가좌동 소재 개발자산 선매입,ast_0011c54227b4,,,open_asset_drawer,project_name_cleanup_basis.final_asset_name
project_context,ast_0011c54227b4:,project_or_business_label,인천 가좌동 소재 개발자산 선매입,인천가좌동소재개발자산선매입,인천 가좌동 소재 개발자산 선매입,ast_0011c54227b4,,,open_context_drawer,derived.available_name
asset,ast_004573bcb481,asset_name,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,ast_004573bcb481,,,open_asset_drawer,project_name_cleanup_basis.final_asset_name
project_context,ast_004573bcb481:,project_or_business_label,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,ast_004573bcb481,,,open_context_drawer,derived.available_name
address,ast_004573bcb481,address_region,경기도,경기도,안성산하3지구물류센터개발사업 · 경기도 안성시 원곡면 산하리500번지 외 168필지,ast_004573bcb481,,,open_asset_drawer,asset_address.region_token
address,ast_004573bcb481,address_region,안성시,안성시,안성산하3지구물류센터개발사업 · 경기도 안성시 원곡면 산하리500번지 외 168필지,ast_004573bcb481,,,open_asset_drawer,asset_address.region_token
address,ast_004573bcb481,address_region,원곡면,원곡면,안성산하3지구물류센터개발사업 · 경기도 안성시 원곡면 산하리500번지 외 168필지,ast_004573bcb481,,,open_asset_drawer,asset_address.region_token
address,ast_004573bcb481,address_region,산하리500번지,산하리500번지,안성산하3지구물류센터개발사업 · 경기도 안성시 원곡면 산하리500번지 외 168필지,ast_004573bcb481,,,open_asset_drawer,asset_address.region_token
address,ast_004573bcb481,address_region,경기도 안성시,경기도안성시,안성산하3지구물류센터개발사업 · 경기도 안성시 원곡면 산하리500번지 외 168필지,ast_004573bcb481,,,open_asset_drawer,asset_address.region_token
asset,ast_0098d2fecd62,asset_name,종로구 시니어주택 리모델링,종로구시니어주택리모델링,종로구 시니어주택 리모델링,ast_0098d2fecd62,,,open_asset_drawer,project_name_cleanup_basis.final_asset_name
