asset_id,current_asset_name,proposed_asset_name,asset_name_resolution_status,asset_name_action,is_fund_or_vehicle_fallback_asset,direct_fund_asset_candidates,same_fund_underlying_candidates,fund_asset_field_candidates,project_name_candidates,alias_name_candidates,direct_fund_asset_details_json,linked_fund_ids,linked_project_ids,linked_fund_count,linked_project_count,drawer_behavior_hint
ast_0011c54227b4,인천 가좌동 소재 개발자산 선매입,인천 가좌동 소재 개발자산 선매입,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_004573bcb481,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_0098d2fecd62,종로구 시니어주택 리모델링,종로구 시니어주택 리모델링,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_00d6ab2ffdec,이지스10호(2종)의  수익증권,이지스10호(2종)의  수익증권,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_00df26953973,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,current_asset_name_ok,keep,false,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,"[{""name"":""New York 1551 Broadway Mezzanine Loan"",""address"":""1551 Broadway New York, NY"",""type"":""""}]",112150,112150,1,1,entity_click_opens_detail
ast_01045c0cd92d,이지스333호(디어스 명동),이지스333호(디어스 명동),current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_021767a7f029,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,"[{""name"":""강동 성내 역세권 청년주택"",""address"":""성내동 190-11"",""type"":""""},{""name"":""강동 성내 역세권 청년주택"",""address"":""성내동 190-11"",""type"":""""},{""name"":""강동 성내 역세권 청년주택"",""address"":""성내동 190-11"",""type"":""""}]",112287 | 112288 | 112289 | 120011 | R00012,112287 | 112288 | 112289 | 120011 | R00012 | project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,5,6,entity_click_opens_asset_fund_project_picker
ast_022d4816897f,여의도 파이낸스타워,여의도 파이낸스타워,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_023cb333482d,성수동 복합시설 개발사업,성수동 복합시설 개발사업,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_024953888c95,판교 테크원타워,판교 테크원타워,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_0264aa763175,덕평CJ물류센터 (투자),덕평CJ물류센터 (투자),current_asset_name_ok,keep,false,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,"[{""name"":""덕평CJ물류센터"",""address"":""경기도 이천시 호법면 매곡리 118-2"",""type"":""""}]",112328 | 112329 | 112330,112328 | 112329 | 112330,3,3,entity_click_opens_asset_fund_project_picker
ast_02870a4cfd6e,시그니쳐타워,시그니쳐타워,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_02e499cf476b,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,current_asset_name_ok,keep,false,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,반포 스페셜시츄에이션 | 서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출 | 반포 스페셜시츄에이션,"[{""name"":""서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출"",""address"":""서울특별시 서초구 반포동 64-1"",""type"":""""},{""name"":""서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지대출"",""address"":""서울특별시 서초구 반포동 64-1"",""type"":""""}]",120059 | 120060,120059 | 120060 | project_notion_3258ced4-3c47-81c6-aa6d-fd1918557d0c | project_notion_3268ced4-3c47-81eb-b5a0-c02b7f306052,2,4,entity_click_opens_asset_fund_project_picker
ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,review_multi_underlying_split,split_or_drawer_list,true,PSD III,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,Pantheon Viking Co-Invest LP | NMP V | PGSF VII | PSD III,,"PSD III | Pantheon Viking Co-Invest LP, NMP V, PGSF VII, PSD III","[{""name"":""PSD III"",""address"":"""",""type"":""오피스복합""}]",200006,,1,0,fund_click_opens_underlying_asset_list
