fund_id,short_name,fund_name,dept_text,dept_token,candidate_org_id,candidate_org_name,candidate_org_type,candidate_org_path,match_score,match_type,current_dept_org_id
112001,1호,이지스전문투자형사모부동산투자신탁1호,자산관리2파트4,자산관리2파트4,org_section_03_group_01_part_02_team_04,2파트4,team,관리+운영 > 국내자산관리그룹 > 2파트 > 2파트4,75,org_name_or_path,
112001,1호,이지스전문투자형사모부동산투자신탁1호,자산관리2파트4,자산관리2파트4,org_section_03_group_02_part_02_team_01,2파트,team,관리+운영 > 글로벌자산관리그룹 > 2파트 > 2파트,75,org_name_or_path,
112001,1호,이지스전문투자형사모부동산투자신탁1호,자산관리2파트4,자산관리2파트4,org_section_03_group_03_part_02_team_01,2파트,team,관리+운영 > 리빙그룹 > 2파트 > 2파트,75,org_name_or_path,
112001,1호,이지스전문투자형사모부동산투자신탁1호,자산관리2파트4,자산관리2파트4,org_section_02_group_01_part_02_team_01,2파트,team,사업+개발 > 사업그룹 > 2파트 > 2파트,75,org_name_or_path,
112001,1호,이지스전문투자형사모부동산투자신탁1호,자산관리2파트4,자산관리2파트4,org_section_01_group_04_part_02_team_01,2파트,team,투자+펀딩 > 글로벌투자그룹 > 2파트 > 2파트,75,org_name_or_path,
112002,8호,피에스KORIF사모부동산투자신탁8호,,,,,,,0,unmatched,
112003,2호,피에스KORIF사모부동산투자신탁2호,,,,,,,0,unmatched,
112004,5호,피에스KORIF사모부동산투자신탁5호,자산관리2파트1,자산관리2파트1,org_section_03_group_01_part_02_team_01,2파트1,team,관리+운영 > 국내자산관리그룹 > 2파트 > 2파트1,75,org_name_or_path,
112004,5호,피에스KORIF사모부동산투자신탁5호,자산관리2파트1,자산관리2파트1,org_section_03_group_02_part_02_team_01,2파트,team,관리+운영 > 글로벌자산관리그룹 > 2파트 > 2파트,75,org_name_or_path,
112004,5호,피에스KORIF사모부동산투자신탁5호,자산관리2파트1,자산관리2파트1,org_section_03_group_03_part_02_team_01,2파트,team,관리+운영 > 리빙그룹 > 2파트 > 2파트,75,org_name_or_path,
112004,5호,피에스KORIF사모부동산투자신탁5호,자산관리2파트1,자산관리2파트1,org_section_02_group_01_part_02_team_01,2파트,team,사업+개발 > 사업그룹 > 2파트 > 2파트,75,org_name_or_path,
112004,5호,피에스KORIF사모부동산투자신탁5호,자산관리2파트1,자산관리2파트1,org_section_01_group_04_part_02_team_01,2파트,team,투자+펀딩 > 글로벌투자그룹 > 2파트 > 2파트,75,org_name_or_path,
P00034,P울산KTX,울산케이티엑스센트럴포레 주식회사,투자3그룹1파트,투자3그룹1파트,org_section_03_group_03_part_01_team_01,1파트,team,관리+운영 > 리빙그룹 > 1파트 > 1파트,75,org_name_or_path,
P00034,P울산KTX,울산케이티엑스센트럴포레 주식회사,투자3그룹1파트,투자3그룹1파트,org_section_02_group_01_part_01_team_01,1파트,team,사업+개발 > 사업그룹 > 1파트 > 1파트,75,org_name_or_path,
P00034,P울산KTX,울산케이티엑스센트럴포레 주식회사,투자3그룹1파트,투자3그룹1파트,org_section_01_group_04_part_01_team_01,1파트,team,투자+펀딩 > 글로벌투자그룹 > 1파트 > 1파트,75,org_name_or_path,
P00034,P울산KTX,울산케이티엑스센트럴포레 주식회사,투자3그룹1파트,투자3그룹1파트,org_section_01_group_05_part_01_team_01,1파트,team,투자+펀딩 > 스페셜시츄에이션그룹 > 1파트 > 1파트,75,org_name_or_path,
P00034,P울산KTX,울산케이티엑스센트럴포레 주식회사,투자3그룹1파트,투자3그룹1파트,org_section_01_group_01_part_01_team_01,1파트,team,투자+펀딩 > 투자1그룹 > 1파트 > 1파트,75,org_name_or_path,
112669,472호,이지스제472호일반사모부동산투자회사(운용),사업파트,사업파트,org_section_02_group_02_part_01_team_01,사업파트,team,사업+개발 > 디지털사업그룹 > 사업파트 > 사업파트,100,org_name_or_path,
112669,472호,이지스제472호일반사모부동산투자회사(운용),사업파트,사업파트,org_section_02_group_02_part_01,사업파트,part,사업+개발 > 디지털사업그룹 > 사업파트,100,org_name_or_path,
112005,6호,이지스전문투자형사모부동산투자신탁6호,자산관리2파트4,자산관리2파트4,org_section_03_group_01_part_02_team_04,2파트4,team,관리+운영 > 국내자산관리그룹 > 2파트 > 2파트4,75,org_name_or_path,
112005,6호,이지스전문투자형사모부동산투자신탁6호,자산관리2파트4,자산관리2파트4,org_section_03_group_02_part_02_team_01,2파트,team,관리+운영 > 글로벌자산관리그룹 > 2파트 > 2파트,75,org_name_or_path,
112005,6호,이지스전문투자형사모부동산투자신탁6호,자산관리2파트4,자산관리2파트4,org_section_03_group_03_part_02_team_01,2파트,team,관리+운영 > 리빙그룹 > 2파트 > 2파트,75,org_name_or_path,
112005,6호,이지스전문투자형사모부동산투자신탁6호,자산관리2파트4,자산관리2파트4,org_section_02_group_01_part_02_team_01,2파트,team,사업+개발 > 사업그룹 > 2파트 > 2파트,75,org_name_or_path,
112005,6호,이지스전문투자형사모부동산투자신탁6호,자산관리2파트4,자산관리2파트4,org_section_01_group_04_part_02_team_01,2파트,team,투자+펀딩 > 글로벌투자그룹 > 2파트 > 2파트,75,org_name_or_path,
112007,12호,이지스KORIF사모부동산 투자신탁12호,,,,,,,0,unmatched,
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트1,org_section_03_group_01_part_01_team_01,1파트1,team,관리+운영 > 국내자산관리그룹 > 1파트 > 1파트1,75,org_name_or_path,
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트,org_section_03_group_03_part_01_team_01,1파트,team,관리+운영 > 리빙그룹 > 1파트 > 1파트,75,org_name_or_path,
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트1,org_section_03_group_03_part_01_team_01,1파트,team,관리+운영 > 리빙그룹 > 1파트 > 1파트,75,org_name_or_path,
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트,org_section_02_group_01_part_01_team_01,1파트,team,사업+개발 > 사업그룹 > 1파트 > 1파트,75,org_name_or_path,
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트1,org_section_02_group_01_part_01_team_01,1파트,team,사업+개발 > 사업그룹 > 1파트 > 1파트,75,org_name_or_path,
112547,403호,이지스제403호전문투자형사모부동산투자유한회사(운용),"남사물류개발TF, 자산관리",자산관리,org_section_01_group_05_part_03_team_01,자산관리,team,투자+펀딩 > 스페셜시츄에이션그룹 > 자산관리 > 자산관리,100,org_name_or_path,
112547,403호,이지스제403호전문투자형사모부동산투자유한회사(운용),"남사물류개발TF, 자산관리",자산관리,org_section_01_group_05_part_03,자산관리,part,투자+펀딩 > 스페셜시츄에이션그룹 > 자산관리,100,org_name_or_path,
112547,403호,이지스제403호전문투자형사모부동산투자유한회사(운용),"남사물류개발TF, 자산관리",자산관리,org_section_03_group_01_part_01_team_01,1파트1,team,관리+운영 > 국내자산관리그룹 > 1파트 > 1파트1,85,org_name_or_path,
112547,403호,이지스제403호전문투자형사모부동산투자유한회사(운용),"남사물류개발TF, 자산관리",자산관리,org_section_03_group_01_part_01_team_02,1파트2,team,관리+운영 > 국내자산관리그룹 > 1파트 > 1파트2,85,org_name_or_path,
112547,403호,이지스제403호전문투자형사모부동산투자유한회사(운용),"남사물류개발TF, 자산관리",자산관리,org_section_03_group_01_part_01_team_03,로지스틱스 / 매니지먼트,team,관리+운영 > 국내자산관리그룹 > 1파트 > 로지스틱스 / 매니지먼트,85,org_name_or_path,
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트1,org_section_03_group_01_part_01_team_01,1파트1,team,관리+운영 > 국내자산관리그룹 > 1파트 > 1파트1,75,org_name_or_path,
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트,org_section_03_group_03_part_01_team_01,1파트,team,관리+운영 > 리빙그룹 > 1파트 > 1파트,75,org_name_or_path,
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트1,org_section_03_group_03_part_01_team_01,1파트,team,관리+운영 > 리빙그룹 > 1파트 > 1파트,75,org_name_or_path,
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트,org_section_02_group_01_part_01_team_01,1파트,team,사업+개발 > 사업그룹 > 1파트 > 1파트,75,org_name_or_path,
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,"229호TF, 글로벌자산관리1파트, 글로벌자산관리1파트1",글로벌자산관리1파트1,org_section_02_group_01_part_01_team_01,1파트,team,사업+개발 > 사업그룹 > 1파트 > 1파트,75,org_name_or_path,
S00002,석암물류(SPC),주식회사 석암물류(SPC),투자1그룹4파트,투자1그룹4파트,org_section_02_group_01_part_04_team_01,4파트,team,사업+개발 > 사업그룹 > 4파트 > 4파트,75,org_name_or_path,
S00002,석암물류(SPC),주식회사 석암물류(SPC),투자1그룹4파트,투자1그룹4파트,org_section_01_group_01_part_04_team_01,4파트,team,투자+펀딩 > 투자1그룹 > 4파트 > 4파트,75,org_name_or_path,
S00002,석암물류(SPC),주식회사 석암물류(SPC),투자1그룹4파트,투자1그룹4파트,org_section_02_group_01_part_04,4파트,part,사업+개발 > 사업그룹 > 4파트,75,org_name_or_path,
S00002,석암물류(SPC),주식회사 석암물류(SPC),투자1그룹4파트,투자1그룹4파트,org_section_01_group_01,투자1그룹,group,투자+펀딩 > 투자1그룹,75,org_name_or_path,
S00002,석암물류(SPC),주식회사 석암물류(SPC),투자1그룹4파트,투자1그룹4파트,org_section_01_group_01_part_04,4파트,part,투자+펀딩 > 투자1그룹 > 4파트,75,org_name_or_path,
P00014,P안성성은물류,안성성은물류피에프브이 주식회사,투자1그룹4파트,투자1그룹4파트,org_section_02_group_01_part_04_team_01,4파트,team,사업+개발 > 사업그룹 > 4파트 > 4파트,75,org_name_or_path,
P00014,P안성성은물류,안성성은물류피에프브이 주식회사,투자1그룹4파트,투자1그룹4파트,org_section_01_group_01_part_04_team_01,4파트,team,투자+펀딩 > 투자1그룹 > 4파트 > 4파트,75,org_name_or_path,
