펀드코드,펀드명,AUM(약정),대주정보,수익자정보,자산정보
P00030,P와이디427,2280000000000,O,X,O
P00027,P수서역환승센터,1272920000000,X,X,O
R00015,R밸류업1호,974904753535,O,X,O
P00037,P와이디816,963395000000,O,X,O
112093,89호,810748267454,X,O,O
112475,372호,674897281340,X,O,O
112355,301호,663732720000,X,O,O
112325,281호,587737628270,X,O,O
R00011,R이지스밸류플러스,562146840147,X,X,O
112483,378호,544149587666,X,X,O
112049,50호,531765402872,X,O,O
112035,37-1호,502052044568,X,O,O
112579,420호,478186000000,X,O,O
112242,229호,475016892248,X,O,O
112254,229-1호,465971468396,X,O,O
R00004,R용산청년주택,455986423520,O,X,O
R00013,R롱웨일1호,436504000000,O,X,O
112308,292호,432234076003,X,X,X
112541,402-2호,418323295083,X,O,O
112058,56호,414817614315,X,O,O
R00008,R레지던스,398492543423,X,X,O
112560,401호,378055529180,X,X,X
112100,87호,372100000000,X,O,O
P00032,P이든센트럴,372000000000,O,X,O
P00029,P을지로95,360000000000,O,X,O
P00002,P오시리아테마파크,358010000000,X,O,O
112588,434호,341318250000,X,O,O
R00001,R엠에프용답,331200000000,O,X,O
200008,530호,330816150000,X,O,O
P00035,P해운대센트럴,328852200000,O,X,O
200023,551호,321523740000,X,X,O
112540,402-1호,314204856245,X,O,O
112614,421호,309000000000,X,O,O
112077,83호,306496329051,X,O,O
112374,308호,299107056294,X,O,O
200028,563호,296002300000,X,O,O
200017,548호,293051457000,X,O,O
200031,세컨더리6호,287800000000,X,O,O
112521,348-1호,287800000000,X,O,O
120094,장기지분형1-3호,286390000000,X,O,O
112235,스카이로지스,283700000000,X,O,O
112333,288호,276028278342,X,O,O
P00033,P은평진관동,255000000000,O,X,O
112338,300호,253531600000,X,O,O
112092,98호,246614030000,X,X,O
112208,198호,223262363914,X,O,O
112666,부동산론 1호,221100000000,X,O,O
112057,21호,215850000000,X,O,O
112527,404호,214279590826,X,O,O
R00012,R청년주택1호,213495450000,O,X,O
112173,159호,208460854000,X,O,O
112745,501호,205100000000,X,X,X
112596,리츠포트폴리오 2호,205000000000,X,O,O
112599,436-2호,197245218932,X,O,O
112598,436-1호,197245218931,X,O,O
120099,용산PF재구조화1호,190000000000,X,O,O
112494,366-1호,185824100000,X,O,O
120001,517-1호,183000000000,X,X,X
112587,K-리츠,182428305293,X,O,O
112068,60-1호,177636975064,X,O,O
112069,60-2호,177636975064,X,O,O
P00010,P성수PFV1,177128688100,X,X,X
112657,458호,171283020239,X,O,O
P00022,P효제센트럴,171000000000,O,X,O
112558,410호,168931000000,X,O,O
112361,295호,165371039653,X,O,O
112080,92호,164516519476,X,O,O
112493,390호,160300000000,X,O,O
112790,503호,158290000000,X,O,O
112496,380-1호,155550075477,X,O,O
112600,438호,153092214612,X,O,O
112278,243호,152144485900,X,X,O
112095,109호,151996094665,X,X,O
112223,206호,148671478262,X,O,O
112065,75호,146373929313,X,O,O
112501,376호,145339000000,X,O,O
200006,세컨더리1호,145051200000,X,O,O
112409,343호,143900000000,X,O,O
112413,348호,143900000000,X,O,O
112662,457호,143900000000,X,O,O
300066,브룩필드1호,143900000000,X,O,O
200034,글로벌인프라5호,143900000000,X,O,O
200035,573호,143900000000,X,O,O
300053,리츠섹터SMA2호,143900000000,X,O,O
112206,177호,143900000000,X,O,O
