counterparty_general_name,counterparty_registered_name,counterparty_category,current_contact_points,related_projects_text,next_target_project,notion_url
LG CNS,(주)엘지씨엔에스,Operator,홍창의,"고양삼송 데이터센터; 하남IDC",,https://www.notion.so/33d8ced43c4780cb9abaf50fc9f76ffa
SKB,SK브로드밴드,Operator,홍창의,SK가산데이터센터,,https://www.notion.so/33e8ced43c478075bdf1c88869ae62fb
KT,(주)케이티,Operator,홍창의,부산육양국데이터센터,,https://www.notion.so/33d8ced43c4780ea9b7af518cd984c14
LG U+,엘지유플러스,Operator,홍창의,,,https://www.notion.so/33e8ced43c478025bf0de934af89a457
롯데 이노베이트,롯데이노베이트(주),Operator,홍창의,"안산글로벌클라우드센터; 하남소형데이터센터",부천소형DC,https://www.notion.so/33d8ced43c4780abb39ec69022614043
CJ올리브네트웍스,CJ올리브네트웍스(주),Operator,홍창의,,부천소형DC,https://www.notion.so/33e8ced43c47802585dadeea972c05ed
KINX,(주)케이아이엔엑스,Operator,홍창의,,,https://www.notion.so/33d8ced43c4780619345f673aa594a95
가비아,(주)가비아,Operator,홍창의,,,https://www.notion.so/33d8ced43c4780e78b9ec6b1cb7a13a1
세종네트웍스,세종네트웍스(주),Operator,홍창의,,,https://www.notion.so/33e8ced43c478070a4c6c8bc196f5453
삼성물산,삼성물산(주),시공사,"강순용; 홍창의","이오타서울 427; 이오타서울 816; 하남IDC; 안산 글로벌클라우드센터 개발",,https://www.notion.so/33d8ced43c478088b4b1cd6d596dd012
현대건설,현대건설(주),시공사,강순용,"더강남832; 이오타서울 427; 이오타서울 816; 은평 시니어리빙 1호",,https://www.notion.so/33d8ced43c478070afc9db5583376680
DL이앤씨,디앨이앤씨(주),시공사,,,,https://www.notion.so/33d8ced43c47801f8991d8398dad0d25
GS건설,지에스건설(주),시공사,"권순일; 우형석",세운5구역 개발사업,,https://www.notion.so/33d8ced43c4780d7bc92ed881c02abfa
현대엔지니어링,현대엔지니어링(주),시공사,,,,https://www.notion.so/33d8ced43c4780eda4faf3148b023e30
포스코이앤씨,(주)포스코이앤씨,시공사,"임상훈; 우형석","오산세교 주상복합 개발사업; 서리풀 개발사업",,https://www.notion.so/33d8ced43c4780c7aed1f6f993e84efa
한화,(주)한화,시공사,홍창의,고양삼송 데이터센터,,https://www.notion.so/33d8ced43c4780bc834fec1b4e98bb25
KCC건설,(주)케이씨씨건설,시공사,"권순일; 우형석","서여의도 임대주택 개발사업; 타임워크 웨스트",,https://www.notion.so/33d8ced43c4780e9a1d6ee13009ab214
효성중공업,효성중공업(주),시공사,권순일,팩토리얼 성수,,https://www.notion.so/33d8ced43c4780599eeae1e80ef131f7
CJ대한통운,씨제이대한통운(주),시공사,"우형석; 권순일","가산동 임대형 기숙사 개발사업; 에이치밸류 KORNER 136; 부림빌딩",,https://www.notion.so/33d8ced43c4780b9b854dcd68f8197e1
현대아산,현대아산(주),시공사,,,,https://www.notion.so/33d8ced43c478072a10fc5924661202a
자이C&A,자이씨앤에이(주),시공사,,,,https://www.notion.so/33d8ced43c4780278be5dca49f1706cc
SK에코플랜트,에스케이에코플랜트(주),시공사,,,,https://www.notion.so/33d8ced43c47801fbdd1ee5a7925b173
동부건설,동부건설(주),시공사,,,,https://www.notion.so/33d8ced43c4780009cbcdc715bc1e52f
포스코A&C,(주)포스코에이앤씨건축사사무소,시공사,,,,https://www.notion.so/33d8ced43c47807194faeea698f1d2a2
대우건설,(주)대우건설,시공사,임상훈,청라 오피스텔 개발사업,,https://www.notion.so/33d8ced43c47802bbe85d30876a8858f
롯데건설,롯데건설(주),시공사,,부천 소사 공동주택 개발사업,,https://www.notion.so/33d8ced43c478037bfb9c5ab2813afc1
DL건설,디엘건설(주),시공사,,해운대 L7,,https://www.notion.so/33d8ced43c4780afb1f9eb18d7b3e21d
태영건설,(주)태영건설,시공사,,"백암빌딩(OPUS459); 뉴욕제과(OPUS407); 마곡 원그로브; 상봉동 청년주택",,https://www.notion.so/33d8ced43c47805ca505f509f2150ea5
우미건설,우미건설(주),시공사,우형석,,,https://www.notion.so/33d8ced43c4780a7a35cefc0dcd3d07d
한신공영,한신공영(주),시공사,,맹그로브 신촌,,https://www.notion.so/33d8ced43c4780f7a47cdaf2db93ad39
SGC E&C,에스지씨이앤씨(주),시공사,,화성 석포리 물류,,https://www.notion.so/33d8ced43c4780d78d2bdb2b14c0e49c
HS화성,에이치에스화성(주),시공사,,누디트 홍대,,https://www.notion.so/33d8ced43c4780b88cabe04728fd04cd
동원건설산업,동원건설산업(주),시공사,,인천 석남 물류센터,,https://www.notion.so/33d8ced43c47805eb9c2f26ace402075
