crm_db_version,entity_id,canonical_name,display_name,group_name,group_code,group_mapping_status,group_rule_id,counterparty_general_name,counterparty_registered_name,counterparty_category,counterparty_resource_list,related_projects_text,current_contact_points,next_target_project,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,role_count,role_types,role_subtypes,source_systems,source_record_total,project_count_max,latest_base_date,owner_department,owner_manager,record_status,importance_level,relationship_status,interest_topics,key_requests,risk_notes,next_action,next_meeting_date,coverage_note
v0110,SH000001,116-2(산재기금),116-2(산재기금),116-2(산재기금),116_2,self,,116-2(산재기금),,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,자산관리3파트2,정승우,seeded,,,,,,,,
v0110,SH000002,116-3(신협중앙회),116-3(신협중앙회),116-3(신협중앙회),116_3,self,,116-3(신협중앙회),,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,자산관리3파트2,정승우,seeded,,,,,,,,
v0110,SH000003,116-3(주택도시기금),116-3(주택도시기금),116-3(주택도시기금),116_3,self,,116-3(주택도시기금),,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,자산관리3파트2,정승우,seeded,,,,,,,,
v0110,SH000004,448-3호,448-3호,448-3호,448_3,self,,448-3호,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,펀드,beneficiary_snapshot,1,1,2025-11-30,글로벌펀드운용1,이진희,seeded,,,,,,,,
v0110,SH000005,448-4,448-4,448-4,448_4,self,,448-4,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,펀드,beneficiary_snapshot,1,1,2025-11-30,글로벌펀드운용1,이진희,seeded,,,,,,,,
v0110,SH000006,816공간제일차 주식회사,816공간제일차 주식회사,816공간제일차 주식회사,816,self,,816공간제일차 주식회사,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,1,2025-11-30,IOTA TF,조영비,seeded,,,,,,,,
v0110,SH000007,ABL생명보험(에이비엘생명보험),ABL생명보험(에이비엘생명보험),ABL생명보험(에이비엘생명보험),abl,self,,ABL생명보험(에이비엘생명보험),,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,보험사,beneficiary_snapshot,6,4,2025-11-30,"281호TF,글로벌펀드운용1",김민건,seeded,,,,,,,,
v0110,SH000008,ADCF Megatrends Singapore Pte Ltd,ADCF Megatrends Singapore Pte Ltd,ADCF Megatrends Singapore Pte Ltd,adcf_megatrends_singapore_pte_ltd,self,,ADCF Megatrends Singapore Pte Ltd,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,기타 투자기관,beneficiary_snapshot,1,1,2025-11-30,자산관리1파트2,박용범,seeded,,,,,,,,
v0110,SH000009,ANU,ANU,ANU,anu,self,,ANU,에이앤유디자인그룹건축사사무소(주),설계사,https://www.notion.so/33d8ced43c4780da8235e33db901f41f,부천 소사 공동주택 개발사업; 마곡 원그로브,,,organization,project_partner,operator_contractor,운영/시공 파트너,1,운영/시공 파트너,설계사,counterparty_seed,1,2,,,,counterparty_seeded,,,,,,,,
v0110,SH000010,AP SG 9 PTE.LTD.,AP SG 9 PTE.LTD.,AP SG 9 PTE.LTD.,ap_sg_9_pte_ltd,self,,AP SG 9 PTE.LTD.,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,자산관리2파트1,이경훈,seeded,,,,,,,,
v0110,SH000011,APO Corp,APO Corp,APO Corp,apo_corp,self,,APO Corp,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,자산운용사,beneficiary_snapshot,1,1,2025-11-30,글로벌펀드운용2,유진선,seeded,,,,,,,,
v0110,SH000012,ASSKR1,ASSKR1,ASSKR1,asskr1,self,,ASSKR1,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),기타,lender_snapshot,2,1,2025-11-30,자산관리2파트2,이단비,seeded,,,,,,,,
v0110,SH000013,Actis,Actis,Actis,actis,self,,Actis,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,2,2,2025-11-30,자산관리1파트2,이상렬,seeded,,,,,,,,
v0110,SH000014,BCS NL B.V.,BCS NL B.V.,BCS NL B.V.,bcs_nl_b_v,self,,BCS NL B.V.,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,사업,유미현,seeded,,,,,,,,
v0110,SH000015,BCS NL C.V.,BCS NL C.V.,BCS NL C.V.,bcs_nl_c_v,self,,BCS NL C.V.,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,사업,유미현,seeded,,,,,,,,
v0110,SH000016,BNK경남은행,BNK경남은행,BNK경남은행,bnk,self,,BNK경남은행,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),은행,lender_snapshot,3,3,2025-11-30,"전략펀드운용1실,자산관리1파트1",신채영,seeded,,,,,,,,
v0110,SH000017,BNK저축은행,BNK저축은행,BNK저축은행,bnk,self,,BNK저축은행,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),은행,lender_snapshot,1,1,2025-11-30,사업,손서형,seeded,,,,,,,,
v0110,SH000018,BNK캐피탈,BNK캐피탈,BNK캐피탈,bnk,self,,BNK캐피탈,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,2,금융기관(대주) | 펀드 수익자,리스사 | 여전사,"beneficiary_snapshot,lender_snapshot",11,5,2025-11-30,라이프리빙파트,강수원,seeded,,,,,,,,
v0110,SH000019,Boston Properties,Boston Properties,Boston Properties,boston_properties,self,,Boston Properties,,,,,,,organization,strategic_partner,overseas_partner,해외 파트너,1,해외 파트너,해외 파트너 일반,t5t_dashboard,1,0,2026-04-12,,,seeded,,,,,,,,
v0110,SH000020,Broadcom,Broadcom,Broadcom,broadcom,self,,Broadcom,,,,,,,organization,occupier_customer,tenant,임차인,1,임차인,임차인 일반,t5t_dashboard,2,1,2026-03-22,,,seeded,,,,,,,,
v0110,SH000021,CBRE,CBRE,CBRE,cbre,self,,CBRE,,,,,,,organization,advisor_intermediary,advisor,주간사/자문,1,주간사/자문,자문 일반,t5t_dashboard,10,4,2026-04-12,,,seeded,,,,,,,,
v0110,SH000022,CJ,CJ,CJ,cj,self,,CJ,,,,,,,organization,occupier_customer,tenant,임차인,1,임차인,임차인 일반,t5t_dashboard,5,3,2026-04-13,,,seeded,,,,,,,,
