group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
이지스자산운용,,['?????(LP)'],beneficiary_snapshot,86,101,2025-11-30,961,High,"Initial beneficiary/lender seed from local v0110. project_max=86, source_records=101"
신한,,"['?????(LP)', '????(??)', 'FI']","beneficiary_snapshot, lender_snapshot, t5t_dashboard",22,109,2026-04-17,329,High,"Initial beneficiary/lender seed from local v0110. project_max=22, source_records=109"
공제회,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",19,56,2025-11-30,246,High,"Initial beneficiary/lender seed from local v0110. project_max=19, source_records=56"
DB손해보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot, t5t_dashboard",17,30,2026-04-13,200,High,"Initial beneficiary/lender seed from local v0110. project_max=17, source_records=30"
우리은행,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",15,25,2025-11-30,175,High,"Initial beneficiary/lender seed from local v0110. project_max=15, source_records=25"
수협은행,,"['????(??)', 'FI']",lender_snapshot,13,13,2025-11-30,143,High,"Initial beneficiary/lender seed from local v0110. project_max=13, source_records=13"
현대해상화재보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",11,26,2025-11-30,136,High,"Initial beneficiary/lender seed from local v0110. project_max=11, source_records=26"
삼성화재,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",11,20,2025-11-30,130,High,"Initial beneficiary/lender seed from local v0110. project_max=11, source_records=20"
IBK기업은행,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",11,18,2025-11-30,128,High,"Initial beneficiary/lender seed from local v0110. project_max=11, source_records=18"
하나,,"['?????(LP)', '????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",9,37,2025-11-30,127,High,"Initial beneficiary/lender seed from local v0110. project_max=9, source_records=37"
삼성증권,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",11,13,2025-11-30,123,High,"Initial beneficiary/lender seed from local v0110. project_max=11, source_records=13"
메리츠,,"['?????(LP)', '????(??)', 'FI']","beneficiary_snapshot, t5t_dashboard, lender_snapshot",9,29,2026-04-13,119,High,"Initial beneficiary/lender seed from local v0110. project_max=9, source_records=29"
NH투자증권,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",9,20,2025-11-30,110,High,"Initial beneficiary/lender seed from local v0110. project_max=9, source_records=20"
비공개,,['?????(LP)'],beneficiary_snapshot,8,26,2025-11-30,106,High,"Initial beneficiary/lender seed from local v0110. project_max=8, source_records=26"
삼성생명,,"['????(??)', 'FI']",lender_snapshot,9,13,2025-11-30,103,High,"Initial beneficiary/lender seed from local v0110. project_max=9, source_records=13"
미정,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",9,12,2025-11-30,102,High,"Initial beneficiary/lender seed from local v0110. project_max=9, source_records=12"
