alias_id,entity_id,alias_name,alias_type,source_system,confidence,notes
AL000001,SH000001,116-2(산재기금),exact,seed_master,1.0,
AL000002,SH000002,116-3(신협중앙회),exact,seed_master,1.0,
AL000003,SH000003,116-3(주택도시기금),exact,seed_master,1.0,
AL000004,SH000004,448-3호,exact,seed_master,1.0,
AL000005,SH000005,448-4,exact,seed_master,1.0,
AL000006,SH000006,816공간제일차 주식회사,exact,seed_master,1.0,
AL000007,SH000007,ABL생명보험(에이비엘생명보험),exact,seed_master,1.0,
AL000008,SH000008,ADCF Megatrends Singapore Pte Ltd,exact,seed_master,1.0,
AL000009,SH000009,ANU,exact,seed_master,1.0,
AL000010,SH000010,AP SG 9 PTE.LTD.,exact,seed_master,1.0,
AL000011,SH000011,APO Corp,exact,seed_master,1.0,
AL000012,SH000012,ASSKR1,exact,seed_master,1.0,
AL000013,SH000013,Actis,exact,seed_master,1.0,
AL000014,SH000014,BCS NL B.V.,exact,seed_master,1.0,
AL000015,SH000015,BCS NL C.V.,exact,seed_master,1.0,
AL000016,SH000016,BNK경남은행,exact,seed_master,1.0,
AL000017,SH000017,BNK저축은행,exact,seed_master,1.0,
AL000018,SH000018,BNK캐피탈,exact,seed_master,1.0,
AL000019,SH000019,Boston Properties,exact,seed_master,1.0,
AL000020,SH000020,Broadcom,exact,seed_master,1.0,
AL000021,SH000021,CBRE,exact,seed_master,1.0,
AL000022,SH000022,CJ,exact,seed_master,1.0,
AL000023,SH000023,CJ대한통운,exact,seed_master,1.0,
AL000024,SH000024,CJ올리브네트웍스,exact,seed_master,1.0,
AL000025,SH000025,CJ제일제당,exact,seed_master,1.0,
AL000026,SH000026,CPPIB,exact,seed_master,1.0,
AL000027,SH000027,Cadence,exact,seed_master,1.0,
AL000028,SH000028,Capikor Pte.Ltd.,exact,seed_master,1.0,
AL000029,SH000029,DA,exact,seed_master,1.0,
AL000030,SH000030,DA VINCI HOLDCO PTE. LTD.,exact,seed_master,1.0,
AL000031,SH000031,DB생명보험,exact,seed_master,1.0,
AL000032,SH000032,DB손해보험,exact,seed_master,1.0,
AL000033,SH000033,DB손해보험(본계정),exact,seed_master,1.0,
AL000034,SH000034,DB저축은행,exact,seed_master,1.0,
AL000035,SH000035,DB캐피탈,exact,seed_master,1.0,
AL000036,SH000036,DGB 제1호 펀드,exact,seed_master,1.0,
AL000037,SH000037,DGB 제2호 펀드,exact,seed_master,1.0,
AL000038,SH000038,DGB 제3호 펀드,exact,seed_master,1.0,
AL000039,SH000039,DGB생명보험,exact,seed_master,1.0,
AL000040,SH000040,DL ENC,exact,seed_master,1.0,
AL000041,SH000041,DL건설,exact,seed_master,1.0,
AL000042,SH000042,DL이앤씨,exact,seed_master,1.0,
AL000043,SH000043,DMP,exact,seed_master,1.0,
AL000044,SH000044,DNSC,exact,seed_master,1.0,
AL000045,SH000045,DS네트웍스,exact,seed_master,1.0,
AL000046,SH000046,DS자산운용,exact,seed_master,1.0,
AL000047,SH000047,Dash Living,exact,seed_master,1.0,
AL000048,SH000048,Datapulse Pte.Ltd.,exact,seed_master,1.0,
