entity_id,canonical_name,display_name,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,source_systems,latest_base_date,is_active,notes
SH000001,116-2(산재기금),116-2(산재기금),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000002,116-3(신협중앙회),116-3(신협중앙회),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000003,116-3(주택도시기금),116-3(주택도시기금),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000004,448-3호,448-3호,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000005,448-4,448-4,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000006,816공간제일차 주식회사,816공간제일차 주식회사,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000007,ABL생명보험(에이비엘생명보험),ABL생명보험(에이비엘생명보험),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000008,ADCF Megatrends Singapore Pte Ltd,ADCF Megatrends Singapore Pte Ltd,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000009,ANU,ANU,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000010,AP SG 9 PTE.LTD.,AP SG 9 PTE.LTD.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000011,APO Corp,APO Corp,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000012,ASSKR1,ASSKR1,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000013,Actis,Actis,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000014,BCS NL B.V.,BCS NL B.V.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000015,BCS NL C.V.,BCS NL C.V.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000016,BNK경남은행,BNK경남은행,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000017,BNK저축은행,BNK저축은행,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000018,BNK캐피탈,BNK캐피탈,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000019,Boston Properties,Boston Properties,organization,strategic_partner,overseas_partner,해외 파트너,t5t_dashboard,2026-04-12,Y,
SH000020,Broadcom,Broadcom,organization,occupier_customer,tenant,임차인,t5t_dashboard,2026-03-22,Y,
SH000021,CBRE,CBRE,organization,advisor_intermediary,advisor,주간사/자문,t5t_dashboard,2026-04-12,Y,
SH000022,CJ,CJ,organization,occupier_customer,tenant,임차인,t5t_dashboard,2026-04-13,Y,
SH000023,CJ대한통운,CJ대한통운,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,counterparty_seed",2025-11-30,Y,
SH000024,CJ올리브네트웍스,CJ올리브네트웍스,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000025,CJ제일제당,CJ제일제당,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000026,CPPIB,CPPIB,organization,capital_partner,institutional_lp,기관투자자(LP),t5t_dashboard,2026-04-10,Y,
SH000027,Cadence,Cadence,organization,occupier_customer,tenant,임차인,t5t_dashboard,2026-03-22,Y,
SH000028,Capikor Pte.Ltd.,Capikor Pte.Ltd.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000029,DA,DA,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000030,DA VINCI HOLDCO PTE. LTD.,DA VINCI HOLDCO PTE. LTD.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000031,DB생명보험,DB생명보험,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
