entity_role_id,entity_id,canonical_name,stakeholder_group_code,stakeholder_group_name,stakeholder_type_code,stakeholder_type_name,stakeholder_subtype_code,stakeholder_subtype_name,source_system,source_role_label,source_records,project_count,latest_base_date,owner_department,owner_manager,raw_type_label,raw_class_label,t5t_type_name,confidence,status,notes
SH000001-R01,SH000001,116-2(산재기금),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리3파트2,정승우,,,기관투자자(LP),0.8,active,
SH000002-R01,SH000002,116-3(신협중앙회),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리3파트2,정승우,,,기관투자자(LP),0.8,active,
SH000003-R01,SH000003,116-3(주택도시기금),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리3파트2,정승우,,,기관투자자(LP),0.8,active,
SH000004-R01,SH000004,448-3호,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,펀드,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용1,이진희,전문투자자,펀드,기관투자자(LP),0.95,active,
SH000005-R01,SH000005,448-4,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,펀드,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용1,이진희,전문투자자,펀드,기관투자자(LP),0.95,active,
SH000006-R01,SH000006,816공간제일차 주식회사,financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,2,1,2025-11-30,IOTA TF,조영비,,상호금융,금융기관(대주),0.95,active,
SH000007-R01,SH000007,ABL생명보험(에이비엘생명보험),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,insurance_company,보험사,beneficiary_snapshot,수익자,6,4,2025-11-30,"281호TF,글로벌펀드운용1",김민건,전문투자자,보험사,기관투자자(LP),0.95,active,
SH000008-R01,SH000008,ADCF Megatrends Singapore Pte Ltd,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,기타 투자기관,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리1파트2,박용범,전문투자자,기타 투자기관,기관투자자(LP),0.95,active,
SH000009-R01,SH000009,ANU,project_partner,운영/시공 파트너,operator_contractor,운영/시공 파트너,designer,설계사,counterparty_seed,설계사,1,2,,,,설계사,,,0.98,active,https://www.notion.so/33d8ced43c4780da8235e33db901f41f
SH000010-R01,SH000010,AP SG 9 PTE.LTD.,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리2파트1,이경훈,,,기관투자자(LP),0.8,active,
SH000011-R01,SH000011,APO Corp,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,asset_manager,자산운용사,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용2,유진선,전문투자자,자산운용사,기관투자자(LP),0.95,active,
SH000012-R01,SH000012,ASSKR1,financing_partner,금융 파트너,lender,금융기관(대주),lender_unknown,기타,lender_snapshot,대주,2,1,2025-11-30,자산관리2파트2,이단비,,기타,금융기관(대주),0.95,active,
SH000013-R01,SH000013,Actis,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,2,2,2025-11-30,자산관리1파트2,이상렬,,,기관투자자(LP),0.8,active,
