group_name,group_code,member_entities,source_systems,group_mapping_status,entity_count,role_count,latest_base_date,dominant_stakeholder_type
116-2(산재기금),116_2,116-2(산재기금),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
116-3(신협중앙회),116_3,116-3(신협중앙회),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
116-3(주택도시기금),116_3,116-3(주택도시기금),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
448-3호,448_3,448-3호,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
448-4,448_4,448-4,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
816공간제일차 주식회사,816,816공간제일차 주식회사,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
ABL생명보험(에이비엘생명보험),abl,ABL생명보험(에이비엘생명보험),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
ADCF Megatrends Singapore Pte Ltd,adcf_megatrends_singapore_pte_ltd,ADCF Megatrends Singapore Pte Ltd,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
ANU,anu,ANU,counterparty_seed,self,1,1,,운영/시공 파트너
AP SG 9 PTE.LTD.,ap_sg_9_pte_ltd,AP SG 9 PTE.LTD.,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
APO Corp,apo_corp,APO Corp,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
ASSKR1,asskr1,ASSKR1,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
Actis,actis,Actis,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
BCS NL B.V.,bcs_nl_b_v,BCS NL B.V.,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
BCS NL C.V.,bcs_nl_c_v,BCS NL C.V.,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
BNK경남은행,bnk,BNK경남은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
BNK저축은행,bnk,BNK저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
BNK캐피탈,bnk,BNK캐피탈,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
Boston Properties,boston_properties,Boston Properties,t5t_dashboard,self,1,1,2026-04-12,해외 파트너
